,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,2.222,2.263,2.203,2.253,257503.713,2.253
2021-01-01 04:00:00,1609473600000,2.256,2.268,2.22,2.241,181595.404,2.241
2021-01-01 08:00:00,1609488000000,2.241,2.265,2.205,2.251,221971.746,2.251
2021-01-01 12:00:00,1609502400000,2.25,2.37,2.232,2.307,596164.587,2.307
2021-01-01 16:00:00,1609516800000,2.308,2.332,2.196,2.225,406115.462,2.225
2021-01-01 20:00:00,1609531200000,2.224,2.273,2.211,2.268,207693.795,2.268
2021-01-02 00:00:00,1609545600000,2.269,2.272,2.204,2.251,315647.543,2.251
2021-01-02 04:00:00,1609560000000,2.251,2.275,2.227,2.23,365497.229,2.23
2021-01-02 08:00:00,1609574400000,2.231,2.237,2.192,2.215,252961.959,2.215
2021-01-02 12:00:00,1609588800000,2.214,2.273,2.187,2.237,527124.238,2.237
2021-01-02 16:00:00,1609603200000,2.238,2.291,2.209,2.259,576592.884,2.259
2021-01-02 20:00:00,1609617600000,2.258,2.278,2.195,2.249,442395.468,2.249
2021-01-03 00:00:00,1609632000000,2.249,2.26,2.222,2.225,286221.916,2.225
2021-01-03 04:00:00,1609646400000,2.225,2.25,2.207,2.208,301746.007,2.208
2021-01-03 08:00:00,1609660800000,2.208,2.406,2.2,2.363,1038278.473,2.363
2021-01-03 12:00:00,1609675200000,2.361,2.452,2.321,2.376,948387.372,2.376
2021-01-03 16:00:00,1609689600000,2.379,2.438,2.324,2.344,601261.297,2.344
2021-01-03 20:00:00,1609704000000,2.344,2.499,2.343,2.466,470783.102,2.466
2021-01-04 00:00:00,1609718400000,2.465,2.576,2.465,2.527,652546.357,2.527
2021-01-04 04:00:00,1609732800000,2.528,2.703,2.45,2.512,1420178.349,2.512
2021-01-04 08:00:00,1609747200000,2.507,2.547,2.254,2.371,1711351.919,2.371
2021-01-04 12:00:00,1609761600000,2.372,2.477,2.314,2.471,778212.564,2.471
2021-01-04 16:00:00,1609776000000,2.472,2.634,2.4,2.561,1294647.336,2.561
2021-01-04 20:00:00,1609790400000,2.565,2.578,2.449,2.515,786847.221,2.515
2021-01-05 00:00:00,1609804800000,2.515,2.621,2.405,2.405,1278456.453,2.405
2021-01-05 04:00:00,1609819200000,2.406,2.472,2.389,2.454,854286.51,2.454
2021-01-05 08:00:00,1609833600000,2.454,2.581,2.454,2.561,760002.668,2.561
2021-01-05 12:00:00,1609848000000,2.561,2.647,2.48,2.604,1158465.358,2.604
2021-01-05 16:00:00,1609862400000,2.605,2.653,2.538,2.601,884923.251,2.601
2021-01-05 20:00:00,1609876800000,2.602,2.619,2.568,2.612,465417.196,2.612
2021-01-06 00:00:00,1609891200000,2.613,2.63,2.535,2.576,554621.881,2.576
2021-01-06 04:00:00,1609905600000,2.579,2.636,2.563,2.626,473356.882,2.626
2021-01-06 08:00:00,1609920000000,2.626,2.797,2.622,2.742,1357085.894,2.742
2021-01-06 12:00:00,1609934400000,2.742,2.96,2.742,2.848,2392896.961,2.848
2021-01-06 16:00:00,1609948800000,2.85,2.941,2.8,2.846,717950.362,2.846
2021-01-06 20:00:00,1609963200000,2.846,3.045,2.775,3.013,992779.933,3.013
2021-01-07 00:00:00,1609977600000,3.015,3.177,2.935,3.104,1173335.665,3.104
2021-01-07 04:00:00,1609992000000,3.104,3.114,2.948,2.963,937785.999,2.963
2021-01-07 08:00:00,1610006400000,2.962,3.013,2.868,2.963,1076523.219,2.963
2021-01-07 12:00:00,1610020800000,2.962,3.147,2.928,3.055,1175968.066,3.055
