,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.7315,0.7656,0.7219,0.7599,166467.1,0.7599
2021-01-01 04:00:00,1609473600000,0.7598,0.7731,0.7544,0.7699,164915.09,0.7699
2021-01-01 08:00:00,1609488000000,0.7704,0.7934,0.7536,0.7912,252971.57,0.7912
2021-01-01 12:00:00,1609502400000,0.7918,0.7974,0.7664,0.7713,225754.34,0.7713
2021-01-01 16:00:00,1609516800000,0.773,0.7798,0.7248,0.7392,266637.05,0.7392
2021-01-01 20:00:00,1609531200000,0.7369,0.75,0.7323,0.7482,92526.16,0.7482
2021-01-02 00:00:00,1609545600000,0.748,0.748,0.7167,0.7367,144399.38,0.7367
2021-01-02 04:00:00,1609560000000,0.736,0.7394,0.7278,0.7305,102647.77,0.7305
2021-01-02 08:00:00,1609574400000,0.7317,0.7333,0.7071,0.7205,305003.95,0.7205
2021-01-02 12:00:00,1609588800000,0.7195,0.7513,0.7113,0.7416,303208.08,0.7416
2021-01-02 16:00:00,1609603200000,0.7419,0.7531,0.7212,0.729,479350.7,0.729
2021-01-02 20:00:00,1609617600000,0.73,0.7323,0.7031,0.713,251717.55,0.713
2021-01-03 00:00:00,1609632000000,0.7141,0.7649,0.7121,0.7327,400039.79,0.7327
2021-01-03 04:00:00,1609646400000,0.7327,0.75,0.7256,0.7291,195984.55,0.7291
2021-01-03 08:00:00,1609660800000,0.7292,0.76,0.7234,0.7383,303762.21,0.7383
2021-01-03 12:00:00,1609675200000,0.7361,0.7846,0.726,0.7663,549212.19,0.7663
2021-01-03 16:00:00,1609689600000,0.7679,0.7867,0.7511,0.7634,465768.48,0.7634
2021-01-03 20:00:00,1609704000000,0.7633,0.8053,0.76,0.794,211985.99,0.794
2021-01-04 00:00:00,1609718400000,0.7923,0.85,0.7841,0.842,263389.86,0.842
2021-01-04 04:00:00,1609732800000,0.842,0.88,0.7896,0.8003,624536.32,0.8003
2021-01-04 08:00:00,1609747200000,0.8007,0.8358,0.715,0.7888,901038.7,0.7888
2021-01-04 12:00:00,1609761600000,0.789,0.8108,0.77,0.8045,448069.52,0.8045
2021-01-04 16:00:00,1609776000000,0.8053,0.8093,0.7635,0.8002,216775.36,0.8002
2021-01-04 20:00:00,1609790400000,0.801,0.8251,0.7747,0.8232,220500.0,0.8232
2021-01-05 00:00:00,1609804800000,0.8235,0.8314,0.7754,0.776,332565.19,0.776
2021-01-05 04:00:00,1609819200000,0.7774,0.8264,0.7638,0.7968,282769.34,0.7968
2021-01-05 08:00:00,1609833600000,0.7984,0.866,0.7972,0.8622,736866.95,0.8622
2021-01-05 12:00:00,1609848000000,0.8621,0.8746,0.8261,0.8697,595890.04,0.8697
2021-01-05 16:00:00,1609862400000,0.87,0.8941,0.8454,0.8556,650540.17,0.8556
2021-01-05 20:00:00,1609876800000,0.8553,0.866,0.84,0.8518,231063.47,0.8518
2021-01-06 00:00:00,1609891200000,0.8537,0.8592,0.8256,0.8323,194145.9,0.8323
2021-01-06 04:00:00,1609905600000,0.8316,0.8552,0.8228,0.8529,243265.19,0.8529
2021-01-06 08:00:00,1609920000000,0.8535,0.9168,0.842,0.8886,549633.89,0.8886
2021-01-06 12:00:00,1609934400000,0.8886,0.9935,0.8767,0.9838,1185078.06,0.9838
2021-01-06 16:00:00,1609948800000,0.9838,1.0599,0.9811,0.9893,1190743.75,0.9893
2021-01-06 20:00:00,1609963200000,0.9883,1.0499,0.9806,1.0319,622981.22,1.0319
2021-01-07 00:00:00,1609977600000,1.0328,1.1459,1.0227,1.1104,703166.37,1.1104
2021-01-07 04:00:00,1609992000000,1.1089,1.35,1.0906,1.2691,1778940.24,1.2691
2021-01-07 08:00:00,1610006400000,1.2714,1.3668,1.1994,1.2152,1326752.63,1.2152
2021-01-07 12:00:00,1610020800000,1.2152,1.2864,1.2141,1.249,918986.98,1.249
2021-01-07 16:00:00,1610035200000,1.2493,1.2564,1.0434,1.1157,1062639.19,1.1157
2021-01-07 20:00:00,1610049600000,1.1156,1.1459,1.0661,1.0929,445716.83,1.0929
2021-01-08 00:00:00,1610064000000,1.0929,1.1024,0.9636,1.0111,887630.91,1.0111
2021-01-08 04:00:00,1610078400000,1.0089,1.1,1.001,1.0668,1129997.25,1.0668
2021-01-08 08:00:00,1610092800000,1.0683,1.1763,1.0373,1.129,889284.16,1.129
2021-01-08 12:00:00,1610107200000,1.1302,1.32,1.1215,1.2499,2049304.61,1.2499
2021-01-08 16:00:00,1610121600000,1.2531,1.2998,1.18,1.1867,737326.16,1.1867
2021-01-08 20:00:00,1610136000000,1.1894,1.195,1.1215,1.159,614925.8,1.159
2021-01-09 00:00:00,1610150400000,1.1591,1.2333,1.1268,1.2275,544334.23,1.2275
2021-01-09 04:00:00,1610164800000,1.2254,1.231,1.1701,1.2039,397645.43,1.2039
2021-01-09 08:00:00,1610179200000,1.2039,1.407,1.1944,1.345,1230394.25,1.345
2021-01-09 12:00:00,1610193600000,1.3454,1.4521,1.3454,1.3881,1234879.82,1.3881
2021-01-09 16:00:00,1610208000000,1.388,1.4399,1.3426,1.3832,569845.19,1.3832
2021-01-09 20:00:00,1610222400000,1.3888,1.4249,1.3113,1.3357,613112.43,1.3357
2021-01-10 00:00:00,1610236800000,1.3356,1.3883,1.2844,1.3,638307.34,1.3
2021-01-10 04:00:00,1610251200000,1.2961,1.3206,1.272,1.2893,370666.07,1.2893
2021-01-10 08:00:00,1610265600000,1.2904,1.3994,1.19,1.2161,1429386.2,1.2161
2021-01-10 12:00:00,1610280000000,1.2018,1.2813,1.1967,1.2663,871956.65,1.2663
2021-01-10 16:00:00,1610294400000,1.2699,1.2734,1.0991,1.1375,1300383.19,1.1375
2021-01-10 20:00:00,1610308800000,1.1384,1.1815,1.0523,1.1664,689627.75,1.1664
2021-01-11 00:00:00,1610323200000,1.1672,1.1712,0.953,1.0128,1024312.13,1.0128
2021-01-11 04:00:00,1610337600000,1.0081,1.0362,0.9304,0.9887,936852.78,0.9887
2021-01-11 08:00:00,1610352000000,0.9888,1.0676,0.9765,0.9972,613917.68,0.9972
2021-01-11 12:00:00,1610366400000,0.9978,1.0157,0.8868,0.8957,1156570.3,0.8957
2021-01-11 16:00:00,1610380800000,0.8939,0.9354,0.8263,0.8894,1214443.07,0.8894
2021-01-11 20:00:00,1610395200000,0.8883,0.9609,0.8712,0.9554,2191574.69,0.9554
2021-01-12 00:00:00,1610409600000,0.9568,0.9817,0.9266,0.979,334278.39,0.979
2021-01-12 04:00:00,1610424000000,0.978,1.0498,0.9628,1.041,475618.24,1.041
2021-01-12 08:00:00,1610438400000,1.041,1.0438,0.957,0.9802,485698.01,0.9802
2021-01-12 12:00:00,1610452800000,0.9808,0.9931,0.9,0.942,492904.15,0.942
2021-01-12 16:00:00,1610467200000,0.9449,0.9834,0.9425,0.9633,482649.28,0.9633
2021-01-12 20:00:00,1610481600000,0.9624,0.9858,0.9131,0.9391,432185.02,0.9391
2021-01-13 00:00:00,1610496000000,0.9354,0.9354,0.8834,0.9163,798738.17,0.9163
2021-01-13 04:00:00,1610510400000,0.9151,0.9397,0.8889,0.9355,234142.85,0.9355
2021-01-13 08:00:00,1610524800000,0.9363,1.009,0.9226,0.9779,711988.77,0.9779
2021-01-13 12:00:00,1610539200000,0.9778,1.0121,0.965,1.0088,424409.84,1.0088
2021-01-13 16:00:00,1610553600000,1.0087,1.0596,1.002,1.0234,607867.75,1.0234
2021-01-13 20:00:00,1610568000000,1.0251,1.0335,0.9937,1.0201,322310.96,1.0201
2021-01-14 00:00:00,1610582400000,1.0223,1.0272,0.9716,0.9751,187285.76,0.9751
2021-01-14 04:00:00,1610596800000,0.9747,1.0139,0.9676,1.007,203912.03,1.007
2021-01-14 08:00:00,1610611200000,1.007,1.0258,0.9837,1.0051,562309.48,1.0051
2021-01-14 12:00:00,1610625600000,1.0051,1.085,0.99,1.0637,820451.5,1.0637
2021-01-14 16:00:00,1610640000000,1.0643,1.0833,1.0389,1.0546,380149.86,1.0546
2021-01-14 20:00:00,1610654400000,1.0536,1.0853,1.0086,1.0393,447108.49,1.0393
2021-01-15 00:00:00,1610668800000,1.0403,1.0999,1.0304,1.0715,464048.45,1.0715
2021-01-15 04:00:00,1610683200000,1.0729,1.114,1.0528,1.111,410291.45,1.111
2021-01-15 08:00:00,1610697600000,1.114,1.149,1.0893,1.1341,485193.12,1.1341
