,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,0.04159,0.04498,0.04133,0.04369,15179237.9,0.04369,sell
2021-01-01 04:00:00,1609473600000,0.04369,0.04439,0.04258,0.0431,6134390.1,0.0431,sell
2021-01-01 08:00:00,1609488000000,0.0431,0.04518,0.04256,0.044,11937175.1,0.044,sell
2021-01-01 12:00:00,1609502400000,0.044,0.04444,0.04244,0.04256,9696262.3,0.04256,sell
2021-01-01 16:00:00,1609516800000,0.04264,0.04325,0.04147,0.0415,8547734.4,0.0415,sell
2021-01-01 20:00:00,1609531200000,0.04155,0.04228,0.04148,0.0421,5236522.9,0.0421,sell
2021-01-02 00:00:00,1609545600000,0.04204,0.04226,0.04171,0.04212,3134460.2,0.04212,sell
2021-01-02 04:00:00,1609560000000,0.04212,0.0431,0.04203,0.04273,4703471.7,0.04273,sell
2021-01-02 08:00:00,1609574400000,0.04269,0.043,0.04125,0.04168,7352004.0,0.04168,sell
2021-01-02 12:00:00,1609588800000,0.04166,0.04175,0.03987,0.0407,15742896.6,0.0407,sell
2021-01-02 16:00:00,1609603200000,0.04075,0.04192,0.04,0.04041,15674358.7,0.04041,sell
2021-01-02 20:00:00,1609617600000,0.04035,0.04133,0.03951,0.04095,17987679.4,0.04095,sell
2021-01-03 00:00:00,1609632000000,0.04094,0.04125,0.04042,0.04065,5071493.9,0.04065,sell
2021-01-03 04:00:00,1609646400000,0.04065,0.04158,0.03958,0.03969,10912435.0,0.03969,sell
2021-01-03 08:00:00,1609660800000,0.03969,0.04185,0.039,0.04118,19890174.7,0.04118,sell
2021-01-03 12:00:00,1609675200000,0.04117,0.044,0.041,0.04214,25371665.8,0.04214,sell
2021-01-03 16:00:00,1609689600000,0.04217,0.04499,0.04208,0.04326,20963069.7,0.04326,sell
2021-01-03 20:00:00,1609704000000,0.04328,0.04499,0.041,0.04129,18278842.2,0.04129,sell
2021-01-04 00:00:00,1609718400000,0.0413,0.0459,0.04081,0.04501,24893186.9,0.04501,sell
2021-01-04 04:00:00,1609732800000,0.04501,0.04526,0.04141,0.04247,37527545.3,0.04247,sell
2021-01-04 08:00:00,1609747200000,0.04246,0.04405,0.0375,0.0406,48070886.1,0.0406,sell
2021-01-04 12:00:00,1609761600000,0.04066,0.04113,0.03924,0.04065,18904751.7,0.04065,sell
2021-01-04 16:00:00,1609776000000,0.04065,0.04194,0.03954,0.04084,24097840.5,0.04084,sell
2021-01-04 20:00:00,1609790400000,0.04084,0.042,0.04076,0.04135,11419398.3,0.04135,sell
2021-01-05 00:00:00,1609804800000,0.04135,0.04321,0.04064,0.04064,20897735.7,0.04064,sell
2021-01-05 04:00:00,1609819200000,0.04077,0.04179,0.0399,0.04148,14904818.2,0.04148,sell
2021-01-05 08:00:00,1609833600000,0.04152,0.04484,0.0414,0.04481,27481069.9,0.04481,sell
2021-01-05 12:00:00,1609848000000,0.04481,0.04777,0.04328,0.0466,55392307.5,0.0466,sell
2021-01-05 16:00:00,1609862400000,0.0466,0.04759,0.04301,0.04313,29256315.7,0.04313,sell
2021-01-05 20:00:00,1609876800000,0.04316,0.04508,0.04307,0.04394,15761951.3,0.04394,buy
2021-01-06 00:00:00,1609891200000,0.04394,0.04699,0.04382,0.04568,19030544.1,0.04568,buy
2021-01-06 04:00:00,1609905600000,0.04566,0.047,0.04465,0.04496,18151918.1,0.04496,buy
2021-01-06 08:00:00,1609920000000,0.04496,0.04777,0.04466,0.04733,24229334.2,0.04733,buy
2021-01-06 12:00:00,1609934400000,0.04733,0.04994,0.04665,0.04885,33579823.2,0.04885,buy
2021-01-06 16:00:00,1609948800000,0.04885,0.04977,0.04637,0.0465,25546115.7,0.0465,buy
2021-01-06 20:00:00,1609963200000,0.04654,0.04848,0.0449,0.04743,25111581.3,0.04743,buy
2021-01-07 00:00:00,1609977600000,0.04746,0.04854,0.04688,0.04729,11032974.6,0.04729,buy
2021-01-07 04:00:00,1609992000000,0.04709,0.048,0.04575,0.04699,13520640.4,0.04699,buy
2021-01-07 08:00:00,1610006400000,0.04695,0.053,0.04694,0.05181,38218609.5,0.05181,buy
2021-01-07 12:00:00,1610020800000,0.05189,0.05436,0.04958,0.0534,36158958.8,0.0534,buy
2021-01-07 16:00:00,1610035200000,0.05341,0.0546,0.048,0.05146,41394504.5,0.05146,buy
2021-01-07 20:00:00,1610049600000,0.05143,0.05148,0.04968,0.05095,15250359.5,0.05095,buy
2021-01-08 00:00:00,1610064000000,0.05095,0.05105,0.04068,0.0455,33338683.4,0.0455,buy
2021-01-08 04:00:00,1610078400000,0.0455,0.04703,0.043,0.04673,22378723.1,0.04673,buy
2021-01-08 08:00:00,1610092800000,0.04672,0.04897,0.04532,0.04652,25471606.7,0.04652,buy
2021-01-08 12:00:00,1610107200000,0.04653,0.04854,0.04423,0.0459,40637679.2,0.0459,buy
2021-01-08 16:00:00,1610121600000,0.04597,0.04791,0.04536,0.0457,16598802.9,0.0457,buy
2021-01-08 20:00:00,1610136000000,0.0457,0.04599,0.04338,0.04536,17613533.8,0.04536,sell
2021-01-09 00:00:00,1610150400000,0.04537,0.04644,0.0433,0.04629,18682864.4,0.04629,buy
2021-01-09 04:00:00,1610164800000,0.04635,0.048,0.04544,0.04799,18713700.3,0.04799,buy
2021-01-09 08:00:00,1610179200000,0.04794,0.04875,0.04611,0.04634,24829702.4,0.04634,buy
2021-01-09 12:00:00,1610193600000,0.04638,0.04711,0.04604,0.04659,14668665.1,0.04659,buy
2021-01-09 16:00:00,1610208000000,0.04662,0.04782,0.04639,0.0474,11976007.6,0.0474,buy
2021-01-09 20:00:00,1610222400000,0.04736,0.04856,0.04651,0.04704,18225606.0,0.04704,buy
2021-01-10 00:00:00,1610236800000,0.04704,0.04854,0.0469,0.04803,14068126.8,0.04803,buy
2021-01-10 04:00:00,1610251200000,0.04803,0.04995,0.0472,0.04829,18502176.0,0.04829,buy
2021-01-10 08:00:00,1610265600000,0.04829,0.04939,0.04452,0.04518,28703779.1,0.04518,sell
2021-01-10 12:00:00,1610280000000,0.04514,0.04785,0.04428,0.04568,22260584.4,0.04568,sell
2021-01-10 16:00:00,1610294400000,0.04567,0.04598,0.04285,0.04442,20327962.8,0.04442,sell
2021-01-10 20:00:00,1610308800000,0.04423,0.04623,0.043,0.04476,18198330.4,0.04476,sell
2021-01-11 00:00:00,1610323200000,0.04474,0.04476,0.04095,0.0414,31611860.5,0.0414,sell
2021-01-11 04:00:00,1610337600000,0.04145,0.04281,0.04,0.0414,29364417.7,0.0414,sell
2021-01-11 08:00:00,1610352000000,0.04136,0.04317,0.04129,0.04183,23195772.2,0.04183,sell
2021-01-11 12:00:00,1610366400000,0.04183,0.04242,0.04,0.04019,33853622.4,0.04019,sell
2021-01-11 16:00:00,1610380800000,0.04019,0.04084,0.03835,0.03952,21380449.5,0.03952,sell
2021-01-11 20:00:00,1610395200000,0.03933,0.0415,0.03903,0.04144,9973581.0,0.04144,sell
2021-01-12 00:00:00,1610409600000,0.04135,0.04254,0.04079,0.04213,9601608.4,0.04213,sell
2021-01-12 04:00:00,1610424000000,0.04214,0.04388,0.04143,0.04359,11259085.6,0.04359,sell
2021-01-12 08:00:00,1610438400000,0.04358,0.0442,0.0415,0.04253,15456722.8,0.04253,sell
2021-01-12 12:00:00,1610452800000,0.04254,0.04264,0.03938,0.04083,19664869.6,0.04083,sell
2021-01-12 16:00:00,1610467200000,0.04083,0.04337,0.04078,0.04188,13580261.1,0.04188,sell
2021-01-12 20:00:00,1610481600000,0.04185,0.04206,0.04066,0.04138,5011672.6,0.04138,sell
2021-01-13 00:00:00,1610496000000,0.04134,0.04248,0.03987,0.042,10575681.0,0.042,sell
2021-01-13 04:00:00,1610510400000,0.042,0.04275,0.041,0.04274,6116829.0,0.04274,sell
2021-01-13 08:00:00,1610524800000,0.04273,0.04344,0.04191,0.04271,9874055.6,0.04271,sell
2021-01-13 12:00:00,1610539200000,0.04271,0.0437,0.04167,0.04218,19332676.2,0.04218,sell
2021-01-13 16:00:00,1610553600000,0.04212,0.04419,0.04181,0.04379,17108673.2,0.04379,sell
2021-01-13 20:00:00,1610568000000,0.04373,0.04405,0.04287,0.0435,6726778.1,0.0435,sell
2021-01-14 00:00:00,1610582400000,0.0435,0.0442,0.04289,0.0429,6147368.2,0.0429,sell
2021-01-14 04:00:00,1610596800000,0.0429,0.04496,0.04274,0.04495,8986818.3,0.04495,buy
2021-01-14 08:00:00,1610611200000,0.04495,0.04781,0.04426,0.04648,24100693.9,0.04648,buy
2021-01-14 12:00:00,1610625600000,0.04655,0.04726,0.04548,0.0469,11490431.2,0.0469,buy
2021-01-14 16:00:00,1610640000000,0.04691,0.04699,0.04543,0.04642,10271033.8,0.04642,buy
2021-01-14 20:00:00,1610654400000,0.04644,0.04673,0.04364,0.04506,12709354.6,0.04506,buy
2021-01-15 00:00:00,1610668800000,0.04506,0.04573,0.04331,0.04459,16629969.7,0.04459,buy
2021-01-15 04:00:00,1610683200000,0.04461,0.04635,0.04432,0.04614,8044914.1,0.04614,buy
2021-01-15 08:00:00,1610697600000,0.04618,0.04816,0.04543,0.04668,18805890.0,0.04668,buy
2021-01-15 12:00:00,1610712000000,0.04673,0.04686,0.042,0.04238,21833415.0,0.04238,sell
2021-01-15 16:00:00,1610726400000,0.04253,0.04456,0.04202,0.04329,12624552.0,0.04329,buy
2021-01-15 20:00:00,1610740800000,0.04322,0.04515,0.04293,0.04505,5277165.5,0.04505,buy
2021-01-16 00:00:00,1610755200000,0.04507,0.051,0.04507,0.0493,37663228.5,0.0493,buy
2021-01-16 04:00:00,1610769600000,0.0493,0.04953,0.04692,0.04901,12842266.4,0.04901,buy
2021-01-16 08:00:00,1610784000000,0.04901,0.04983,0.04779,0.04921,21765996.8,0.04921,buy
2021-01-16 12:00:00,1610798400000,0.04921,0.0531,0.04803,0.05261,23212113.4,0.05261,buy
2021-01-16 16:00:00,1610812800000,0.05263,0.055,0.05118,0.05279,44408984.6,0.05279,buy
2021-01-16 20:00:00,1610827200000,0.0528,0.05438,0.05111,0.05377,16343873.7,0.05377,buy
2021-01-17 00:00:00,1610841600000,0.05376,0.0578,0.05147,0.05544,31908801.6,0.05544,buy
2021-01-17 04:00:00,1610856000000,0.05544,0.0559,0.04861,0.04875,39061590.3,0.04875,buy
2021-01-17 08:00:00,1610870400000,0.04876,0.05556,0.04862,0.05556,33671115.4,0.05556,buy
2021-01-17 12:00:00,1610884800000,0.05558,0.06333,0.0555,0.05865,90547468.0,0.05865,buy
