,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,1.169,1.43,1.1504,1.338,4076457.6,1.338
2021-01-01 04:00:00,1609473600000,1.338,1.3548,1.2941,1.3459,1597083.9,1.3459
2021-01-01 08:00:00,1609488000000,1.3444,1.418,1.3109,1.3939,1340611.63,1.3939
2021-01-01 12:00:00,1609502400000,1.3929,1.3996,1.2903,1.3446,1392267.66,1.3446
2021-01-01 16:00:00,1609516800000,1.3454,1.3852,1.2604,1.2951,1840574.88,1.2951
2021-01-01 20:00:00,1609531200000,1.2915,1.3107,1.2781,1.2874,576655.03,1.2874
2021-01-02 00:00:00,1609545600000,1.2908,1.3241,1.2306,1.2951,889771.67,1.2951
2021-01-02 04:00:00,1609560000000,1.2962,1.3045,1.2722,1.2729,292349.7,1.2729
2021-01-02 08:00:00,1609574400000,1.2729,1.3311,1.2181,1.3226,1110922.24,1.3226
2021-01-02 12:00:00,1609588800000,1.3226,1.401,1.3137,1.3397,1861577.26,1.3397
2021-01-02 16:00:00,1609603200000,1.3405,1.3859,1.3169,1.377,747492.24,1.377
2021-01-02 20:00:00,1609617600000,1.3771,1.38,1.23,1.2919,1466683.52,1.2919
2021-01-03 00:00:00,1609632000000,1.2919,1.3499,1.2856,1.3267,542297.92,1.3267
2021-01-03 04:00:00,1609646400000,1.3268,1.4128,1.3107,1.3511,951099.09,1.3511
2021-01-03 08:00:00,1609660800000,1.3527,1.4855,1.3228,1.4654,1540175.88,1.4654
2021-01-03 12:00:00,1609675200000,1.4654,1.52,1.4364,1.4756,1597077.75,1.4756
2021-01-03 16:00:00,1609689600000,1.4796,1.508,1.429,1.4497,1893366.28,1.4497
2021-01-03 20:00:00,1609704000000,1.4497,1.52,1.4481,1.4839,874311.75,1.4839
2021-01-04 00:00:00,1609718400000,1.4886,1.544,1.4593,1.544,695804.22,1.544
2021-01-04 04:00:00,1609732800000,1.544,1.58,1.444,1.4725,1600256.65,1.4725
2021-01-04 08:00:00,1609747200000,1.4731,1.5137,1.3,1.4133,2119911.53,1.4133
2021-01-04 12:00:00,1609761600000,1.4133,1.5166,1.389,1.4985,1616052.33,1.4985
2021-01-04 16:00:00,1609776000000,1.4989,1.5166,1.4053,1.4482,936928.42,1.4482
2021-01-04 20:00:00,1609790400000,1.4443,1.596,1.4243,1.5929,1276751.38,1.5929
2021-01-05 00:00:00,1609804800000,1.5904,1.6548,1.55,1.5564,1004154.73,1.5564
2021-01-05 04:00:00,1609819200000,1.5582,1.6248,1.5018,1.5682,1003170.2,1.5682
2021-01-05 08:00:00,1609833600000,1.571,1.6585,1.5452,1.6563,1273513.26,1.6563
2021-01-05 12:00:00,1609848000000,1.6569,1.6608,1.5388,1.592,1460403.7,1.592
2021-01-05 16:00:00,1609862400000,1.5935,1.6312,1.5307,1.557,1549689.75,1.557
2021-01-05 20:00:00,1609876800000,1.5612,1.62,1.5405,1.5826,808948.36,1.5826
2021-01-06 00:00:00,1609891200000,1.5846,1.6029,1.4667,1.4876,2347329.14,1.4876
2021-01-06 04:00:00,1609905600000,1.4875,1.56,1.4648,1.4928,1587175.98,1.4928
2021-01-06 08:00:00,1609920000000,1.4962,1.5327,1.4634,1.5222,974628.04,1.5222
2021-01-06 12:00:00,1609934400000,1.5258,1.5529,1.5099,1.5351,928094.74,1.5351
