,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,0.035571,0.03795,0.0351,0.037761,4476556.0,0.037761,sell
2021-01-01 04:00:00,1609473600000,0.037884,0.039009,0.036431,0.036733,3582604.0,0.036733,sell
2021-01-01 08:00:00,1609488000000,0.036724,0.037397,0.036511,0.036992,2915023.0,0.036992,sell
2021-01-01 12:00:00,1609502400000,0.036992,0.037444,0.03657,0.036983,5487886.0,0.036983,sell
2021-01-01 16:00:00,1609516800000,0.036986,0.037554,0.035965,0.036367,4660982.0,0.036367,sell
2021-01-01 20:00:00,1609531200000,0.036204,0.036975,0.036024,0.036973,1219609.0,0.036973,sell
2021-01-02 00:00:00,1609545600000,0.036973,0.0374,0.036414,0.0374,2510303.0,0.0374,sell
2021-01-02 04:00:00,1609560000000,0.037397,0.038407,0.037146,0.038143,4833125.0,0.038143,sell
2021-01-02 08:00:00,1609574400000,0.038142,0.039546,0.0379,0.038082,6282003.0,0.038082,sell
2021-01-02 12:00:00,1609588800000,0.038,0.038501,0.037323,0.037437,6022847.0,0.037437,sell
2021-01-02 16:00:00,1609603200000,0.037437,0.0395,0.037107,0.038228,6717126.0,0.038228,sell
2021-01-02 20:00:00,1609617600000,0.038228,0.038336,0.037107,0.038107,3069877.0,0.038107,sell
2021-01-03 00:00:00,1609632000000,0.038161,0.03893,0.036866,0.037757,4052905.0,0.037757,sell
2021-01-03 04:00:00,1609646400000,0.037757,0.038798,0.0375,0.038257,3400152.0,0.038257,sell
2021-01-03 08:00:00,1609660800000,0.038146,0.0385,0.03693,0.037468,5715396.0,0.037468,sell
2021-01-03 12:00:00,1609675200000,0.037631,0.039158,0.037,0.039113,11347532.0,0.039113,sell
2021-01-03 16:00:00,1609689600000,0.039121,0.039965,0.038154,0.038765,7524230.0,0.038765,sell
2021-01-03 20:00:00,1609704000000,0.038788,0.0415,0.038747,0.040928,7352108.0,0.040928,sell
2021-01-04 00:00:00,1609718400000,0.040936,0.041194,0.039919,0.041103,4258055.0,0.041103,sell
2021-01-04 04:00:00,1609732800000,0.041101,0.043,0.0386,0.039295,13303784.0,0.039295,sell
2021-01-04 08:00:00,1609747200000,0.039294,0.040313,0.0361,0.038299,10349249.0,0.038299,sell
2021-01-04 12:00:00,1609761600000,0.038324,0.039032,0.0371,0.038557,5998240.0,0.038557,sell
2021-01-04 16:00:00,1609776000000,0.038558,0.042151,0.037247,0.039621,6525498.0,0.039621,sell
2021-01-04 20:00:00,1609790400000,0.039754,0.040603,0.038564,0.040432,3190252.0,0.040432,sell
2021-01-05 00:00:00,1609804800000,0.040432,0.041468,0.039346,0.039353,4711851.0,0.039353,sell
2021-01-05 04:00:00,1609819200000,0.039344,0.041,0.039,0.040108,5551828.0,0.040108,sell
2021-01-05 08:00:00,1609833600000,0.040227,0.04291,0.040227,0.042806,11101076.0,0.042806,sell
2021-01-05 12:00:00,1609848000000,0.042888,0.044264,0.041601,0.043402,16321161.0,0.043402,sell
2021-01-05 16:00:00,1609862400000,0.043402,0.045,0.041479,0.042154,19322485.0,0.042154,sell
