,datetime,open,high,low,close,volume,adj_close,signal
2021-02-08 12:00:00,1612785600000,0.1,1.9,0.1,1.4189,144508710.76,1.4189,sell
2021-02-08 16:00:00,1612800000000,1.4156,1.479,1.3101,1.4198,38869951.54,1.4198,sell
2021-02-08 20:00:00,1612814400000,1.4195,1.4463,1.2553,1.29,12655582.68,1.29,sell
2021-02-09 00:00:00,1612828800000,1.2901,1.888,1.2897,1.7137,44223388.09,1.7137,sell
2021-02-09 04:00:00,1612843200000,1.7119,1.7465,1.53,1.6412,17715057.07,1.6412,sell
2021-02-09 08:00:00,1612857600000,1.6413,2.37,1.57,2.1876,58940201.49,2.1876,sell
2021-02-09 12:00:00,1612872000000,2.1871,2.77,2.1451,2.6,81455319.55,2.6,sell
2021-02-09 16:00:00,1612886400000,2.5948,4.45,2.548,3.601,130273252.61,3.601,sell
2021-02-09 20:00:00,1612900800000,3.6,3.8,2.85,3.4637,48770914.05,3.4637,sell
2021-02-10 00:00:00,1612915200000,3.4634,3.77,3.0245,3.222,22386117.61,3.222,sell
2021-02-10 04:00:00,1612929600000,3.2211,3.4899,2.6333,3.4075,37065901.98,3.4075,sell
2021-02-10 08:00:00,1612944000000,3.4074,3.44,2.8768,3.011,23421996.7,3.011,sell
2021-02-10 12:00:00,1612958400000,3.0105,3.1,2.4211,2.6242,26865621.05,2.6242,sell
2021-02-10 16:00:00,1612972800000,2.6228,2.94,2.506,2.6545,15405541.06,2.6545,sell
2021-02-10 20:00:00,1612987200000,2.6541,2.6868,2.4,2.4788,10776493.65,2.4788,sell
2021-02-11 00:00:00,1613001600000,2.4775,2.789,2.4699,2.73,7440753.52,2.73,sell
2021-02-11 04:00:00,1613016000000,2.7237,2.77,2.55,2.5979,5522731.34,2.5979,sell
2021-02-11 08:00:00,1613030400000,2.598,2.9839,2.5971,2.75,14100565.42,2.75,sell
2021-02-11 12:00:00,1613044800000,2.7452,2.9225,2.7026,2.726,6919961.69,2.726,sell
