,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.07879,0.084,0.07427,0.08075,11216486.5,0.08075
2021-01-01 04:00:00,1609473600000,0.08075,0.08307,0.07882,0.07999,8484832.5,0.07999
2021-01-01 08:00:00,1609488000000,0.07997,0.08108,0.07851,0.08085,2613759.7,0.08085
2021-01-01 12:00:00,1609502400000,0.08081,0.08268,0.08029,0.08196,4136307.7,0.08196
2021-01-01 16:00:00,1609516800000,0.082,0.08252,0.07709,0.07824,5606177.2,0.07824
2021-01-01 20:00:00,1609531200000,0.07821,0.0809,0.07816,0.07997,2324169.2,0.07997
2021-01-02 00:00:00,1609545600000,0.08006,0.08022,0.07686,0.0782,4318463.5,0.0782
2021-01-02 04:00:00,1609560000000,0.07825,0.07848,0.07472,0.07635,3934663.3,0.07635
2021-01-02 08:00:00,1609574400000,0.07635,0.07677,0.0747,0.07615,3537385.2,0.07615
2021-01-02 12:00:00,1609588800000,0.07616,0.08039,0.0756,0.07801,8933174.8,0.07801
2021-01-02 16:00:00,1609603200000,0.07798,0.07973,0.0753,0.07908,10078032.4,0.07908
2021-01-02 20:00:00,1609617600000,0.07909,0.07909,0.0759,0.07659,4057571.3,0.07659
2021-01-03 00:00:00,1609632000000,0.07671,0.07804,0.07652,0.07804,1350773.3,0.07804
2021-01-03 04:00:00,1609646400000,0.07796,0.07973,0.07737,0.07767,2268806.0,0.07767
2021-01-03 08:00:00,1609660800000,0.07767,0.07985,0.07692,0.07909,2965618.5,0.07909
2021-01-03 12:00:00,1609675200000,0.07904,0.08665,0.07899,0.08602,15121329.2,0.08602
2021-01-03 16:00:00,1609689600000,0.08602,0.09062,0.08322,0.08736,16467567.8,0.08736
2021-01-03 20:00:00,1609704000000,0.08736,0.08934,0.08594,0.08656,5048164.5,0.08656
2021-01-04 00:00:00,1609718400000,0.08656,0.08856,0.0847,0.08794,5926922.8,0.08794
2021-01-04 04:00:00,1609732800000,0.08794,0.09473,0.08746,0.08899,10588093.3,0.08899
2021-01-04 08:00:00,1609747200000,0.089,0.09065,0.0805,0.08245,13026020.0,0.08245
2021-01-04 12:00:00,1609761600000,0.08256,0.08899,0.08195,0.08898,8453972.8,0.08898
2021-01-04 16:00:00,1609776000000,0.08886,0.08986,0.0855,0.08954,6388069.3,0.08954
2021-01-04 20:00:00,1609790400000,0.0896,0.09497,0.08955,0.09401,9705704.9,0.09401
2021-01-05 00:00:00,1609804800000,0.09404,0.09843,0.09004,0.09013,13512639.7,0.09013
2021-01-05 04:00:00,1609819200000,0.09003,0.09311,0.08569,0.092,13384456.0,0.092
2021-01-05 08:00:00,1609833600000,0.09206,0.10784,0.09191,0.10477,21542231.5,0.10477
2021-01-05 12:00:00,1609848000000,0.10477,0.11112,0.1021,0.10877,15359464.9,0.10877
2021-01-05 16:00:00,1609862400000,0.1087,0.11321,0.10193,0.10627,14155368.0,0.10627
2021-01-05 20:00:00,1609876800000,0.10627,0.1124,0.10444,0.11089,8352526.6,0.11089
2021-01-06 00:00:00,1609891200000,0.1112,0.11232,0.10344,0.10652,6682342.5,0.10652
2021-01-06 04:00:00,1609905600000,0.10669,0.11389,0.10629,0.11143,8604352.4,0.11143
2021-01-06 08:00:00,1609920000000,0.11182,0.1141,0.10437,0.1066,11402063.7,0.1066
2021-01-06 12:00:00,1609934400000,0.10661,0.112,0.10623,0.10744,7340902.0,0.10744
2021-01-06 16:00:00,1609948800000,0.10799,0.11612,0.10535,0.1069,8371705.8,0.1069
2021-01-06 20:00:00,1609963200000,0.10688,0.112,0.105,0.11199,4966130.7,0.11199
2021-01-07 00:00:00,1609977600000,0.112,0.1124,0.10924,0.11033,2902266.0,0.11033
2021-01-07 04:00:00,1609992000000,0.11033,0.12203,0.10922,0.11642,11481530.5,0.11642
2021-01-07 08:00:00,1610006400000,0.11687,0.121,0.11234,0.11684,7156279.7,0.11684
2021-01-07 12:00:00,1610020800000,0.11682,0.12063,0.114,0.11953,6278390.2,0.11953
2021-01-07 16:00:00,1610035200000,0.1197,0.12049,0.1045,0.11394,7733474.8,0.11394
2021-01-07 20:00:00,1610049600000,0.11366,0.11526,0.11147,0.11235,3714224.8,0.11235
2021-01-08 00:00:00,1610064000000,0.1127,0.11307,0.09702,0.10189,7291692.8,0.10189
2021-01-08 04:00:00,1610078400000,0.10224,0.10877,0.10186,0.10842,5116309.7,0.10842
2021-01-08 08:00:00,1610092800000,0.10842,0.11588,0.10695,0.11179,13331042.4,0.11179
2021-01-08 12:00:00,1610107200000,0.11194,0.11884,0.10936,0.11358,9410996.7,0.11358
2021-01-08 16:00:00,1610121600000,0.1136,0.1143,0.10705,0.10738,5307129.7,0.10738
2021-01-08 20:00:00,1610136000000,0.1072,0.11,0.10447,0.10936,5757034.9,0.10936
2021-01-09 00:00:00,1610150400000,0.10945,0.1106,0.10669,0.1106,3862328.0,0.1106
2021-01-09 04:00:00,1610164800000,0.11059,0.11081,0.10642,0.11081,4751265.5,0.11081
2021-01-09 08:00:00,1610179200000,0.11082,0.11385,0.10996,0.11235,3049733.9,0.11235
2021-01-09 12:00:00,1610193600000,0.1124,0.11302,0.10902,0.11004,4051299.7,0.11004
2021-01-09 16:00:00,1610208000000,0.10973,0.11006,0.10598,0.10882,8847297.0,0.10882
2021-01-09 20:00:00,1610222400000,0.10879,0.11226,0.1084,0.11008,5024333.7,0.11008
2021-01-10 00:00:00,1610236800000,0.10997,0.11715,0.10996,0.1129,5681888.3,0.1129
2021-01-10 04:00:00,1610251200000,0.11289,0.125,0.11288,0.12036,17746835.9,0.12036
2021-01-10 08:00:00,1610265600000,0.12036,0.12144,0.10564,0.10601,19073546.5,0.10601
2021-01-10 12:00:00,1610280000000,0.10598,0.11161,0.10213,0.10597,21462341.9,0.10597
2021-01-10 16:00:00,1610294400000,0.1056,0.10736,0.09962,0.10042,12430360.4,0.10042
2021-01-10 20:00:00,1610308800000,0.10043,0.10256,0.09496,0.10221,14833191.0,0.10221
2021-01-11 00:00:00,1610323200000,0.10224,0.10333,0.0868,0.08998,18396246.3,0.08998
2021-01-11 04:00:00,1610337600000,0.08979,0.09633,0.0868,0.09192,16938021.1,0.09192
2021-01-11 08:00:00,1610352000000,0.09194,0.10307,0.09098,0.09219,32402965.0,0.09219
2021-01-11 12:00:00,1610366400000,0.09241,0.09999,0.09078,0.09282,35718004.0,0.09282
2021-01-11 16:00:00,1610380800000,0.09305,0.09625,0.08868,0.09441,16962844.9,0.09441
2021-01-11 20:00:00,1610395200000,0.09441,0.09831,0.09223,0.09774,7602229.0,0.09774
2021-01-12 00:00:00,1610409600000,0.09748,0.10041,0.09343,0.1002,6783569.3,0.1002
2021-01-12 04:00:00,1610424000000,0.09981,0.1067,0.09941,0.10552,7236292.2,0.10552
2021-01-12 08:00:00,1610438400000,0.10579,0.10586,0.09849,0.10056,6925280.5,0.10056
2021-01-12 12:00:00,1610452800000,0.1006,0.10184,0.09546,0.10064,7393772.6,0.10064
2021-01-12 16:00:00,1610467200000,0.10074,0.10401,0.10055,0.10149,4732116.9,0.10149
2021-01-12 20:00:00,1610481600000,0.10125,0.1044,0.09962,0.10107,5017750.1,0.10107
2021-01-13 00:00:00,1610496000000,0.10064,0.10846,0.09966,0.10825,5570994.4,0.10825
2021-01-13 04:00:00,1610510400000,0.108,0.11155,0.10561,0.11097,8523467.4,0.11097
2021-01-13 08:00:00,1610524800000,0.11098,0.11699,0.10938,0.11395,9059240.9,0.11395
2021-01-13 12:00:00,1610539200000,0.11399,0.11862,0.11164,0.11407,7892029.3,0.11407
2021-01-13 16:00:00,1610553600000,0.1138,0.11431,0.1113,0.1113,2546622.6,0.1113
2021-01-13 20:00:00,1610568000000,0.1113,0.11418,0.11103,0.11184,4378811.1,0.11184
2021-01-14 00:00:00,1610582400000,0.11196,0.11299,0.10737,0.10865,4644702.3,0.10865
2021-01-14 04:00:00,1610596800000,0.10849,0.113,0.10688,0.11165,3377195.1,0.11165
2021-01-14 08:00:00,1610611200000,0.11166,0.1122,0.10832,0.10981,3371994.7,0.10981
2021-01-14 12:00:00,1610625600000,0.10967,0.11114,0.10897,0.11004,3884360.4,0.11004
2021-01-14 16:00:00,1610640000000,0.11034,0.12893,0.11012,0.12706,23510463.3,0.12706
2021-01-14 20:00:00,1610654400000,0.12685,0.129,0.12238,0.12825,9617790.0,0.12825
2021-01-15 00:00:00,1610668800000,0.12825,0.13462,0.12684,0.12703,9978882.0,0.12703
2021-01-15 04:00:00,1610683200000,0.12712,0.135,0.12656,0.13305,8275855.7,0.13305
2021-01-15 08:00:00,1610697600000,0.13348,0.14669,0.13322,0.13925,12468388.4,0.13925
2021-01-15 12:00:00,1610712000000,0.13924,0.13952,0.12352,0.12504,10691401.5,0.12504
2021-01-15 16:00:00,1610726400000,0.12498,0.1299,0.11965,0.12551,8828585.3,0.12551
2021-01-15 20:00:00,1610740800000,0.1254,0.13387,0.124,0.13304,3054438.0,0.13304
2021-01-16 00:00:00,1610755200000,0.13346,0.13534,0.128,0.13009,2940029.8,0.13009
2021-01-16 04:00:00,1610769600000,0.13012,0.13149,0.12566,0.13083,2658989.8,0.13083
2021-01-16 08:00:00,1610784000000,0.13084,0.14165,0.1294,0.13929,8817082.0,0.13929
2021-01-16 12:00:00,1610798400000,0.13929,0.155,0.135,0.14822,9719221.2,0.14822
2021-01-16 16:00:00,1610812800000,0.14831,0.14976,0.135,0.1376,7002834.9,0.1376
2021-01-16 20:00:00,1610827200000,0.13774,0.1387,0.129,0.13413,3312859.9,0.13413
2021-01-17 00:00:00,1610841600000,0.13411,0.1394,0.1309,0.13743,3832205.6,0.13743
2021-01-17 04:00:00,1610856000000,0.13695,0.14123,0.12536,0.12638,6010790.6,0.12638
2021-01-17 08:00:00,1610870400000,0.12636,0.13396,0.12517,0.1337,4944826.5,0.1337
2021-01-17 12:00:00,1610884800000,0.13363,0.1376,0.13072,0.13513,4788680.7,0.13513
2021-01-17 16:00:00,1610899200000,0.1351,0.14162,0.134,0.14044,4092668.8,0.14044
2021-01-17 20:00:00,1610913600000,0.14044,0.1433,0.1387,0.13991,2607914.2,0.13991
2021-01-18 00:00:00,1610928000000,0.14014,0.14193,0.13261,0.13277,4477674.7,0.13277
2021-01-18 04:00:00,1610942400000,0.13269,0.13609,0.13232,0.13558,2868891.1,0.13558
2021-01-18 08:00:00,1610956800000,0.13558,0.14995,0.13527,0.14585,8510234.4,0.14585
2021-01-18 12:00:00,1610971200000,0.14585,0.14652,0.14137,0.14246,3630272.4,0.14246
2021-01-18 16:00:00,1610985600000,0.1426,0.1427,0.13714,0.13924,2968487.8,0.13924
2021-01-18 20:00:00,1611000000000,0.13928,0.14571,0.13928,0.14571,2083317.8,0.14571
2021-01-19 00:00:00,1611014400000,0.14573,0.1468,0.14215,0.14243,2201383.6,0.14243
2021-01-19 04:00:00,1611028800000,0.14242,0.14536,0.1417,0.14506,1885536.9,0.14506
2021-01-19 08:00:00,1611043200000,0.14507,0.15689,0.1433,0.15403,13327538.5,0.15403
2021-01-19 12:00:00,1611057600000,0.15411,0.15845,0.14688,0.15671,11107402.3,0.15671
2021-01-19 16:00:00,1611072000000,0.15673,0.16281,0.14688,0.14701,8702711.8,0.14701
2021-01-19 20:00:00,1611086400000,0.14701,0.15066,0.14246,0.14246,3950011.8,0.14246
2021-01-20 00:00:00,1611100800000,0.14244,0.14493,0.13508,0.13558,8064068.8,0.13558
2021-01-20 04:00:00,1611115200000,0.13564,0.14024,0.13314,0.13976,4391756.2,0.13976
