,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,7.23,7.744,7.154,7.655,258949.466,7.655
2021-01-01 04:00:00,1609473600000,7.658,7.701,7.36,7.43,142683.345,7.43
2021-01-01 08:00:00,1609488000000,7.437,7.729,7.322,7.65,204287.129,7.65
2021-01-01 12:00:00,1609502400000,7.648,8.252,7.533,8.222,620402.152,8.222
2021-01-01 16:00:00,1609516800000,8.224,8.3,7.662,8.009,405905.534,8.009
2021-01-01 20:00:00,1609531200000,8.011,8.556,7.986,8.308,314029.827,8.308
2021-01-02 00:00:00,1609545600000,8.314,8.451,8.002,8.249,196865.219,8.249
2021-01-02 04:00:00,1609560000000,8.249,8.618,8.116,8.467,211791.944,8.467
2021-01-02 08:00:00,1609574400000,8.468,8.468,8.2,8.327,146657.637,8.327
2021-01-02 12:00:00,1609588800000,8.31,8.5,8.108,8.192,231498.011,8.192
2021-01-02 16:00:00,1609603200000,8.205,8.366,8.01,8.334,260754.764,8.334
2021-01-02 20:00:00,1609617600000,8.334,8.345,7.981,8.192,148517.142,8.192
2021-01-03 00:00:00,1609632000000,8.192,8.233,7.997,8.09,92994.969,8.09
2021-01-03 04:00:00,1609646400000,8.088,8.248,8.032,8.09,132974.727,8.09
2021-01-03 08:00:00,1609660800000,8.101,8.501,8.05,8.298,240589.537,8.298
2021-01-03 12:00:00,1609675200000,8.3,8.941,8.15,8.853,629538.474,8.853
2021-01-03 16:00:00,1609689600000,8.86,9.211,8.591,8.923,431419.947,8.923
2021-01-03 20:00:00,1609704000000,8.925,9.625,8.923,9.539,326587.49,9.539
2021-01-04 00:00:00,1609718400000,9.527,10.045,9.501,9.977,447546.009,9.977
2021-01-04 04:00:00,1609732800000,9.982,10.512,9.416,9.601,415341.692,9.601
2021-01-04 08:00:00,1609747200000,9.613,9.92,8.4,9.171,552970.776,9.171
2021-01-04 12:00:00,1609761600000,9.171,10.5,9.07,10.494,461654.834,10.494
2021-01-04 16:00:00,1609776000000,10.478,10.93,9.844,10.901,395948.39,10.901
2021-01-04 20:00:00,1609790400000,10.884,11.498,10.591,11.492,565655.805,11.492
2021-01-05 00:00:00,1609804800000,11.463,12.208,10.627,10.76,616438.593,10.76
2021-01-05 04:00:00,1609819200000,10.772,11.206,10.458,10.971,390702.981,10.971
2021-01-05 08:00:00,1609833600000,10.971,12.33,10.969,12.03,633091.632,12.03
2021-01-05 12:00:00,1609848000000,12.033,12.83,11.612,12.616,534185.23,12.616
2021-01-05 16:00:00,1609862400000,12.62,13.38,12.363,12.821,532417.017,12.821
2021-01-05 20:00:00,1609876800000,12.823,12.939,12.18,12.381,420464.418,12.381
2021-01-06 00:00:00,1609891200000,12.402,12.61,11.937,12.098,356663.712,12.098
2021-01-06 04:00:00,1609905600000,12.097,13.0,12.091,13.0,282408.058,13.0
2021-01-06 08:00:00,1609920000000,13.0,13.3,12.501,13.193,290939.037,13.193
2021-01-06 12:00:00,1609934400000,13.181,13.2,12.2,12.564,330464.036,12.564
2021-01-06 16:00:00,1609948800000,12.569,12.8,11.661,11.692,306199.024,11.692
2021-01-06 20:00:00,1609963200000,11.729,12.162,11.461,12.129,332712.166,12.129
2021-01-07 00:00:00,1609977600000,12.112,12.41,11.625,12.373,287341.673,12.373
2021-01-07 04:00:00,1609992000000,12.378,12.425,11.828,11.93,194157.634,11.93
2021-01-07 08:00:00,1610006400000,11.945,12.42,11.52,12.04,243928.377,12.04
2021-01-07 12:00:00,1610020800000,12.039,13.11,12.027,13.085,271421.65,13.085
2021-01-07 16:00:00,1610035200000,13.109,13.2,11.1,12.139,476954.914,12.139
2021-01-07 20:00:00,1610049600000,12.138,12.52,11.409,11.579,226685.018,11.579
2021-01-08 00:00:00,1610064000000,11.594,11.775,9.8,11.31,486888.565,11.31
2021-01-08 04:00:00,1610078400000,11.313,12.763,10.983,12.634,411639.715,12.634
2021-01-08 08:00:00,1610092800000,12.636,12.885,12.219,12.467,334974.722,12.467
2021-01-08 12:00:00,1610107200000,12.467,12.533,11.42,11.832,340244.251,11.832
2021-01-08 16:00:00,1610121600000,11.842,12.175,11.05,11.069,204144.113,11.069
2021-01-08 20:00:00,1610136000000,11.072,11.821,10.65,11.804,230427.784,11.804
2021-01-09 00:00:00,1610150400000,11.805,11.989,11.087,11.588,285884.732,11.588
2021-01-09 04:00:00,1610164800000,11.604,11.697,11.05,11.464,133702.313,11.464
2021-01-09 08:00:00,1610179200000,11.458,11.999,11.341,11.8,134086.417,11.8
2021-01-09 12:00:00,1610193600000,11.8,12.452,11.637,12.401,279692.26,12.401
2021-01-09 16:00:00,1610208000000,12.401,13.0,11.8,12.663,535525.01,12.663
2021-01-09 20:00:00,1610222400000,12.663,13.887,12.3,13.1,469328.307,13.1
2021-01-10 00:00:00,1610236800000,13.1,13.996,13.1,13.644,268479.473,13.644
2021-01-10 04:00:00,1610251200000,13.639,13.944,13.232,13.93,179177.43,13.93
2021-01-10 08:00:00,1610265600000,13.946,13.999,12.5,12.58,408855.455,12.58
2021-01-10 12:00:00,1610280000000,12.601,13.78,12.197,13.719,399315.541,13.719
2021-01-10 16:00:00,1610294400000,13.73,14.53,12.972,13.29,865278.462,13.29
2021-01-10 20:00:00,1610308800000,13.368,14.8,12.2,14.116,660225.038,14.116
2021-01-11 00:00:00,1610323200000,14.114,14.186,11.35,12.724,701680.38,12.724
2021-01-11 04:00:00,1610337600000,12.752,13.0,11.5,12.437,540537.991,12.437
2021-01-11 08:00:00,1610352000000,12.447,13.545,12.154,12.304,437277.707,12.304
2021-01-11 12:00:00,1610366400000,12.273,12.722,10.934,11.245,519993.344,11.245
2021-01-11 16:00:00,1610380800000,11.224,12.299,10.408,11.558,543541.751,11.558
2021-01-11 20:00:00,1610395200000,11.545,12.942,11.238,12.891,354006.436,12.891
2021-01-12 00:00:00,1610409600000,12.889,13.49,12.17,13.342,375861.43,13.342
2021-01-12 04:00:00,1610424000000,13.346,15.18,13.304,14.532,677862.745,14.532
2021-01-12 08:00:00,1610438400000,14.49,14.661,13.338,14.113,658860.102,14.113
2021-01-12 12:00:00,1610452800000,14.134,14.516,12.724,14.377,799301.82,14.377
2021-01-12 16:00:00,1610467200000,14.376,16.0,14.36,15.236,1137364.877,15.236
2021-01-12 20:00:00,1610481600000,15.233,15.35,14.1,14.888,635676.488,14.888
2021-01-13 00:00:00,1610496000000,14.881,15.996,13.8,15.451,948435.093,15.451
2021-01-13 04:00:00,1610510400000,15.453,16.423,14.7,16.156,538917.674,16.156
2021-01-13 08:00:00,1610524800000,16.17,16.505,14.84,14.884,710851.714,14.884
2021-01-13 12:00:00,1610539200000,14.863,15.519,14.5,14.973,578349.88,14.973
2021-01-13 16:00:00,1610553600000,14.965,15.326,14.55,14.66,663072.921,14.66
2021-01-13 20:00:00,1610568000000,14.633,15.881,14.508,15.501,521596.294,15.501
2021-01-14 00:00:00,1610582400000,15.51,15.567,14.905,15.0,341830.696,15.0
2021-01-14 04:00:00,1610596800000,15.004,15.461,14.75,15.358,190774.274,15.358
2021-01-14 08:00:00,1610611200000,15.341,16.0,15.146,15.799,304066.959,15.799
2021-01-14 12:00:00,1610625600000,15.786,15.805,14.652,14.88,759472.951,14.88
2021-01-14 16:00:00,1610640000000,14.873,15.134,14.674,14.912,332462.105,14.912
2021-01-14 20:00:00,1610654400000,14.913,15.087,14.046,14.711,468803.94,14.711
2021-01-15 00:00:00,1610668800000,14.683,15.147,14.346,14.644,340724.578,14.644
2021-01-15 04:00:00,1610683200000,14.65,14.88,14.107,14.798,236467.064,14.798
2021-01-15 08:00:00,1610697600000,14.781,15.538,14.255,15.357,456688.066,15.357
2021-01-15 12:00:00,1610712000000,15.365,15.4,14.05,14.094,497024.447,14.094
2021-01-15 16:00:00,1610726400000,14.075,14.628,13.15,13.633,641135.88,13.633
2021-01-15 20:00:00,1610740800000,13.65,15.395,13.518,15.127,355228.04,15.127
2021-01-16 00:00:00,1610755200000,15.128,15.882,14.933,15.679,506285.843,15.679
2021-01-16 04:00:00,1610769600000,15.679,15.9,15.015,15.568,325751.792,15.568
2021-01-16 08:00:00,1610784000000,15.571,17.074,15.52,16.28,629584.228,16.28
2021-01-16 12:00:00,1610798400000,16.294,16.951,15.75,16.793,483459.868,16.793
2021-01-16 16:00:00,1610812800000,16.796,17.15,15.8,16.269,331164.413,16.269
2021-01-16 20:00:00,1610827200000,16.28,16.747,15.179,15.56,350657.677,15.56
2021-01-17 00:00:00,1610841600000,15.541,16.35,14.9,15.693,442605.579,15.693
2021-01-17 04:00:00,1610856000000,15.685,15.938,14.56,14.744,285274.404,14.744
2021-01-17 08:00:00,1610870400000,14.721,15.484,14.415,15.459,325078.9,15.459
2021-01-17 12:00:00,1610884800000,15.46,15.682,14.918,15.621,194189.105,15.621
2021-01-17 16:00:00,1610899200000,15.625,15.99,15.487,15.629,164286.073,15.629
2021-01-17 20:00:00,1610913600000,15.639,16.174,15.503,15.68,168966.742,15.68
2021-01-18 00:00:00,1610928000000,15.676,15.758,14.85,15.018,224897.137,15.018
2021-01-18 04:00:00,1610942400000,15.021,15.265,14.851,15.236,142559.826,15.236
2021-01-18 08:00:00,1610956800000,15.238,15.515,14.966,15.137,177725.683,15.137
2021-01-18 12:00:00,1610971200000,15.111,15.519,15.01,15.318,175736.04,15.318
2021-01-18 16:00:00,1610985600000,15.329,15.353,15.022,15.23,148579.363,15.23
