,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,1.0429,1.0749,1.0239,1.0693,470239.11,1.0693,sell
2021-01-01 04:00:00,1609473600000,1.0693,1.075,1.0512,1.0579,241892.24,1.0579,sell
2021-01-01 08:00:00,1609488000000,1.0593,1.0799,1.0344,1.0762,600484.55,1.0762,sell
2021-01-01 12:00:00,1609502400000,1.0762,1.0881,1.0501,1.0847,747857.91,1.0847,sell
2021-01-01 16:00:00,1609516800000,1.0865,1.105,1.0429,1.0868,1147216.78,1.0868,sell
2021-01-01 20:00:00,1609531200000,1.0887,1.135,1.0832,1.1318,581092.03,1.1318,sell
2021-01-02 00:00:00,1609545600000,1.1306,1.1346,1.0678,1.1284,820364.24,1.1284,sell
2021-01-02 04:00:00,1609560000000,1.1291,1.16,1.1014,1.1022,798486.7,1.1022,sell
2021-01-02 08:00:00,1609574400000,1.1022,1.1055,1.0627,1.0772,477098.52,1.0772,sell
2021-01-02 12:00:00,1609588800000,1.0787,1.0954,1.0619,1.0706,764707.38,1.0706,sell
2021-01-02 16:00:00,1609603200000,1.07,1.09,1.06,1.0816,409461.5,1.0816,sell
2021-01-02 20:00:00,1609617600000,1.0821,1.0834,1.0357,1.0604,547708.16,1.0604,sell
2021-01-03 00:00:00,1609632000000,1.0597,1.0617,1.0353,1.0498,299555.54,1.0498,sell
2021-01-03 04:00:00,1609646400000,1.0504,1.0611,1.0475,1.0539,247587.11,1.0539,sell
2021-01-03 08:00:00,1609660800000,1.0531,1.109,1.045,1.1069,943107.67,1.1069,sell
2021-01-03 12:00:00,1609675200000,1.1069,1.1557,1.0917,1.1103,1304561.77,1.1103,sell
2021-01-03 16:00:00,1609689600000,1.1089,1.15,1.107,1.1251,743201.07,1.1251,sell
2021-01-03 20:00:00,1609704000000,1.1247,1.205,1.1246,1.1813,774234.89,1.1813,sell
2021-01-04 00:00:00,1609718400000,1.1813,1.2345,1.1516,1.1624,2463983.76,1.1624,sell
2021-01-04 04:00:00,1609732800000,1.1625,1.241,1.1158,1.14,2852395.92,1.14,sell
2021-01-04 08:00:00,1609747200000,1.1407,1.1758,1.0161,1.0907,2098337.04,1.0907,sell
2021-01-04 12:00:00,1609761600000,1.0905,1.1512,1.0824,1.1406,1101321.42,1.1406,sell
2021-01-04 16:00:00,1609776000000,1.1407,1.2549,1.0936,1.2496,2215021.14,1.2496,sell
2021-01-04 20:00:00,1609790400000,1.25,1.3389,1.2205,1.3149,2355010.0,1.3149,sell
2021-01-05 00:00:00,1609804800000,1.3172,1.3505,1.1845,1.196,2579974.12,1.196,sell
2021-01-05 04:00:00,1609819200000,1.1958,1.238,1.1569,1.1915,1572356.6,1.1915,sell
2021-01-05 08:00:00,1609833600000,1.194,1.4565,1.194,1.409,3414416.44,1.409,sell
2021-01-05 12:00:00,1609848000000,1.4084,1.55,1.3467,1.5213,4545759.07,1.5213,sell
2021-01-05 16:00:00,1609862400000,1.5213,1.6206,1.455,1.53,3082718.32,1.53,sell
2021-01-05 20:00:00,1609876800000,1.53,1.5563,1.4563,1.4791,1685871.59,1.4791,buy
2021-01-06 00:00:00,1609891200000,1.4776,1.4958,1.4076,1.4466,1276737.43,1.4466,buy
2021-01-06 04:00:00,1609905600000,1.4478,1.5009,1.425,1.4986,1347977.73,1.4986,buy
2021-01-06 08:00:00,1609920000000,1.498,1.5847,1.49,1.5388,1750974.03,1.5388,buy
2021-01-06 12:00:00,1609934400000,1.5405,1.5687,1.4289,1.4603,2027323.78,1.4603,buy
2021-01-06 16:00:00,1609948800000,1.4586,1.5532,1.4205,1.4205,1890283.21,1.4205,buy
2021-01-06 20:00:00,1609963200000,1.4233,1.4568,1.359,1.4425,1678769.96,1.4425,buy
2021-01-07 00:00:00,1609977600000,1.4439,1.485,1.4149,1.4779,1021505.9,1.4779,buy
2021-01-07 04:00:00,1609992000000,1.4768,1.4979,1.4334,1.4796,976354.79,1.4796,buy
2021-01-07 08:00:00,1610006400000,1.4795,1.49,1.3868,1.4555,1412843.38,1.4555,buy
2021-01-07 12:00:00,1610020800000,1.4541,1.57,1.4402,1.541,2388906.02,1.541,buy
2021-01-07 16:00:00,1610035200000,1.5435,1.558,1.311,1.4461,2009945.37,1.4461,buy
2021-01-07 20:00:00,1610049600000,1.4469,1.4532,1.3653,1.3991,963750.13,1.3991,buy
2021-01-08 00:00:00,1610064000000,1.3993,1.4182,1.25,1.304,1419107.74,1.304,sell
2021-01-08 04:00:00,1610078400000,1.304,1.3628,1.2728,1.3619,1210755.06,1.3619,buy
2021-01-08 08:00:00,1610092800000,1.3602,1.53,1.3291,1.5074,3084543.93,1.5074,buy
2021-01-08 12:00:00,1610107200000,1.5074,1.9,1.4925,1.7064,9701834.92,1.7064,buy
2021-01-08 16:00:00,1610121600000,1.7068,1.7523,1.58,1.6,2547103.63,1.6,buy
2021-01-08 20:00:00,1610136000000,1.5983,1.6933,1.5164,1.6339,2196703.85,1.6339,buy
2021-01-09 00:00:00,1610150400000,1.6339,1.6461,1.5,1.6032,3448077.27,1.6032,buy
2021-01-09 04:00:00,1610164800000,1.6036,1.6211,1.5101,1.5514,2166446.27,1.5514,buy
2021-01-09 08:00:00,1610179200000,1.5542,1.6459,1.5392,1.6015,2364329.18,1.6015,buy
2021-01-09 12:00:00,1610193600000,1.6019,1.7636,1.5974,1.6414,3259142.79,1.6414,buy
2021-01-09 16:00:00,1610208000000,1.6414,1.7498,1.6,1.7464,1359786.17,1.7464,buy
2021-01-09 20:00:00,1610222400000,1.7444,1.7999,1.6582,1.7242,1925628.71,1.7242,buy
2021-01-10 00:00:00,1610236800000,1.7292,1.7724,1.709,1.7176,1065932.0,1.7176,buy
