,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.2905,0.3048,0.2862,0.3006,3373996.86,0.3006
2021-01-01 04:00:00,1609473600000,0.3005,0.3007,0.2914,0.2949,413160.83,0.2949
2021-01-01 08:00:00,1609488000000,0.2949,0.2965,0.2879,0.296,367089.33,0.296
2021-01-01 12:00:00,1609502400000,0.2962,0.304,0.293,0.2967,550551.34,0.2967
2021-01-01 16:00:00,1609516800000,0.2969,0.3037,0.2874,0.2934,613709.73,0.2934
2021-01-01 20:00:00,1609531200000,0.2934,0.2968,0.2899,0.2953,407369.92,0.2953
2021-01-02 00:00:00,1609545600000,0.2953,0.2961,0.285,0.2943,560905.88,0.2943
2021-01-02 04:00:00,1609560000000,0.294,0.2974,0.2926,0.2926,174392.27,0.2926
2021-01-02 08:00:00,1609574400000,0.2925,0.293,0.2861,0.2913,130161.76,0.2913
2021-01-02 12:00:00,1609588800000,0.2908,0.2945,0.288,0.2929,319666.5,0.2929
2021-01-02 16:00:00,1609603200000,0.2923,0.2971,0.2891,0.2944,486082.66,0.2944
2021-01-02 20:00:00,1609617600000,0.2941,0.2944,0.2845,0.2928,670540.96,0.2928
2021-01-03 00:00:00,1609632000000,0.2925,0.31,0.2915,0.2996,912199.1,0.2996
2021-01-03 04:00:00,1609646400000,0.2997,0.3068,0.292,0.2939,1255628.99,0.2939
2021-01-03 08:00:00,1609660800000,0.2938,0.3247,0.2921,0.3047,3345258.33,0.3047
2021-01-03 12:00:00,1609675200000,0.3052,0.319,0.3026,0.3089,1729953.43,0.3089
2021-01-03 16:00:00,1609689600000,0.3096,0.3357,0.3021,0.307,1389779.87,0.307
2021-01-03 20:00:00,1609704000000,0.307,0.318,0.303,0.3116,870436.62,0.3116
2021-01-04 00:00:00,1609718400000,0.3125,0.329,0.3121,0.3252,1165555.34,0.3252
2021-01-04 04:00:00,1609732800000,0.3245,0.3394,0.3072,0.3151,1938563.71,0.3151
2021-01-04 08:00:00,1609747200000,0.3151,0.3213,0.2789,0.2937,2566291.65,0.2937
2021-01-04 12:00:00,1609761600000,0.2941,0.3073,0.2894,0.3001,1400470.5,0.3001
2021-01-04 16:00:00,1609776000000,0.3006,0.3019,0.2905,0.2956,872644.55,0.2956
2021-01-04 20:00:00,1609790400000,0.2964,0.3038,0.2921,0.3038,693041.91,0.3038
2021-01-05 00:00:00,1609804800000,0.3042,0.3084,0.2891,0.2909,1788201.55,0.2909
2021-01-05 04:00:00,1609819200000,0.291,0.2953,0.284,0.2893,869336.45,0.2893
2021-01-05 08:00:00,1609833600000,0.2896,0.3137,0.2893,0.3129,3333381.26,0.3129
2021-01-05 12:00:00,1609848000000,0.3129,0.3187,0.299,0.3177,1499449.85,0.3177
2021-01-05 16:00:00,1609862400000,0.3184,0.3208,0.3058,0.3107,851375.9,0.3107
