,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,2.869,3.05,2.793,3.004,2587002.516,3.004
2021-01-01 04:00:00,1609473600000,3.004,3.038,2.843,2.903,1895824.577,2.903
2021-01-01 08:00:00,1609488000000,2.906,2.99,2.827,2.973,1409108.056,2.973
2021-01-01 12:00:00,1609502400000,2.977,3.198,2.897,3.113,3462821.454,3.113
2021-01-01 16:00:00,1609516800000,3.111,3.289,2.947,3.095,4882066.358,3.095
2021-01-01 20:00:00,1609531200000,3.095,3.338,3.077,3.333,2724929.574,3.333
2021-01-02 00:00:00,1609545600000,3.332,3.368,3.096,3.193,2859676.547,3.193
2021-01-02 04:00:00,1609560000000,3.193,3.356,3.152,3.233,2087975.269,3.233
2021-01-02 08:00:00,1609574400000,3.232,3.254,3.103,3.14,1987443.454,3.14
2021-01-02 12:00:00,1609588800000,3.141,3.23,3.009,3.199,2607832.948,3.199
2021-01-02 16:00:00,1609603200000,3.199,3.328,3.084,3.293,2588559.134,3.293
2021-01-02 20:00:00,1609617600000,3.293,3.297,3.062,3.203,2089982.803,3.203
2021-01-03 00:00:00,1609632000000,3.203,3.205,3.08,3.097,562774.174,3.097
2021-01-03 04:00:00,1609646400000,3.094,3.177,3.053,3.163,1006277.077,3.163
2021-01-03 08:00:00,1609660800000,3.168,3.27,2.936,3.098,3952529.17,3.098
2021-01-03 12:00:00,1609675200000,3.097,3.45,3.081,3.34,4199261.052,3.34
2021-01-03 16:00:00,1609689600000,3.339,3.55,3.225,3.28,4164920.396,3.28
2021-01-03 20:00:00,1609704000000,3.275,3.588,3.27,3.445,2184550.005,3.445
2021-01-04 00:00:00,1609718400000,3.448,3.95,3.434,3.894,2687332.182,3.894
2021-01-04 04:00:00,1609732800000,3.894,4.163,3.62,3.738,3840025.956,3.738
2021-01-04 08:00:00,1609747200000,3.744,3.835,3.17,3.585,4955390.386,3.585
2021-01-04 12:00:00,1609761600000,3.584,3.842,3.5,3.745,3445360.948,3.745
2021-01-04 16:00:00,1609776000000,3.747,3.776,3.364,3.387,2898640.724,3.387
2021-01-04 20:00:00,1609790400000,3.385,3.585,3.292,3.563,3450372.021,3.563
2021-01-05 00:00:00,1609804800000,3.565,3.774,3.317,3.326,2910840.868,3.326
2021-01-05 04:00:00,1609819200000,3.325,3.414,3.111,3.261,3548788.881,3.261
2021-01-05 08:00:00,1609833600000,3.263,3.514,3.263,3.497,2658208.499,3.497
2021-01-05 12:00:00,1609848000000,3.498,3.635,3.349,3.63,3122401.918,3.63
2021-01-05 16:00:00,1609862400000,3.63,4.02,3.527,3.872,5161500.556,3.872
2021-01-05 20:00:00,1609876800000,3.871,3.965,3.726,3.853,1615983.948,3.853
2021-01-06 00:00:00,1609891200000,3.859,3.915,3.674,3.724,1072339.261,3.724
2021-01-06 04:00:00,1609905600000,3.728,3.928,3.708,3.77,1779589.796,3.77
2021-01-06 08:00:00,1609920000000,3.772,4.113,3.715,4.052,2616553.762,4.052
