,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,0.741,0.771,0.725,0.755,4101195.813,0.755,sell
2021-01-01 04:00:00,1609473600000,0.755,0.756,0.712,0.727,2287416.764,0.727,sell
2021-01-01 08:00:00,1609488000000,0.729,0.735,0.705,0.728,2249499.224,0.728,sell
2021-01-01 12:00:00,1609502400000,0.729,0.741,0.713,0.721,2237731.43,0.721,sell
2021-01-01 16:00:00,1609516800000,0.722,0.728,0.675,0.7,4442317.461,0.7,sell
2021-01-01 20:00:00,1609531200000,0.7,0.721,0.696,0.712,1770125.464,0.712,sell
2021-01-02 00:00:00,1609545600000,0.712,0.732,0.685,0.726,2960037.615,0.726,sell
2021-01-02 04:00:00,1609560000000,0.728,0.749,0.71,0.713,2294135.428,0.713,sell
2021-01-02 08:00:00,1609574400000,0.713,0.719,0.7,0.718,1299330.077,0.718,sell
2021-01-02 12:00:00,1609588800000,0.717,0.722,0.703,0.719,2175379.533,0.719,sell
2021-01-02 16:00:00,1609603200000,0.719,0.76,0.704,0.742,4765951.226,0.742,sell
2021-01-02 20:00:00,1609617600000,0.743,0.75,0.717,0.746,3035895.12,0.746,sell
2021-01-03 00:00:00,1609632000000,0.747,0.8,0.742,0.752,5878626.444,0.752,sell
2021-01-03 04:00:00,1609646400000,0.752,0.783,0.744,0.753,6345965.5,0.753,sell
2021-01-03 08:00:00,1609660800000,0.753,0.81,0.75,0.8,6711743.982,0.8,sell
2021-01-03 12:00:00,1609675200000,0.8,0.832,0.769,0.793,14404584.596,0.793,sell
2021-01-03 16:00:00,1609689600000,0.793,0.801,0.737,0.754,15777854.535,0.754,sell
2021-01-03 20:00:00,1609704000000,0.753,0.781,0.729,0.772,8156715.207,0.772,sell
2021-01-04 00:00:00,1609718400000,0.773,0.845,0.772,0.809,10873013.828,0.809,sell
2021-01-04 04:00:00,1609732800000,0.808,0.915,0.722,0.761,20176842.473,0.761,sell
2021-01-04 08:00:00,1609747200000,0.762,0.779,0.675,0.726,15250644.166,0.726,sell
2021-01-04 12:00:00,1609761600000,0.727,0.739,0.709,0.727,10782971.116,0.727,sell
2021-01-04 16:00:00,1609776000000,0.728,0.736,0.708,0.733,3704764.432,0.733,sell
2021-01-04 20:00:00,1609790400000,0.733,0.736,0.717,0.731,2901808.778,0.731,sell
2021-01-05 00:00:00,1609804800000,0.732,0.776,0.71,0.714,7006382.968,0.714,sell
2021-01-05 04:00:00,1609819200000,0.714,0.722,0.692,0.706,4405408.287,0.706,sell
2021-01-05 08:00:00,1609833600000,0.706,0.759,0.706,0.748,4312675.449,0.748,sell
2021-01-05 12:00:00,1609848000000,0.747,0.75,0.727,0.743,3460598.273,0.743,sell
2021-01-05 16:00:00,1609862400000,0.744,0.776,0.735,0.751,6242057.407,0.751,sell
2021-01-05 20:00:00,1609876800000,0.751,0.763,0.744,0.758,2827571.547,0.758,buy
2021-01-06 00:00:00,1609891200000,0.758,0.766,0.718,0.73,5785854.754,0.73,sell
2021-01-06 04:00:00,1609905600000,0.73,0.749,0.728,0.743,3752645.197,0.743,buy
2021-01-06 08:00:00,1609920000000,0.743,0.785,0.734,0.785,5490369.885,0.785,buy
2021-01-06 12:00:00,1609934400000,0.785,0.832,0.775,0.813,9907561.859,0.813,buy
