,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,1.86057,1.977,1.78,1.97013,6583252.3,1.97013
2021-01-01 04:00:00,1609473600000,1.97146,1.99,1.89,1.98328,5129612.0,1.98328
2021-01-01 08:00:00,1609488000000,1.98492,2.07,1.92957,2.04813,7347382.9,2.04813
2021-01-01 12:00:00,1609502400000,2.04921,2.2895,2.03333,2.21301,16324737.0,2.21301
2021-01-01 16:00:00,1609516800000,2.21301,2.301,2.03,2.12722,16317518.6,2.12722
2021-01-01 20:00:00,1609531200000,2.1242,2.19712,1.94033,1.96621,9983985.5,1.96621
2021-01-02 00:00:00,1609545600000,1.97024,2.08653,1.92616,2.01999,7891126.2,2.01999
2021-01-02 04:00:00,1609560000000,2.02,2.20591,2.01395,2.15419,6195644.0,2.15419
2021-01-02 08:00:00,1609574400000,2.15268,2.16986,2.03961,2.06405,3846124.0,2.06405
2021-01-02 12:00:00,1609588800000,2.06293,2.31022,2.02976,2.25342,8717534.8,2.25342
2021-01-02 16:00:00,1609603200000,2.25131,2.4765,2.155,2.45353,11009487.2,2.45353
2021-01-02 20:00:00,1609617600000,2.45409,2.51,2.15977,2.40024,11890194.5,2.40024
2021-01-03 00:00:00,1609632000000,2.40426,2.40687,2.26239,2.30455,4415512.6,2.30455
2021-01-03 04:00:00,1609646400000,2.30231,2.42,2.30231,2.35977,4915977.5,2.35977
2021-01-03 08:00:00,1609660800000,2.35699,2.39053,2.13231,2.21929,7610403.7,2.21929
2021-01-03 12:00:00,1609675200000,2.21831,2.2641,2.0611,2.111,8111324.2,2.111
2021-01-03 16:00:00,1609689600000,2.11121,2.18891,2.06976,2.14265,5145905.8,2.14265
2021-01-03 20:00:00,1609704000000,2.14294,2.26429,2.10508,2.12597,4601472.0,2.12597
2021-01-04 00:00:00,1609718400000,2.12904,2.26175,2.12899,2.22578,3882301.9,2.22578
2021-01-04 04:00:00,1609732800000,2.22109,2.23836,1.87547,1.96871,8248833.3,1.96871
2021-01-04 08:00:00,1609747200000,1.9687,2.03678,1.7611,1.95983,9096068.7,1.95983
2021-01-04 12:00:00,1609761600000,1.95951,2.06631,1.91384,1.96342,6626801.8,1.96342
2021-01-04 16:00:00,1609776000000,1.96329,1.97842,1.81612,1.8618,6537609.2,1.8618
2021-01-04 20:00:00,1609790400000,1.86267,1.98,1.8103,1.96868,4716177.0,1.96868
2021-01-05 00:00:00,1609804800000,1.96989,2.14,1.93378,2.01952,6863416.9,2.01952
2021-01-05 04:00:00,1609819200000,2.0194,2.12649,1.91301,2.04568,6905580.5,2.04568
2021-01-05 08:00:00,1609833600000,2.04754,2.18436,2.03918,2.16765,4708079.5,2.16765
2021-01-05 12:00:00,1609848000000,2.16539,2.35586,2.11429,2.29605,8359220.7,2.29605
2021-01-05 16:00:00,1609862400000,2.29605,2.35,2.20342,2.2461,5859051.6,2.2461
2021-01-05 20:00:00,1609876800000,2.2461,2.29,2.12,2.13193,4569110.9,2.13193
2021-01-06 00:00:00,1609891200000,2.13223,2.26117,2.09,2.2302,3850063.7,2.2302
2021-01-06 04:00:00,1609905600000,2.22677,2.26275,2.13999,2.18195,3741728.7,2.18195
2021-01-06 08:00:00,1609920000000,2.18195,2.27842,2.13,2.19615,3424626.5,2.19615
2021-01-06 12:00:00,1609934400000,2.19616,2.24859,2.15001,2.2058,4047734.2,2.2058
2021-01-06 16:00:00,1609948800000,2.20514,2.315,2.12222,2.13407,3913950.5,2.13407
2021-01-06 20:00:00,1609963200000,2.13443,2.19701,2.06601,2.16676,3721212.5,2.16676
