,datetime,open,high,low,close,volume,adj_close,signal
2021-04-13 04:00:00,1618286400000,0.1,5.95,0.1,0.657,340805181.88,0.657,sell
2021-04-13 08:00:00,1618300800000,0.6583,0.738,0.543,0.5555,195277592.43,0.5555,sell
2021-04-13 12:00:00,1618315200000,0.5542,0.6032,0.5315,0.5483,92181502.19,0.5483,sell
2021-04-13 16:00:00,1618329600000,0.5481,0.555,0.5025,0.5428,61681080.71,0.5428,sell
2021-04-13 20:00:00,1618344000000,0.5429,0.74,0.5416,0.7269,244307163.13,0.7269,sell
2021-04-14 00:00:00,1618358400000,0.7269,0.9389,0.706,0.708,321874820.14,0.708,sell
2021-04-14 04:00:00,1618372800000,0.7082,0.815,0.5923,0.6172,135208897.79,0.6172,sell
2021-04-14 08:00:00,1618387200000,0.6172,0.6677,0.555,0.6219,128533783.96,0.6219,sell
2021-04-14 12:00:00,1618401600000,0.6236,0.63,0.571,0.609,53323583.79,0.609,sell
2021-04-14 16:00:00,1618416000000,0.6091,0.6198,0.5706,0.5894,40189999.47,0.5894,sell
2021-04-14 20:00:00,1618430400000,0.5894,0.6129,0.5502,0.583,31826585.86,0.583,sell
2021-04-15 00:00:00,1618444800000,0.5844,0.5844,0.53,0.5355,26083045.62,0.5355,sell
2021-04-15 04:00:00,1618459200000,0.5355,0.5514,0.5265,0.5426,24135506.68,0.5426,sell
2021-04-15 08:00:00,1618473600000,0.5418,0.579,0.5308,0.5351,37244425.99,0.5351,sell
2021-04-15 12:00:00,1618488000000,0.5354,0.5517,0.53,0.5465,23188773.04,0.5465,sell
2021-04-15 16:00:00,1618502400000,0.5464,0.5499,0.4867,0.4973,54695445.41,0.4973,sell
2021-04-15 20:00:00,1618516800000,0.4972,0.4982,0.4658,0.4799,40011435.68,0.4799,sell
2021-04-16 00:00:00,1618531200000,0.48,0.485,0.4343,0.4504,34556311.21,0.4504,sell
2021-04-16 04:00:00,1618545600000,0.4504,0.4705,0.405,0.4496,37149768.99,0.4496,sell
2021-04-16 08:00:00,1618560000000,0.4499,0.4625,0.3991,0.4153,29994719.57,0.4153,sell
2021-04-16 12:00:00,1618574400000,0.4155,0.424,0.3726,0.4013,40261800.29,0.4013,sell
2021-04-16 16:00:00,1618588800000,0.4019,0.43,0.381,0.3972,29899606.7,0.3972,sell
2021-04-16 20:00:00,1618603200000,0.3967,0.4189,0.3812,0.3829,21634975.87,0.3829,sell
2021-04-17 00:00:00,1618617600000,0.3826,0.4063,0.3783,0.3871,18625610.17,0.3871,sell
2021-04-17 04:00:00,1618632000000,0.3874,0.4499,0.3847,0.4356,36115219.35,0.4356,sell
2021-04-17 08:00:00,1618646400000,0.4356,0.4367,0.3962,0.4005,22544944.96,0.4005,sell
2021-04-17 12:00:00,1618660800000,0.4006,0.4082,0.3795,0.3859,20987781.21,0.3859,sell
2021-04-17 16:00:00,1618675200000,0.3868,0.3979,0.38,0.3859,12472999.68,0.3859,sell
2021-04-17 20:00:00,1618689600000,0.386,0.42,0.3851,0.3999,15366974.2,0.3999,sell
2021-04-18 00:00:00,1618704000000,0.4001,0.4095,0.315,0.3275,24694380.9,0.3275,sell
2021-04-18 04:00:00,1618718400000,0.3275,0.3542,0.3151,0.3484,17547793.13,0.3484,sell
2021-04-18 08:00:00,1618732800000,0.3482,0.351,0.3048,0.305,17309535.54,0.305,sell
2021-04-18 12:00:00,1618747200000,0.305,0.334,0.3038,0.3257,13257674.74,0.3257,sell
2021-04-18 16:00:00,1618761600000,0.3251,0.3332,0.3104,0.3237,10361032.93,0.3237,sell
2021-04-18 20:00:00,1618776000000,0.3238,0.3825,0.3149,0.3597,28843709.51,0.3597,sell
2021-04-19 00:00:00,1618790400000,0.3595,0.395,0.3526,0.3767,23322080.02,0.3767,sell
2021-04-19 04:00:00,1618804800000,0.3768,0.415,0.3557,0.4138,27719223.67,0.4138,sell
2021-04-19 08:00:00,1618819200000,0.4142,0.415,0.3577,0.3635,30733116.54,0.3635,sell
2021-04-19 12:00:00,1618833600000,0.3635,0.366,0.317,0.3199,28680519.49,0.3199,sell
2021-04-19 16:00:00,1618848000000,0.3197,0.3537,0.318,0.3387,17069809.77,0.3387,sell
2021-04-19 20:00:00,1618862400000,0.3384,0.3533,0.3202,0.3211,10628081.93,0.3211,sell
2021-04-20 00:00:00,1618876800000,0.3211,0.3234,0.2912,0.3045,10071191.11,0.3045,sell
2021-04-20 04:00:00,1618891200000,0.3035,0.3269,0.295,0.303,12674506.72,0.303,sell
2021-04-20 08:00:00,1618905600000,0.3031,0.325,0.3002,0.3193,14171183.01,0.3193,sell
2021-04-20 12:00:00,1618920000000,0.3187,0.336,0.3079,0.3171,11026692.1,0.3171,sell
2021-04-20 16:00:00,1618934400000,0.3173,0.331,0.309,0.3248,10458174.52,0.3248,sell
2021-04-20 20:00:00,1618948800000,0.3246,0.3266,0.3,0.3023,8883773.73,0.3023,sell
2021-04-21 00:00:00,1618963200000,0.3024,0.3212,0.2971,0.3069,12660320.77,0.3069,sell
2021-04-21 04:00:00,1618977600000,0.3064,0.3195,0.302,0.3087,9683806.96,0.3087,sell
2021-04-21 08:00:00,1618992000000,0.3084,0.31,0.2782,0.2828,15531833.74,0.2828,sell
2021-04-21 12:00:00,1619006400000,0.2827,0.3053,0.2787,0.297,14496006.02,0.297,sell
2021-04-21 16:00:00,1619020800000,0.2969,0.309,0.2884,0.3009,11615524.27,0.3009,sell
2021-04-21 20:00:00,1619035200000,0.3009,0.309,0.2787,0.2818,9617619.9,0.2818,sell
2021-04-22 00:00:00,1619049600000,0.2811,0.2919,0.27,0.2741,10626962.42,0.2741,sell
2021-04-22 04:00:00,1619064000000,0.2743,0.2851,0.274,0.2752,6174149.97,0.2752,sell
2021-04-22 08:00:00,1619078400000,0.2752,0.2782,0.2588,0.2727,13244959.52,0.2727,sell
2021-04-22 12:00:00,1619092800000,0.2727,0.29,0.2727,0.2877,9730788.34,0.2877,sell
2021-04-22 16:00:00,1619107200000,0.2882,0.298,0.2645,0.267,13246504.19,0.267,sell
2021-04-22 20:00:00,1619121600000,0.2674,0.2749,0.25,0.2542,12246584.56,0.2542,sell
2021-04-23 00:00:00,1619136000000,0.2532,0.2565,0.1965,0.2233,24058834.53,0.2233,sell
2021-04-23 04:00:00,1619150400000,0.2236,0.2285,0.1981,0.2053,13832023.57,0.2053,sell
2021-04-23 08:00:00,1619164800000,0.2051,0.2343,0.1991,0.2288,12319806.96,0.2288,sell
2021-04-23 12:00:00,1619179200000,0.2288,0.2312,0.207,0.2201,9230522.22,0.2201,sell
2021-04-23 16:00:00,1619193600000,0.22,0.2295,0.2148,0.228,6056333.74,0.228,sell
2021-04-23 20:00:00,1619208000000,0.2281,0.2345,0.216,0.2253,9673947.78,0.2253,sell
2021-04-24 00:00:00,1619222400000,0.2266,0.2275,0.2056,0.2203,10437034.63,0.2203,sell
2021-04-24 04:00:00,1619236800000,0.22,0.2287,0.2151,0.2157,6979347.43,0.2157,sell
2021-04-24 08:00:00,1619251200000,0.2158,0.2289,0.196,0.2054,16029472.85,0.2054,sell
2021-04-24 12:00:00,1619265600000,0.2053,0.222,0.2035,0.2202,10401939.28,0.2202,sell
2021-04-24 16:00:00,1619280000000,0.2208,0.2395,0.2149,0.2389,7742987.58,0.2389,sell
2021-04-24 20:00:00,1619294400000,0.239,0.2981,0.2327,0.2634,73779005.74,0.2634,sell
2021-04-25 00:00:00,1619308800000,0.2636,0.317,0.2565,0.2575,78802190.47,0.2575,sell
2021-04-25 04:00:00,1619323200000,0.2576,0.2588,0.2575,0.2583,18841.56,0.2583,sell
2021-04-25 08:00:00,1619337600000,0.2583,0.31,0.2583,0.2713,60628981.0,0.2713,buy
2021-04-25 12:00:00,1619352000000,0.2711,0.2879,0.266,0.2665,34350585.11,0.2665,buy
2021-04-25 16:00:00,1619366400000,0.2668,0.274,0.2463,0.2467,21558962.73,0.2467,sell
2021-04-25 20:00:00,1619380800000,0.2468,0.2521,0.2262,0.2439,23102590.9,0.2439,sell
2021-04-26 00:00:00,1619395200000,0.2439,0.2637,0.2404,0.2604,20642118.39,0.2604,buy
2021-04-26 04:00:00,1619409600000,0.2603,0.273,0.2495,0.2646,20338076.41,0.2646,buy
2021-04-26 08:00:00,1619424000000,0.2646,0.2775,0.25,0.2697,23026383.93,0.2697,buy
2021-04-26 12:00:00,1619438400000,0.2698,0.273,0.2605,0.2668,15079318.85,0.2668,buy
2021-04-26 16:00:00,1619452800000,0.2666,0.2699,0.2556,0.2594,12061223.18,0.2594,buy
2021-04-26 20:00:00,1619467200000,0.2594,0.2702,0.249,0.2695,12014448.23,0.2695,buy
2021-04-27 00:00:00,1619481600000,0.2694,0.2707,0.2599,0.2635,10046295.08,0.2635,buy
2021-04-27 04:00:00,1619496000000,0.2635,0.2738,0.2565,0.2669,13457675.02,0.2669,buy
2021-04-27 08:00:00,1619510400000,0.2666,0.2843,0.265,0.2824,23006338.56,0.2824,buy
2021-04-27 12:00:00,1619524800000,0.282,0.325,0.2743,0.3242,49922017.44,0.3242,buy
2021-04-27 16:00:00,1619539200000,0.3245,0.3798,0.3128,0.358,114976659.79,0.358,buy
2021-04-27 20:00:00,1619553600000,0.358,0.375,0.3337,0.3385,50562218.02,0.3385,buy
2021-04-28 00:00:00,1619568000000,0.3385,0.4,0.32,0.3765,74610375.52,0.3765,buy
2021-04-28 04:00:00,1619582400000,0.3775,0.4278,0.3412,0.3823,123840774.85,0.3823,buy
2021-04-28 08:00:00,1619596800000,0.3823,0.394,0.3471,0.3774,56572657.18,0.3774,buy
2021-04-28 12:00:00,1619611200000,0.3774,0.4101,0.3603,0.3705,67782991.22,0.3705,buy
2021-04-28 16:00:00,1619625600000,0.3705,0.3709,0.3556,0.3641,24140131.81,0.3641,buy
2021-04-28 20:00:00,1619640000000,0.3647,0.367,0.3382,0.3537,24892545.09,0.3537,buy
2021-04-29 00:00:00,1619654400000,0.3538,0.3945,0.3536,0.3789,50722319.31,0.3789,buy
2021-04-29 04:00:00,1619668800000,0.3789,0.465,0.3636,0.4644,85393101.65,0.4644,buy
2021-04-29 08:00:00,1619683200000,0.464,0.495,0.4256,0.4595,101056806.94,0.4595,buy
2021-04-29 12:00:00,1619697600000,0.4595,0.475,0.4328,0.4627,57083371.13,0.4627,buy
2021-04-29 16:00:00,1619712000000,0.4624,0.4632,0.4103,0.4265,43672376.31,0.4265,buy
2021-04-29 20:00:00,1619726400000,0.425,0.4619,0.4152,0.4382,33521354.93,0.4382,buy
2021-04-30 00:00:00,1619740800000,0.4393,0.4525,0.411,0.4214,29823283.24,0.4214,buy
2021-04-30 04:00:00,1619755200000,0.4214,0.4713,0.4193,0.4434,39303360.89,0.4434,buy
2021-04-30 08:00:00,1619769600000,0.4432,0.4533,0.418,0.4187,27980080.43,0.4187,buy
2021-04-30 12:00:00,1619784000000,0.4187,0.4546,0.415,0.4306,41680243.73,0.4306,buy
2021-04-30 16:00:00,1619798400000,0.4303,0.4469,0.4245,0.4293,24402573.01,0.4293,buy
2021-04-30 20:00:00,1619812800000,0.429,0.4397,0.4188,0.4276,19769717.37,0.4276,buy
2021-05-01 00:00:00,1619827200000,0.4281,0.47,0.417,0.448,34895203.22,0.448,buy
2021-05-01 04:00:00,1619841600000,0.448,0.4601,0.4309,0.4316,21464249.87,0.4316,buy
2021-05-01 08:00:00,1619856000000,0.4317,0.4429,0.42,0.4341,24495921.55,0.4341,buy
2021-05-01 12:00:00,1619870400000,0.4344,0.4418,0.425,0.4304,18681637.35,0.4304,buy
2021-05-01 16:00:00,1619884800000,0.4305,0.4737,0.43,0.4698,59701259.29,0.4698,buy
2021-05-01 20:00:00,1619899200000,0.4698,0.5177,0.4606,0.4747,80714636.61,0.4747,buy
2021-05-02 00:00:00,1619913600000,0.475,0.534,0.472,0.4726,76730190.6,0.4726,buy
2021-05-02 04:00:00,1619928000000,0.4729,0.5149,0.4553,0.5005,48477883.69,0.5005,buy
2021-05-02 08:00:00,1619942400000,0.5006,0.59,0.485,0.5627,115276565.28,0.5627,buy
2021-05-02 12:00:00,1619956800000,0.5621,0.6985,0.5274,0.6577,248665536.55,0.6577,buy
2021-05-02 16:00:00,1619971200000,0.6584,0.8786,0.6484,0.7448,476627978.52,0.7448,buy
2021-05-02 20:00:00,1619985600000,0.7448,0.784,0.7012,0.7549,124506311.72,0.7549,buy
2021-05-03 00:00:00,1620000000000,0.7549,0.78,0.6618,0.695,115443784.05,0.695,buy
2021-05-03 04:00:00,1620014400000,0.6951,0.7749,0.6774,0.7344,89550320.52,0.7344,buy
2021-05-03 08:00:00,1620028800000,0.7338,0.869,0.71,0.8075,199507987.01,0.8075,buy
2021-05-03 12:00:00,1620043200000,0.8071,0.8372,0.7362,0.7453,118996327.81,0.7453,buy
2021-05-03 16:00:00,1620057600000,0.7446,0.7629,0.7151,0.7301,67690240.43,0.7301,buy
2021-05-03 20:00:00,1620072000000,0.7298,0.735,0.67,0.7,59082321.25,0.7,buy
2021-05-04 00:00:00,1620086400000,0.7,0.7001,0.6061,0.6332,74295901.44,0.6332,buy
2021-05-04 04:00:00,1620100800000,0.6326,0.7293,0.6288,0.6774,61357435.62,0.6774,buy
2021-05-04 08:00:00,1620115200000,0.6769,0.7071,0.6518,0.6873,48771292.4,0.6873,buy
2021-05-04 12:00:00,1620129600000,0.6866,0.7031,0.5762,0.5873,87401332.13,0.5873,buy
2021-05-04 16:00:00,1620144000000,0.5874,0.65,0.58,0.6111,48168317.72,0.6111,buy
2021-05-04 20:00:00,1620158400000,0.6115,0.6237,0.5853,0.5896,30185370.16,0.5896,buy
2021-05-05 00:00:00,1620172800000,0.5893,0.7259,0.5853,0.669,93760623.58,0.669,buy
2021-05-05 04:00:00,1620187200000,0.669,0.6991,0.6185,0.6421,57519658.6,0.6421,buy
2021-05-05 08:00:00,1620201600000,0.6429,0.704,0.6283,0.646,53390014.21,0.646,buy
2021-05-05 12:00:00,1620216000000,0.6464,0.6747,0.628,0.6322,42144911.29,0.6322,buy
2021-05-05 16:00:00,1620230400000,0.6322,0.6475,0.614,0.621,28344954.13,0.621,buy
2021-05-05 20:00:00,1620244800000,0.621,0.6464,0.6106,0.6197,23582186.13,0.6197,buy
2021-05-06 00:00:00,1620259200000,0.6195,0.6256,0.582,0.6158,39443392.68,0.6158,sell
2021-05-06 04:00:00,1620273600000,0.6157,0.62,0.585,0.5956,28342144.81,0.5956,sell
2021-05-06 08:00:00,1620288000000,0.5959,0.6498,0.5888,0.6202,41311404.12,0.6202,sell
2021-05-06 12:00:00,1620302400000,0.6202,0.6949,0.62,0.6551,82267914.76,0.6551,buy
2021-05-06 16:00:00,1620316800000,0.6551,0.6675,0.591,0.6103,43745266.47,0.6103,sell
2021-05-06 20:00:00,1620331200000,0.6093,0.619,0.59,0.605,21146340.48,0.605,sell
2021-05-07 00:00:00,1620345600000,0.605,0.6519,0.5358,0.5558,57285855.34,0.5558,sell
2021-05-07 04:00:00,1620360000000,0.5562,0.5788,0.533,0.553,38216526.01,0.553,sell
2021-05-07 08:00:00,1620374400000,0.553,0.585,0.5499,0.5726,26965221.52,0.5726,sell
2021-05-07 12:00:00,1620388800000,0.5726,0.5793,0.5486,0.5583,24981060.48,0.5583,sell
2021-05-07 16:00:00,1620403200000,0.558,0.58,0.5336,0.5408,25579073.36,0.5408,sell
2021-05-07 20:00:00,1620417600000,0.5408,0.555,0.4936,0.5272,40983761.14,0.5272,sell
2021-05-08 00:00:00,1620432000000,0.5272,0.576,0.512,0.5593,40527164.7,0.5593,sell
2021-05-08 04:00:00,1620446400000,0.5585,0.58,0.538,0.5654,29358852.12,0.5654,sell
2021-05-08 08:00:00,1620460800000,0.5654,0.579,0.5371,0.5394,23431869.69,0.5394,sell
