,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,0.6767,0.6928,0.6665,0.6885,234542.14,0.6885,sell
2021-01-01 04:00:00,1609473600000,0.6885,0.6938,0.6673,0.6784,388986.86,0.6784,sell
2021-01-01 08:00:00,1609488000000,0.6788,0.6818,0.6651,0.6731,391475.43,0.6731,sell
2021-01-01 12:00:00,1609502400000,0.6715,0.7088,0.67,0.6903,1099399.09,0.6903,sell
2021-01-01 16:00:00,1609516800000,0.6904,0.695,0.653,0.6741,667062.43,0.6741,sell
2021-01-01 20:00:00,1609531200000,0.6741,0.6814,0.67,0.675,244845.47,0.675,sell
2021-01-02 00:00:00,1609545600000,0.676,0.6778,0.6555,0.67,278229.2,0.67,sell
2021-01-02 04:00:00,1609560000000,0.6724,0.6753,0.6627,0.6683,162002.84,0.6683,sell
2021-01-02 08:00:00,1609574400000,0.6688,0.6688,0.655,0.6609,339805.93,0.6609,sell
2021-01-02 12:00:00,1609588800000,0.6611,0.6648,0.65,0.6581,932901.07,0.6581,sell
2021-01-02 16:00:00,1609603200000,0.6576,0.743,0.6427,0.7361,1681174.88,0.7361,sell
2021-01-02 20:00:00,1609617600000,0.7338,0.75,0.6825,0.7025,2384810.82,0.7025,sell
2021-01-03 00:00:00,1609632000000,0.703,0.7481,0.703,0.7479,799650.76,0.7479,sell
2021-01-03 04:00:00,1609646400000,0.7475,0.82,0.7446,0.8103,2596935.37,0.8103,sell
2021-01-03 08:00:00,1609660800000,0.8103,0.85,0.7838,0.8324,2648245.88,0.8324,sell
2021-01-03 12:00:00,1609675200000,0.8316,0.8651,0.7844,0.8119,2522559.68,0.8119,sell
2021-01-03 16:00:00,1609689600000,0.813,0.8256,0.7781,0.7863,1228237.5,0.7863,sell
2021-01-03 20:00:00,1609704000000,0.7854,0.8343,0.7781,0.8199,1120467.53,0.8199,sell
2021-01-04 00:00:00,1609718400000,0.8202,0.8539,0.8011,0.8495,701561.55,0.8495,sell
2021-01-04 04:00:00,1609732800000,0.8514,0.93,0.8294,0.8969,2039692.78,0.8969,sell
2021-01-04 08:00:00,1609747200000,0.8969,0.9252,0.8031,0.8396,2797765.43,0.8396,sell
2021-01-04 12:00:00,1609761600000,0.8398,0.8886,0.8256,0.884,834973.9,0.884,sell
2021-01-04 16:00:00,1609776000000,0.8881,0.8957,0.845,0.88,784666.97,0.88,sell
2021-01-04 20:00:00,1609790400000,0.88,1.0081,0.8693,0.9616,3617655.76,0.9616,sell
2021-01-05 00:00:00,1609804800000,0.9644,1.022,0.923,0.9255,2109775.63,0.9255,sell
2021-01-05 04:00:00,1609819200000,0.9267,1.02,0.9,0.9763,2705753.69,0.9763,sell
2021-01-05 08:00:00,1609833600000,0.9759,0.9974,0.9312,0.9717,1726061.14,0.9717,sell
2021-01-05 12:00:00,1609848000000,0.9729,0.9972,0.9315,0.9971,1344316.46,0.9971,sell
2021-01-05 16:00:00,1609862400000,0.9971,1.05,0.9421,0.9741,3389073.92,0.9741,sell
2021-01-05 20:00:00,1609876800000,0.974,0.9865,0.9111,0.9275,1698244.99,0.9275,buy
2021-01-06 00:00:00,1609891200000,0.9278,0.964,0.9172,0.948,762447.72,0.948,buy
2021-01-06 04:00:00,1609905600000,0.9457,0.9824,0.9309,0.9664,1100662.27,0.9664,buy
2021-01-06 08:00:00,1609920000000,0.9689,1.0181,0.9593,0.9815,1104982.31,0.9815,buy
2021-01-06 12:00:00,1609934400000,0.9815,1.003,0.955,0.9617,1094415.4,0.9617,buy
2021-01-06 16:00:00,1609948800000,0.962,1.01,0.945,0.9472,1490918.32,0.9472,buy
2021-01-06 20:00:00,1609963200000,0.9471,0.9781,0.8801,0.9773,1744473.39,0.9773,buy
2021-01-07 00:00:00,1609977600000,0.9775,0.997,0.9609,0.9939,693055.48,0.9939,buy
2021-01-07 04:00:00,1609992000000,0.9938,1.0572,0.974,1.008,1150933.36,1.008,buy
2021-01-07 08:00:00,1610006400000,1.009,1.0197,0.9608,0.9885,943129.77,0.9885,buy
2021-01-07 12:00:00,1610020800000,0.9885,0.9998,0.9708,0.9918,591325.22,0.9918,buy
2021-01-07 16:00:00,1610035200000,0.992,0.9936,0.8947,0.9354,2046190.82,0.9354,buy
2021-01-07 20:00:00,1610049600000,0.9357,0.9739,0.9134,0.9262,636045.63,0.9262,buy
2021-01-08 00:00:00,1610064000000,0.9262,0.9352,0.81,0.8618,1466903.77,0.8618,sell
2021-01-08 04:00:00,1610078400000,0.8618,0.9329,0.8344,0.9325,1204320.28,0.9325,buy
2021-01-08 08:00:00,1610092800000,0.93,0.951,0.912,0.9202,782552.54,0.9202,sell
2021-01-08 12:00:00,1610107200000,0.9206,0.9738,0.9064,0.9732,1317755.49,0.9732,buy
2021-01-08 16:00:00,1610121600000,0.9732,1.145,0.9671,1.0508,4333993.17,1.0508,buy
2021-01-08 20:00:00,1610136000000,1.0545,1.15,0.987,1.146,2499165.55,1.146,buy
2021-01-09 00:00:00,1610150400000,1.146,1.22,1.1115,1.1674,2559440.13,1.1674,buy
2021-01-09 04:00:00,1610164800000,1.1675,1.2383,1.1286,1.175,1536863.63,1.175,buy
2021-01-09 08:00:00,1610179200000,1.1792,1.297,1.1638,1.2336,2092641.37,1.2336,buy
2021-01-09 12:00:00,1610193600000,1.2327,1.2925,1.187,1.2,2131321.62,1.2,buy
2021-01-09 16:00:00,1610208000000,1.1998,1.225,1.142,1.1678,1456820.57,1.1678,buy
2021-01-09 20:00:00,1610222400000,1.1668,1.1708,1.1222,1.13,797277.7,1.13,buy
2021-01-10 00:00:00,1610236800000,1.13,1.2122,1.13,1.1512,646262.94,1.1512,buy
2021-01-10 04:00:00,1610251200000,1.1503,1.22,1.1489,1.196,433568.19,1.196,buy
2021-01-10 08:00:00,1610265600000,1.1957,1.2339,1.1068,1.1246,1153359.27,1.1246,buy
2021-01-10 12:00:00,1610280000000,1.1246,1.2039,1.0855,1.1374,1672159.51,1.1374,buy
2021-01-10 16:00:00,1610294400000,1.1379,1.1517,1.05,1.0594,1260772.41,1.0594,buy
2021-01-10 20:00:00,1610308800000,1.0641,1.175,0.99,1.1604,1879988.93,1.1604,buy
2021-01-11 00:00:00,1610323200000,1.1573,1.1607,0.9759,1.0314,1351359.76,1.0314,sell
2021-01-11 04:00:00,1610337600000,1.0257,1.06,0.978,1.05,1238945.76,1.05,sell
2021-01-11 08:00:00,1610352000000,1.0492,1.1185,1.0355,1.0838,936134.83,1.0838,buy
2021-01-11 12:00:00,1610366400000,1.08,1.2313,1.0201,1.05,4833133.27,1.05,sell
2021-01-11 16:00:00,1610380800000,1.0539,1.14,1.0183,1.081,1958777.22,1.081,buy
2021-01-11 20:00:00,1610395200000,1.0766,1.231,1.0683,1.2176,1692315.42,1.2176,buy
2021-01-12 00:00:00,1610409600000,1.2197,1.3025,1.2092,1.2354,2534279.6,1.2354,buy
2021-01-12 04:00:00,1610424000000,1.2322,1.3278,1.2182,1.2542,1756522.86,1.2542,buy
2021-01-12 08:00:00,1610438400000,1.2562,1.2636,1.1683,1.1953,1456807.41,1.1953,buy
