,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,17.763,18.2,17.42,18.085,18069.359,18.085
2021-01-01 04:00:00,1609473600000,18.096,18.376,17.643,17.947,15086.515,17.947
2021-01-01 08:00:00,1609488000000,17.985,18.102,17.494,18.015,14417.353,18.015
2021-01-01 12:00:00,1609502400000,17.993,18.91,17.925,18.754,39133.805,18.754
2021-01-01 16:00:00,1609516800000,18.755,19.062,17.287,17.988,35354.128,17.988
2021-01-01 20:00:00,1609531200000,17.931,18.227,17.535,17.737,11978.431,17.737
2021-01-02 00:00:00,1609545600000,17.739,17.748,16.84,17.401,18556.477,17.401
2021-01-02 04:00:00,1609560000000,17.428,17.689,17.214,17.24,9402.499,17.24
2021-01-02 08:00:00,1609574400000,17.262,17.379,16.847,17.362,13131.559,17.362
2021-01-02 12:00:00,1609588800000,17.377,17.576,16.826,17.571,24221.795,17.571
2021-01-02 16:00:00,1609603200000,17.579,18.124,17.259,18.061,22276.316,18.061
2021-01-02 20:00:00,1609617600000,18.091,18.147,17.16,17.862,26985.739,17.862
2021-01-03 00:00:00,1609632000000,17.873,18.208,17.777,18.087,11832.229,18.087
2021-01-03 04:00:00,1609646400000,18.09,18.162,17.55,17.591,20376.479,17.591
2021-01-03 08:00:00,1609660800000,17.593,17.965,17.244,17.864,19732.6,17.864
2021-01-03 12:00:00,1609675200000,17.857,18.769,17.713,18.562,50862.173,18.562
2021-01-03 16:00:00,1609689600000,18.575,19.24,17.787,18.007,52603.444,18.007
2021-01-03 20:00:00,1609704000000,18.056,20.44,17.903,19.903,49742.72,19.903
2021-01-04 00:00:00,1609718400000,19.936,20.713,19.618,20.286,44737.683,20.286
2021-01-04 04:00:00,1609732800000,20.298,22.046,19.333,19.81,73560.81,19.81
2021-01-04 08:00:00,1609747200000,19.887,20.172,17.572,18.777,104184.531,18.777
2021-01-04 12:00:00,1609761600000,18.796,19.644,18.394,19.475,34216.876,19.475
2021-01-04 16:00:00,1609776000000,19.511,20.0,18.768,19.741,27626.334,19.741
2021-01-04 20:00:00,1609790400000,19.767,19.935,18.828,19.397,24397.512,19.397
2021-01-05 00:00:00,1609804800000,19.427,20.199,18.55,18.727,65591.346,18.727
2021-01-05 04:00:00,1609819200000,18.734,19.034,18.238,18.66,33478.811,18.66
2021-01-05 08:00:00,1609833600000,18.651,21.299,18.651,20.464,53198.627,20.464
2021-01-05 12:00:00,1609848000000,20.474,20.865,19.45,20.034,44861.764,20.034
