,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,5.347,5.83,5.2638,5.817,116221.76,5.817,sell
2021-01-01 04:00:00,1609473600000,5.8242,5.91,5.6089,5.7523,74316.44,5.7523,sell
2021-01-01 08:00:00,1609488000000,5.7525,5.8052,5.4309,5.4929,64592.36,5.4929,sell
2021-01-01 12:00:00,1609502400000,5.5056,5.6377,5.4109,5.48,108612.02,5.48,sell
2021-01-01 16:00:00,1609516800000,5.4916,5.7779,5.4198,5.5075,71187.85,5.5075,sell
2021-01-01 20:00:00,1609531200000,5.4851,5.65,5.4236,5.447,37682.53,5.447,sell
2021-01-02 00:00:00,1609545600000,5.4806,5.4859,5.0995,5.2297,87090.22,5.2297,sell
2021-01-02 04:00:00,1609560000000,5.2159,5.3234,5.1514,5.1852,44237.33,5.1852,sell
2021-01-02 08:00:00,1609574400000,5.1665,5.4572,5.0001,5.4047,119626.38,5.4047,sell
2021-01-02 12:00:00,1609588800000,5.4084,5.4886,5.115,5.1258,99663.62,5.1258,sell
2021-01-02 16:00:00,1609603200000,5.1411,5.1514,4.7458,4.8392,137104.94,4.8392,sell
2021-01-02 20:00:00,1609617600000,4.8392,4.9345,4.7174,4.8496,109833.34,4.8496,sell
2021-01-03 00:00:00,1609632000000,4.8474,5.0319,4.8177,4.908,49445.36,4.908,sell
2021-01-03 04:00:00,1609646400000,4.9092,4.9987,4.8432,4.857,70387.08,4.857,sell
2021-01-03 08:00:00,1609660800000,4.8885,5.4015,4.8823,5.2279,148369.92,5.2279,sell
2021-01-03 12:00:00,1609675200000,5.2273,5.37,5.124,5.1997,83355.27,5.1997,sell
2021-01-03 16:00:00,1609689600000,5.2044,7.4749,5.1828,6.6863,1843967.06,6.6863,sell
2021-01-03 20:00:00,1609704000000,6.6414,6.9695,6.1355,6.1816,684648.62,6.1816,sell
2021-01-04 00:00:00,1609718400000,6.1942,6.7699,5.6343,6.159,539144.15,6.159,sell
2021-01-04 04:00:00,1609732800000,6.159,6.2539,5.53,5.609,175986.58,5.609,sell
