,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,5.15,5.2797,4.9963,5.1548,2400766.82,5.1548
2021-01-01 04:00:00,1609473600000,5.1566,5.1638,4.8512,4.9971,2439855.75,4.9971
2021-01-01 08:00:00,1609488000000,5.0022,5.1183,4.8622,5.0059,1882882.37,5.0059
2021-01-01 12:00:00,1609502400000,5.0049,5.0522,4.7072,4.7759,2588307.03,4.7759
2021-01-01 16:00:00,1609516800000,4.7786,4.8705,4.5895,4.8152,2457078.77,4.8152
2021-01-01 20:00:00,1609531200000,4.8142,4.8934,4.6851,4.7353,1049258.6,4.7353
2021-01-02 00:00:00,1609545600000,4.7364,4.8299,4.4939,4.8108,2056629.71,4.8108
2021-01-02 04:00:00,1609560000000,4.8113,4.9386,4.6593,4.6824,1444716.67,4.6824
2021-01-02 08:00:00,1609574400000,4.6827,4.7049,4.48,4.6124,2166806.04,4.6124
2021-01-02 12:00:00,1609588800000,4.615,4.887,4.52,4.8834,3025742.03,4.8834
2021-01-02 16:00:00,1609603200000,4.8815,5.2,4.6887,5.0604,3603290.53,5.0604
2021-01-02 20:00:00,1609617600000,5.0601,5.14,4.65,4.8564,3125780.33,4.8564
2021-01-03 00:00:00,1609632000000,4.8573,4.8871,4.7083,4.7238,895896.18,4.7238
2021-01-03 04:00:00,1609646400000,4.7229,4.9927,4.6756,4.7748,1669707.37,4.7748
2021-01-03 08:00:00,1609660800000,4.7758,5.1602,4.7015,5.0942,3209320.43,5.0942
2021-01-03 12:00:00,1609675200000,5.0912,5.438,5.0,5.2502,5340467.11,5.2502
2021-01-03 16:00:00,1609689600000,5.2527,5.3922,4.9476,5.1348,2502677.29,5.1348
2021-01-03 20:00:00,1609704000000,5.1385,5.6412,5.13,5.5155,2386676.04,5.5155
2021-01-04 00:00:00,1609718400000,5.5117,5.9916,5.3485,5.9705,2858581.59,5.9705
2021-01-04 04:00:00,1609732800000,5.9678,6.2,5.46,5.6558,3879135.32,5.6558
2021-01-04 08:00:00,1609747200000,5.6491,5.7723,4.8556,5.3055,4850145.73,5.3055
2021-01-04 12:00:00,1609761600000,5.3069,5.6,5.2098,5.372,2659693.32,5.372
2021-01-04 16:00:00,1609776000000,5.3676,5.4454,5.14,5.4424,2266672.0,5.4424
2021-01-04 20:00:00,1609790400000,5.443,5.4795,5.1701,5.4238,1223409.19,5.4238
2021-01-05 00:00:00,1609804800000,5.4309,5.7464,5.2534,5.2782,2391245.13,5.2782
2021-01-05 04:00:00,1609819200000,5.2773,5.4536,5.164,5.4233,1561482.49,5.4233
2021-01-05 08:00:00,1609833600000,5.4233,5.937,5.4231,5.9205,1935662.75,5.9205
2021-01-05 12:00:00,1609848000000,5.9165,6.2,5.6555,6.1996,2560769.74,6.1996
2021-01-05 16:00:00,1609862400000,6.1999,6.5424,6.0781,6.3844,2913595.64,6.3844
2021-01-05 20:00:00,1609876800000,6.3845,6.56,6.18,6.2518,1739120.0,6.2518
2021-01-06 00:00:00,1609891200000,6.2518,6.36,6.0108,6.202,1592853.42,6.202
2021-01-06 04:00:00,1609905600000,6.2055,6.44,6.089,6.1573,1440057.67,6.1573
2021-01-06 08:00:00,1609920000000,6.1583,6.356,6.031,6.288,1511533.13,6.288
2021-01-06 12:00:00,1609934400000,6.2883,6.3838,6.1597,6.1735,1286356.89,6.1735
2021-01-06 16:00:00,1609948800000,6.1726,6.5911,6.1724,6.2004,1257784.86,6.2004
2021-01-06 20:00:00,1609963200000,6.1985,6.42,6.004,6.4157,1172476.75,6.4157
2021-01-07 00:00:00,1609977600000,6.4157,6.4441,6.1664,6.3016,1068446.64,6.3016
2021-01-07 04:00:00,1609992000000,6.303,6.3081,6.12,6.209,1131863.17,6.209
2021-01-07 08:00:00,1610006400000,6.213,6.2821,6.09,6.1788,854505.67,6.1788
2021-01-07 12:00:00,1610020800000,6.1787,6.7083,6.145,6.6522,1555581.37,6.6522
2021-01-07 16:00:00,1610035200000,6.6555,6.84,6.028,6.312,2513731.66,6.312
2021-01-07 20:00:00,1610049600000,6.3264,6.4896,6.186,6.2545,708443.51,6.2545
2021-01-08 00:00:00,1610064000000,6.2657,6.2945,5.4188,5.8241,2484802.32,5.8241
2021-01-08 04:00:00,1610078400000,5.8276,6.1296,5.7265,6.1296,1014580.79,6.1296
2021-01-08 08:00:00,1610092800000,6.1234,6.37,6.0241,6.22,1217578.7,6.22
2021-01-08 12:00:00,1610107200000,6.2149,6.255,5.8521,5.9836,1615803.12,5.9836
2021-01-08 16:00:00,1610121600000,5.9866,6.13,5.7282,5.7794,948371.59,5.7794
2021-01-08 20:00:00,1610136000000,5.7686,5.9314,5.6,5.8807,974719.12,5.8807
2021-01-09 00:00:00,1610150400000,5.8737,6.1351,5.6618,6.0817,1399090.58,6.0817
2021-01-09 04:00:00,1610164800000,6.081,6.0848,5.7727,5.95,961949.62,5.95
2021-01-09 08:00:00,1610179200000,5.9497,6.2419,5.8934,6.135,1107499.82,6.135
2021-01-09 12:00:00,1610193600000,6.136,6.25,6.0043,6.1116,853310.16,6.1116
2021-01-09 16:00:00,1610208000000,6.1116,6.2456,5.9727,6.2044,627008.71,6.2044
2021-01-09 20:00:00,1610222400000,6.2081,6.3461,6.1395,6.22,1009441.65,6.22
2021-01-10 00:00:00,1610236800000,6.2201,6.4788,6.22,6.2442,900517.23,6.2442
2021-01-10 04:00:00,1610251200000,6.2444,6.58,6.2346,6.5246,1096334.65,6.5246
2021-01-10 08:00:00,1610265600000,6.5202,6.54,5.9843,6.006,1827497.41,6.006
2021-01-10 12:00:00,1610280000000,6.0069,6.1914,5.8323,6.09,1302558.82,6.09
2021-01-10 16:00:00,1610294400000,6.0863,6.1558,5.7792,5.8124,962907.89,5.8124
2021-01-10 20:00:00,1610308800000,5.8138,6.0875,5.5447,5.9802,1384465.85,5.9802
2021-01-11 00:00:00,1610323200000,5.9801,6.0035,5.1,5.3997,2221984.55,5.3997
2021-01-11 04:00:00,1610337600000,5.3997,5.6966,5.0,5.3177,2681909.8,5.3177
2021-01-11 08:00:00,1610352000000,5.3214,5.5879,5.2639,5.2891,1389925.07,5.2891
2021-01-11 12:00:00,1610366400000,5.2897,5.4271,4.72,4.8623,3222727.78,4.8623
2021-01-11 16:00:00,1610380800000,4.867,4.9551,4.3904,4.7624,4032777.1,4.7624
2021-01-11 20:00:00,1610395200000,4.765,5.2583,4.6601,5.2448,1345171.5,5.2448
2021-01-12 00:00:00,1610409600000,5.2427,5.3025,5.0285,5.2781,1090040.84,5.2781
2021-01-12 04:00:00,1610424000000,5.2888,5.6988,5.216,5.5028,1894218.3,5.5028
2021-01-12 08:00:00,1610438400000,5.5018,5.5116,5.2131,5.3305,1194121.38,5.3305
2021-01-12 12:00:00,1610452800000,5.3372,5.399,4.9651,5.1893,1265612.14,5.1893
2021-01-12 16:00:00,1610467200000,5.1885,5.8073,5.1867,5.7661,1725397.02,5.7661
2021-01-12 20:00:00,1610481600000,5.7565,5.8211,5.4825,5.5878,1078876.42,5.5878
2021-01-13 00:00:00,1610496000000,5.5878,5.602,5.2601,5.542,1348617.12,5.542
2021-01-13 04:00:00,1610510400000,5.5394,5.8,5.3645,5.7342,851766.46,5.7342
2021-01-13 08:00:00,1610524800000,5.7367,5.9,5.6307,5.6865,1375130.89,5.6865
2021-01-13 12:00:00,1610539200000,5.686,5.93,5.61,5.9016,848294.79,5.9016
