,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,6.1939,6.3175,6.1005,6.168,298776.91,6.168
2021-01-01 04:00:00,1609473600000,6.18,6.2633,6.1,6.214,157524.75,6.214
2021-01-01 08:00:00,1609488000000,6.2132,6.2252,6.001,6.0804,414609.33,6.0804
2021-01-01 12:00:00,1609502400000,6.0804,6.3617,5.9318,6.2806,678257.16,6.2806
2021-01-01 16:00:00,1609516800000,6.285,6.314,5.8825,5.9857,381454.21,5.9857
2021-01-01 20:00:00,1609531200000,5.9924,6.033,5.95,5.9795,127331.44,5.9795
2021-01-02 00:00:00,1609545600000,5.9795,5.9802,5.48,5.7965,463996.45,5.7965
2021-01-02 04:00:00,1609560000000,5.7968,5.853,5.6915,5.7918,200783.14,5.7918
2021-01-02 08:00:00,1609574400000,5.7939,5.8019,5.5144,5.5485,566879.61,5.5485
2021-01-02 12:00:00,1609588800000,5.5541,5.7393,5.477,5.7211,752792.11,5.7211
2021-01-02 16:00:00,1609603200000,5.7229,5.8921,5.6184,5.65,460622.27,5.65
2021-01-02 20:00:00,1609617600000,5.6529,5.6711,5.4436,5.5873,360447.27,5.5873
2021-01-03 00:00:00,1609632000000,5.5829,5.6267,5.2402,5.2741,510156.02,5.2741
2021-01-03 04:00:00,1609646400000,5.2747,5.2958,5.0792,5.0978,647973.7,5.0978
2021-01-03 08:00:00,1609660800000,5.0949,5.4351,5.083,5.3301,604169.59,5.3301
2021-01-03 12:00:00,1609675200000,5.3227,5.4229,5.18,5.2846,686700.34,5.2846
2021-01-03 16:00:00,1609689600000,5.2892,6.0739,5.2683,5.7441,1388179.69,5.7441
2021-01-03 20:00:00,1609704000000,5.7437,6.05,5.4538,5.5581,497141.32,5.5581
2021-01-04 00:00:00,1609718400000,5.5581,6.146,5.5479,6.0905,483499.84,6.0905
2021-01-04 04:00:00,1609732800000,6.0905,6.15,5.5111,5.5933,721700.92,5.5933
2021-01-04 08:00:00,1609747200000,5.592,5.7409,4.86,5.2694,1041430.49,5.2694
2021-01-04 12:00:00,1609761600000,5.2777,5.3964,5.1965,5.2936,421023.73,5.2936
2021-01-04 16:00:00,1609776000000,5.2922,5.3719,5.15,5.3405,256639.48,5.3405
2021-01-04 20:00:00,1609790400000,5.3405,5.4697,5.2679,5.3943,186058.13,5.3943
2021-01-05 00:00:00,1609804800000,5.3919,5.5058,5.2358,5.2909,500814.31,5.2909
2021-01-05 04:00:00,1609819200000,5.2859,5.3695,5.1632,5.2388,210949.63,5.2388
