,datetime,open,high,low,close,volume,adj_close,signal
2022-02-08 04:00:00,1644292800000,0.6868,0.879,0.6868,0.8045,15827625.1,0.8045,sell
2022-02-08 08:00:00,1644307200000,0.8045,0.8047,0.73,0.7784,7251087.3,0.7784,sell
2022-02-08 12:00:00,1644321600000,0.7789,0.7845,0.7152,0.736,5253721.6,0.736,sell
2022-02-08 16:00:00,1644336000000,0.736,0.7615,0.688,0.6925,4006202.1,0.6925,sell
2022-02-08 20:00:00,1644350400000,0.694,0.7798,0.6931,0.7626,5343490.8,0.7626,sell
2022-02-09 00:00:00,1644364800000,0.7625,0.82,0.7394,0.7462,4142047.9,0.7462,sell
2022-02-09 04:00:00,1644379200000,0.7461,0.7516,0.7258,0.7361,1223216.2,0.7361,sell
2022-02-09 08:00:00,1644393600000,0.7341,0.7392,0.7121,0.7321,1733390.0,0.7321,sell
2022-02-09 12:00:00,1644408000000,0.7332,0.7641,0.7271,0.7344,2656423.1,0.7344,sell
2022-02-09 16:00:00,1644422400000,0.7336,0.76,0.7262,0.7522,2139988.0,0.7522,sell
2022-02-09 20:00:00,1644436800000,0.7545,0.76,0.7291,0.7329,1203545.3,0.7329,sell
2022-02-10 00:00:00,1644451200000,0.7329,0.7355,0.6993,0.6996,1591771.2,0.6996,sell
2022-02-10 04:00:00,1644465600000,0.6999,0.73,0.6962,0.7108,1342220.4,0.7108,sell
2022-02-10 08:00:00,1644480000000,0.7115,0.74,0.7021,0.7231,1925555.8,0.7231,sell
2022-02-10 12:00:00,1644494400000,0.7231,0.7352,0.6593,0.7052,3817429.1,0.7052,sell
2022-02-10 16:00:00,1644508800000,0.7041,0.7335,0.6803,0.6803,2030191.5,0.6803,sell
2022-02-10 20:00:00,1644523200000,0.6815,0.692,0.6576,0.6637,707124.7,0.6637,sell
2022-02-11 00:00:00,1644537600000,0.6649,0.666,0.6322,0.654,1471179.6,0.654,sell
2022-02-11 04:00:00,1644552000000,0.6528,0.6793,0.6404,0.6669,696784.7,0.6669,sell
2022-02-11 08:00:00,1644566400000,0.6681,0.674,0.6467,0.654,858750.9,0.654,sell
2022-02-11 12:00:00,1644580800000,0.654,0.6877,0.6488,0.6761,1785200.3,0.6761,sell
