,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.2056,0.2461,0.2054,0.2285,30139784.65,0.2285
2021-01-01 04:00:00,1609473600000,0.2287,0.229,0.2205,0.2252,4756550.65,0.2252
2021-01-01 08:00:00,1609488000000,0.2252,0.2339,0.2221,0.224,9893946.77,0.224
2021-01-01 12:00:00,1609502400000,0.224,0.2253,0.211,0.2187,8100287.48,0.2187
2021-01-01 16:00:00,1609516800000,0.2187,0.2198,0.2105,0.2137,3277964.73,0.2137
2021-01-01 20:00:00,1609531200000,0.2137,0.23,0.2124,0.2217,5789505.02,0.2217
2021-01-02 00:00:00,1609545600000,0.222,0.2225,0.2129,0.216,2885850.43,0.216
2021-01-02 04:00:00,1609560000000,0.2161,0.2181,0.2104,0.2104,2338530.33,0.2104
2021-01-02 08:00:00,1609574400000,0.2103,0.2134,0.205,0.2064,7221272.73,0.2064
2021-01-02 12:00:00,1609588800000,0.2063,0.2123,0.2042,0.2053,7059701.53,0.2053
2021-01-02 16:00:00,1609603200000,0.2054,0.2092,0.2009,0.2046,6927976.39,0.2046
2021-01-02 20:00:00,1609617600000,0.2046,0.2088,0.199,0.2031,5165571.71,0.2031
2021-01-03 00:00:00,1609632000000,0.2031,0.2198,0.1947,0.1975,7987935.76,0.1975
2021-01-03 04:00:00,1609646400000,0.1977,0.1998,0.1886,0.1889,5621577.96,0.1889
2021-01-03 08:00:00,1609660800000,0.1893,0.205,0.1875,0.2001,14936297.43,0.2001
2021-01-03 12:00:00,1609675200000,0.2005,0.21,0.1922,0.2024,15475188.49,0.2024
2021-01-03 16:00:00,1609689600000,0.2026,0.2142,0.199,0.2112,7978521.04,0.2112
2021-01-03 20:00:00,1609704000000,0.2112,0.2163,0.2065,0.211,5749498.44,0.211
2021-01-04 00:00:00,1609718400000,0.211,0.2118,0.2045,0.2067,6987595.53,0.2067
2021-01-04 04:00:00,1609732800000,0.2071,0.223,0.2006,0.2045,15647991.67,0.2045
2021-01-04 08:00:00,1609747200000,0.2045,0.215,0.18,0.194,20972905.39,0.194
2021-01-04 12:00:00,1609761600000,0.1943,0.2044,0.1899,0.1998,8133675.05,0.1998
2021-01-04 16:00:00,1609776000000,0.1999,0.2055,0.1962,0.2047,4843297.47,0.2047
2021-01-04 20:00:00,1609790400000,0.204,0.2066,0.197,0.2045,3575153.18,0.2045
2021-01-05 00:00:00,1609804800000,0.2046,0.2087,0.1975,0.1988,4653604.54,0.1988
2021-01-05 04:00:00,1609819200000,0.1985,0.2009,0.1927,0.1967,3519378.34,0.1967
2021-01-05 08:00:00,1609833600000,0.1967,0.2058,0.1966,0.2043,4074807.78,0.2043
2021-01-05 12:00:00,1609848000000,0.2043,0.2069,0.1972,0.206,6112591.18,0.206
2021-01-05 16:00:00,1609862400000,0.206,0.2154,0.196,0.2006,10113278.69,0.2006
2021-01-05 20:00:00,1609876800000,0.2008,0.2069,0.1974,0.2048,7126125.9,0.2048
2021-01-06 00:00:00,1609891200000,0.2048,0.2149,0.198,0.2096,8928212.52,0.2096
2021-01-06 04:00:00,1609905600000,0.2097,0.2491,0.2085,0.2393,29875433.17,0.2393
2021-01-06 08:00:00,1609920000000,0.2393,0.25,0.2289,0.25,37444207.15,0.25
2021-01-06 12:00:00,1609934400000,0.25,0.294,0.2342,0.2497,85861354.89,0.2497
