,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,0.12759,0.1349,0.12644,0.13084,53539793.2,0.13084,sell
2021-01-01 04:00:00,1609473600000,0.13084,0.13584,0.13047,0.13193,36671616.1,0.13193,sell
2021-01-01 08:00:00,1609488000000,0.13197,0.13581,0.12963,0.13399,35196057.9,0.13399,sell
2021-01-01 12:00:00,1609502400000,0.13397,0.135,0.13076,0.13349,33785127.9,0.13349,sell
2021-01-01 16:00:00,1609516800000,0.13359,0.13992,0.13134,0.13274,64172130.4,0.13274,sell
2021-01-01 20:00:00,1609531200000,0.13269,0.13458,0.13106,0.13207,18536980.6,0.13207,sell
2021-01-02 00:00:00,1609545600000,0.13223,0.13367,0.12822,0.13312,26580375.5,0.13312,sell
2021-01-02 04:00:00,1609560000000,0.13312,0.13515,0.13111,0.13198,19547447.2,0.13198,sell
2021-01-02 08:00:00,1609574400000,0.13198,0.13233,0.1281,0.13002,24763097.2,0.13002,sell
2021-01-02 12:00:00,1609588800000,0.13002,0.13302,0.12887,0.12925,40717323.7,0.12925,sell
2021-01-02 16:00:00,1609603200000,0.12928,0.13165,0.12665,0.12934,72950515.5,0.12934,sell
2021-01-02 20:00:00,1609617600000,0.12933,0.131,0.12712,0.12751,38287332.5,0.12751,sell
2021-01-03 00:00:00,1609632000000,0.12752,0.128,0.12536,0.12605,21820145.0,0.12605,sell
2021-01-03 04:00:00,1609646400000,0.12599,0.12822,0.125,0.12502,32880121.9,0.12502,sell
2021-01-03 08:00:00,1609660800000,0.12506,0.13485,0.124,0.13052,76913697.3,0.13052,sell
2021-01-03 12:00:00,1609675200000,0.13045,0.13733,0.1289,0.13193,115396332.2,0.13193,sell
2021-01-03 16:00:00,1609689600000,0.13194,0.13927,0.125,0.13354,110736119.3,0.13354,sell
2021-01-03 20:00:00,1609704000000,0.13365,0.13766,0.1333,0.13653,40014306.6,0.13653,sell
2021-01-04 00:00:00,1609718400000,0.13656,0.15,0.13571,0.14314,104382942.9,0.14314,sell
2021-01-04 04:00:00,1609732800000,0.14316,0.1549,0.13872,0.14081,122488892.0,0.14081,sell
2021-01-04 08:00:00,1609747200000,0.14077,0.14419,0.1278,0.13445,126173270.8,0.13445,sell
2021-01-04 12:00:00,1609761600000,0.13438,0.16039,0.1316,0.15439,187094568.7,0.15439,sell
2021-01-04 16:00:00,1609776000000,0.15443,0.16558,0.14762,0.15652,241353177.8,0.15652,sell
2021-01-04 20:00:00,1609790400000,0.15655,0.1675,0.15204,0.16404,185064041.3,0.16404,sell
2021-01-05 00:00:00,1609804800000,0.1641,0.1675,0.1514,0.15176,133091407.6,0.15176,sell
2021-01-05 04:00:00,1609819200000,0.15174,0.16375,0.15,0.1591,130519854.0,0.1591,sell
2021-01-05 08:00:00,1609833600000,0.1591,0.1779,0.15823,0.17293,190116218.4,0.17293,sell
2021-01-05 12:00:00,1609848000000,0.17294,0.18997,0.1684,0.18925,214752611.9,0.18925,sell
2021-01-05 16:00:00,1609862400000,0.18942,0.21,0.18402,0.19008,368045273.0,0.19008,sell
2021-01-05 20:00:00,1609876800000,0.19017,0.20007,0.18946,0.19291,130119921.1,0.19291,buy
2021-01-06 00:00:00,1609891200000,0.19303,0.22,0.19166,0.21161,304370674.5,0.21161,buy
2021-01-06 04:00:00,1609905600000,0.21179,0.2678,0.20612,0.26078,367273338.8,0.26078,buy
2021-01-06 08:00:00,1609920000000,0.26078,0.31422,0.24423,0.31054,661804342.8,0.31054,buy
2021-01-06 12:00:00,1609934400000,0.31094,0.39,0.28815,0.32915,1162824211.2,0.32915,buy
2021-01-06 16:00:00,1609948800000,0.32916,0.3405,0.282,0.28424,340958180.8,0.28424,buy
2021-01-06 20:00:00,1609963200000,0.28397,0.34889,0.271,0.33938,468487604.4,0.33938,buy
2021-01-07 00:00:00,1609977600000,0.33976,0.41194,0.321,0.37298,656911003.21,0.37298,buy
2021-01-07 04:00:00,1609992000000,0.37298,0.375,0.343,0.35071,228867965.3,0.35071,buy
2021-01-07 08:00:00,1610006400000,0.35057,0.35878,0.31901,0.3317,290224088.4,0.3317,buy
2021-01-07 12:00:00,1610020800000,0.33152,0.361,0.32616,0.33834,214203195.0,0.33834,buy
2021-01-07 16:00:00,1610035200000,0.33847,0.34187,0.28888,0.32456,222094396.5,0.32456,buy
2021-01-07 20:00:00,1610049600000,0.32416,0.33272,0.30123,0.31124,99703776.4,0.31124,buy
2021-01-08 00:00:00,1610064000000,0.31141,0.32492,0.26014,0.28599,222978448.7,0.28599,buy
2021-01-08 04:00:00,1610078400000,0.28579,0.32768,0.27545,0.32719,201029605.6,0.32719,buy
2021-01-08 08:00:00,1610092800000,0.32726,0.3312,0.30395,0.30861,203848992.4,0.30861,buy
2021-01-08 12:00:00,1610107200000,0.30861,0.31473,0.285,0.29476,143241094.8,0.29476,buy
2021-01-08 16:00:00,1610121600000,0.29495,0.30561,0.28463,0.2885,106866241.3,0.2885,buy
2021-01-08 20:00:00,1610136000000,0.2888,0.30277,0.275,0.297,106053224.6,0.297,buy
2021-01-09 00:00:00,1610150400000,0.29706,0.30463,0.28174,0.29564,110432299.2,0.29564,buy
