,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,156.2,161.76,155.21,159.75,13678.89893,159.75,sell
2021-01-01 04:00:00,1609473600000,159.82,160.88,157.58,158.75,8450.63716,158.75,sell
2021-01-01 08:00:00,1609488000000,158.79,165.96,157.19,163.93,22945.69263,163.93,sell
2021-01-01 12:00:00,1609502400000,164.01,168.16,163.15,167.46,15702.51422,167.46,sell
2021-01-01 16:00:00,1609516800000,167.41,169.09,139.69,141.02,154521.61746,141.02,sell
2021-01-01 20:00:00,1609531200000,141.05,143.04,130.23,135.81,146263.3306,135.81,sell
2021-01-02 00:00:00,1609545600000,135.73,136.26,128.32,133.75,120918.65956,133.75,sell
2021-01-02 04:00:00,1609560000000,133.74,137.7,133.0,134.66,51954.00893,134.66,sell
2021-01-02 08:00:00,1609574400000,134.61,135.45,132.0,134.52,40598.03942,134.52,sell
2021-01-02 12:00:00,1609588800000,134.49,143.64,134.0,141.93,69588.34752,141.93,sell
2021-01-02 16:00:00,1609603200000,141.84,145.56,140.03,143.49,52182.51442,143.49,sell
2021-01-02 20:00:00,1609617600000,143.52,144.6,135.95,143.52,43236.80801,143.52,sell
2021-01-03 00:00:00,1609632000000,143.52,145.08,142.49,142.88,17180.41553,142.88,sell
2021-01-03 04:00:00,1609646400000,142.89,143.57,139.21,139.22,26584.15919,139.22,sell
2021-01-03 08:00:00,1609660800000,139.28,140.25,136.28,138.52,37809.25415,138.52,sell
2021-01-03 12:00:00,1609675200000,138.43,140.16,131.0,132.13,65652.13021,132.13,sell
2021-01-03 16:00:00,1609689600000,132.04,137.75,131.78,137.07,52108.06561,137.07,sell
2021-01-03 20:00:00,1609704000000,137.03,140.45,136.12,138.26,31902.72363,138.26,sell
2021-01-04 00:00:00,1609718400000,138.24,142.86,138.24,141.29,32571.01443,141.29,sell
2021-01-04 04:00:00,1609732800000,141.27,143.9,138.59,139.57,49589.45745,139.57,sell
2021-01-04 08:00:00,1609747200000,139.59,142.1,128.72,135.32,59217.61785,135.32,sell
2021-01-04 12:00:00,1609761600000,135.35,137.35,133.93,136.21,31681.29198,136.21,sell
2021-01-04 16:00:00,1609776000000,136.26,136.72,131.22,133.07,25060.87276,133.07,sell
2021-01-04 20:00:00,1609790400000,133.12,133.84,129.66,133.79,24219.36303,133.79,sell
2021-01-05 00:00:00,1609804800000,133.76,135.49,129.72,129.82,28140.93713,129.82,sell
2021-01-05 04:00:00,1609819200000,129.87,132.91,129.04,130.44,25613.56387,130.44,sell
2021-01-05 08:00:00,1609833600000,130.46,134.89,130.46,134.87,16184.0008,134.87,sell
2021-01-05 12:00:00,1609848000000,134.88,135.42,130.21,130.5,34588.16892,130.5,sell
2021-01-05 16:00:00,1609862400000,130.5,137.29,129.8,136.63,41110.49907,136.63,sell
2021-01-05 20:00:00,1609876800000,136.55,139.6,134.49,136.0,30906.82329,136.0,sell
2021-01-06 00:00:00,1609891200000,136.0,137.21,132.53,133.22,15879.04763,133.22,sell
2021-01-06 04:00:00,1609905600000,133.24,137.5,133.21,136.14,19759.8881,136.14,sell
2021-01-06 08:00:00,1609920000000,136.13,137.19,133.65,136.42,17422.73646,136.42,sell
2021-01-06 12:00:00,1609934400000,136.45,139.15,135.83,138.45,28593.26958,138.45,buy
2021-01-06 16:00:00,1609948800000,138.45,141.44,137.12,137.49,28036.44213,137.49,buy
2021-01-06 20:00:00,1609963200000,137.48,142.37,135.0,142.31,43238.41952,142.31,buy
2021-01-07 00:00:00,1609977600000,142.37,143.23,139.3,141.61,26592.82144,141.61,buy
2021-01-07 04:00:00,1609992000000,141.52,143.62,139.52,141.62,30377.63059,141.62,buy
2021-01-07 08:00:00,1610006400000,141.71,152.73,140.22,149.95,60942.91846,149.95,buy
2021-01-07 12:00:00,1610020800000,149.82,153.1,148.66,150.15,49099.7114,150.15,buy
2021-01-07 16:00:00,1610035200000,150.2,151.28,140.08,144.82,58845.19627,144.82,buy
2021-01-07 20:00:00,1610049600000,144.83,148.54,139.62,142.9,44264.58017,142.9,buy
2021-01-08 00:00:00,1610064000000,142.95,143.94,135.37,140.73,48255.75922,140.73,buy
2021-01-08 04:00:00,1610078400000,140.74,147.53,140.61,147.38,24940.4378,147.38,buy
2021-01-08 08:00:00,1610092800000,147.43,150.28,144.67,146.89,36549.21563,146.89,buy
2021-01-08 12:00:00,1610107200000,146.9,147.43,141.88,144.84,50564.5839,144.84,buy
2021-01-08 16:00:00,1610121600000,144.88,146.79,140.5,141.83,23366.82548,141.83,buy
2021-01-08 20:00:00,1610136000000,141.84,143.03,136.88,142.11,36575.71086,142.11,buy
2021-01-09 00:00:00,1610150400000,142.13,144.46,139.43,143.06,14177.69805,143.06,buy
2021-01-09 04:00:00,1610164800000,143.04,143.04,139.07,142.1,12557.82385,142.1,buy
2021-01-09 08:00:00,1610179200000,142.18,146.66,141.32,145.35,17296.05354,145.35,buy
2021-01-09 12:00:00,1610193600000,145.34,146.2,141.43,144.72,35976.04231,144.72,buy
2021-01-09 16:00:00,1610208000000,144.75,149.05,143.6,147.8,44386.57237,147.8,buy
2021-01-09 20:00:00,1610222400000,147.77,148.35,145.26,147.4,22199.23175,147.4,buy
2021-01-10 00:00:00,1610236800000,147.36,150.52,147.36,149.26,30921.1269,149.26,buy
2021-01-10 04:00:00,1610251200000,149.24,164.99,149.11,164.06,72640.18683,164.06,buy
2021-01-10 08:00:00,1610265600000,164.19,165.82,150.83,152.47,85670.15358,152.47,buy
2021-01-10 12:00:00,1610280000000,152.54,169.5,148.85,163.49,92347.96298,163.49,buy
2021-01-10 16:00:00,1610294400000,163.37,178.0,162.54,164.28,138553.9154,164.28,buy
2021-01-10 20:00:00,1610308800000,164.31,190.0,155.18,184.89,96797.02895,184.89,buy
2021-01-11 00:00:00,1610323200000,185.03,186.42,144.0,151.88,136708.98705,151.88,buy
2021-01-11 04:00:00,1610337600000,151.97,160.08,142.0,151.46,126330.45889,151.46,buy
2021-01-11 08:00:00,1610352000000,151.53,176.89,151.53,157.25,132596.19122,157.25,buy
2021-01-11 12:00:00,1610366400000,157.31,162.25,143.33,148.1,118980.82021,148.1,sell
2021-01-11 16:00:00,1610380800000,147.7,156.81,142.5,151.7,83068.81324,151.7,buy
2021-01-11 20:00:00,1610395200000,151.56,166.77,147.92,157.96,74250.99335,157.96,buy
2021-01-12 00:00:00,1610409600000,157.94,174.24,153.69,171.69,74140.65299,171.69,buy
2021-01-12 04:00:00,1610424000000,171.69,172.44,163.0,166.82,66588.26201,166.82,buy
2021-01-12 08:00:00,1610438400000,166.64,167.76,158.87,162.17,49087.16446,162.17,buy
2021-01-12 12:00:00,1610452800000,162.25,165.7,155.28,159.8,33228.11031,159.8,buy
2021-01-12 16:00:00,1610467200000,159.93,166.91,158.22,160.6,41640.15397,160.6,buy
2021-01-12 20:00:00,1610481600000,160.59,161.84,155.0,159.09,22164.48263,159.09,buy
2021-01-13 00:00:00,1610496000000,159.16,159.92,152.29,158.35,21845.85792,158.35,buy
2021-01-13 04:00:00,1610510400000,158.56,162.15,155.04,161.05,23897.49774,161.05,buy
2021-01-13 08:00:00,1610524800000,161.1,164.3,158.36,161.19,36344.88891,161.19,buy
2021-01-13 12:00:00,1610539200000,161.29,166.3,158.54,165.83,27967.16065,165.83,buy
2021-01-13 16:00:00,1610553600000,165.83,168.14,164.0,165.79,21774.04694,165.79,buy
2021-01-13 20:00:00,1610568000000,165.85,173.26,164.16,171.55,29215.55222,171.55,buy
2021-01-14 00:00:00,1610582400000,171.2,171.87,162.9,163.15,30031.10931,163.15,buy
2021-01-14 04:00:00,1610596800000,163.27,168.14,161.68,166.07,12692.45685,166.07,buy
2021-01-14 08:00:00,1610611200000,166.08,170.83,165.04,168.92,21690.68026,168.92,buy
2021-01-14 12:00:00,1610625600000,168.92,169.18,163.99,168.11,39523.72648,168.11,buy
2021-01-14 16:00:00,1610640000000,168.24,169.98,165.63,166.19,16308.49014,166.19,buy
2021-01-14 20:00:00,1610654400000,166.19,167.93,160.61,163.81,19399.57744,163.81,buy
2021-01-15 00:00:00,1610668800000,163.86,166.26,160.65,163.74,30022.12504,163.74,buy
2021-01-15 04:00:00,1610683200000,163.61,165.75,161.6,165.27,13260.64986,165.27,buy
