,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,2.0102,2.0862,1.98,2.0724,1197397.31,2.0724
2021-01-01 04:00:00,1609473600000,2.0728,2.0812,2.0097,2.0222,569259.34,2.0222
2021-01-01 08:00:00,1609488000000,2.0221,2.0492,2.0004,2.0387,506180.37,2.0387
2021-01-01 12:00:00,1609502400000,2.0375,2.1267,2.0375,2.1015,1661663.63,2.1015
2021-01-01 16:00:00,1609516800000,2.1021,2.115,1.97,2.0059,1268058.95,2.0059
2021-01-01 20:00:00,1609531200000,2.0049,2.0276,1.9976,2.0075,764087.09,2.0075
2021-01-02 00:00:00,1609545600000,2.0081,2.0096,1.9423,1.9947,1215434.43,1.9947
2021-01-02 04:00:00,1609560000000,1.9936,2.0244,1.9833,1.9995,435155.84,1.9995
2021-01-02 08:00:00,1609574400000,2.0002,2.0379,1.984,2.0243,742406.17,2.0243
2021-01-02 12:00:00,1609588800000,2.0231,2.0574,2.0011,2.014,1133711.05,2.014
2021-01-02 16:00:00,1609603200000,2.0147,2.0486,1.9901,2.0172,1278480.1,2.0172
2021-01-02 20:00:00,1609617600000,2.019,2.0217,1.95,1.9992,1383837.61,1.9992
2021-01-03 00:00:00,1609632000000,1.9989,2.0216,1.9833,1.9834,485658.27,1.9834
2021-01-03 04:00:00,1609646400000,1.9832,1.9982,1.9542,1.9587,629776.85,1.9587
2021-01-03 08:00:00,1609660800000,1.9588,2.0757,1.9505,2.0491,1503439.84,2.0491
2021-01-03 12:00:00,1609675200000,2.0478,2.16,2.0364,2.1583,3224618.39,2.1583
2021-01-03 16:00:00,1609689600000,2.1584,2.23,2.0401,2.0692,3063470.28,2.0692
2021-01-03 20:00:00,1609704000000,2.0693,2.25,2.068,2.1345,2011909.72,2.1345
2021-01-04 00:00:00,1609718400000,2.1346,2.25,2.1346,2.2306,1980229.1,2.2306
2021-01-04 04:00:00,1609732800000,2.2306,2.3547,2.1556,2.207,3727304.28,2.207
