,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,63.96,66.4,63.16,65.36,36948.73783,65.36
2021-01-01 04:00:00,1609473600000,65.36,65.98,64.34,64.63,15188.24787,64.63
2021-01-01 08:00:00,1609488000000,64.67,66.94,63.71,66.24,55402.19995,66.24
2021-01-01 12:00:00,1609502400000,66.21,66.9,64.68,65.75,38792.65338,65.75
2021-01-01 16:00:00,1609516800000,65.74,67.24,54.38,56.39,440607.21261,56.39
2021-01-01 20:00:00,1609531200000,56.37,59.23,54.63,56.6,236756.52512,56.6
2021-01-02 00:00:00,1609545600000,56.6,58.49,55.2,57.67,123944.3618,57.67
2021-01-02 04:00:00,1609560000000,57.67,58.64,57.42,57.53,40120.69366,57.53
2021-01-02 08:00:00,1609574400000,57.5,59.23,56.66,58.2,61851.37451,58.2
2021-01-02 12:00:00,1609588800000,58.17,59.9,57.47,58.84,86385.97009,58.84
2021-01-02 16:00:00,1609603200000,58.84,59.35,57.53,58.4,78838.60787,58.4
2021-01-02 20:00:00,1609617600000,58.41,58.41,55.65,57.46,77234.73159,57.46
2021-01-03 00:00:00,1609632000000,57.48,58.32,57.17,57.45,50045.27116,57.45
2021-01-03 04:00:00,1609646400000,57.44,58.06,56.31,56.35,29122.04122,56.35
2021-01-03 08:00:00,1609660800000,56.37,58.03,56.22,57.92,63763.48494,57.92
2021-01-03 12:00:00,1609675200000,57.93,61.88,57.49,58.69,112142.37094,58.69
2021-01-03 16:00:00,1609689600000,58.76,60.32,58.33,58.55,62362.11087,58.55
2021-01-03 20:00:00,1609704000000,58.55,60.42,58.49,59.35,40722.8557,59.35
2021-01-04 00:00:00,1609718400000,59.35,62.93,59.35,62.8,82342.75784,62.8
2021-01-04 04:00:00,1609732800000,62.81,65.0,59.76,60.76,146757.76836,60.76
2021-01-04 08:00:00,1609747200000,60.79,61.77,56.62,59.01,138514.59448,59.01
2021-01-04 12:00:00,1609761600000,59.01,59.97,58.29,58.95,53748.80196,58.95
2021-01-04 16:00:00,1609776000000,58.94,59.13,57.41,59.0,43137.69304,59.0
2021-01-04 20:00:00,1609790400000,59.0,60.38,58.32,60.34,33466.35668,60.34
2021-01-05 00:00:00,1609804800000,60.34,61.17,58.5,58.56,52791.22043,58.56
2021-01-05 04:00:00,1609819200000,58.56,59.31,57.91,58.17,34064.59842,58.17
2021-01-05 08:00:00,1609833600000,58.2,59.86,58.2,59.67,32173.30199,59.67
2021-01-05 12:00:00,1609848000000,59.68,59.85,58.32,59.43,39670.09609,59.43
2021-01-05 16:00:00,1609862400000,59.45,59.88,58.76,59.27,43491.59945,59.27
2021-01-05 20:00:00,1609876800000,59.23,59.99,58.98,59.64,29520.74776,59.64
2021-01-06 00:00:00,1609891200000,59.63,60.48,58.95,59.97,45206.98535,59.97
2021-01-06 04:00:00,1609905600000,59.97,60.94,59.47,60.0,36843.81487,60.0
2021-01-06 08:00:00,1609920000000,60.0,61.97,59.46,60.85,66878.60726,60.85
2021-01-06 12:00:00,1609934400000,60.89,64.28,60.4,63.9,101738.34592,63.9
2021-01-06 16:00:00,1609948800000,63.89,65.35,62.33,62.55,80494.82025,62.55
2021-01-06 20:00:00,1609963200000,62.52,64.0,61.72,63.92,71173.69398,63.92
2021-01-07 00:00:00,1609977600000,63.92,68.31,62.93,67.75,94874.0463,67.75
2021-01-07 04:00:00,1609992000000,67.74,69.02,66.44,66.78,100306.29926,66.78
2021-01-07 08:00:00,1610006400000,66.77,72.34,64.05,71.86,176438.21123,71.86
2021-01-07 12:00:00,1610020800000,71.85,74.32,69.68,71.06,155846.9852,71.06
2021-01-07 16:00:00,1610035200000,71.11,72.74,63.45,68.66,223668.21919,68.66
2021-01-07 20:00:00,1610049600000,68.67,72.5,66.87,67.75,73158.21357,67.75
2021-01-08 00:00:00,1610064000000,67.77,69.0,61.14,64.57,131004.75524,64.57
2021-01-08 04:00:00,1610078400000,64.56,67.22,63.04,66.28,76465.23793,66.28
2021-01-08 08:00:00,1610092800000,66.28,68.86,64.58,67.01,88888.96777,67.01
2021-01-08 12:00:00,1610107200000,67.0,68.41,64.77,66.45,103659.37742,66.45
2021-01-08 16:00:00,1610121600000,66.51,70.08,66.51,69.77,76688.25382,69.77
2021-01-08 20:00:00,1610136000000,69.78,70.06,67.05,68.59,60264.14532,68.59
2021-01-09 00:00:00,1610150400000,68.62,69.6,66.04,68.48,67378.99253,68.48
2021-01-09 04:00:00,1610164800000,68.46,68.49,65.77,67.01,47360.90898,67.01
2021-01-09 08:00:00,1610179200000,67.04,72.01,66.5,71.61,82197.65581,71.61
2021-01-09 12:00:00,1610193600000,71.62,73.56,70.28,72.72,97408.67428,72.72
2021-01-09 16:00:00,1610208000000,72.74,77.26,72.72,76.61,157146.54625,76.61
2021-01-09 20:00:00,1610222400000,76.65,80.0,75.54,78.44,72842.28101,78.44
2021-01-10 00:00:00,1610236800000,78.44,83.31,78.38,80.85,112875.58262,80.85
2021-01-10 04:00:00,1610251200000,80.87,88.97,80.77,87.29,128105.00289,87.29
2021-01-10 08:00:00,1610265600000,87.29,88.8,76.05,77.54,329317.05145,77.54
2021-01-10 12:00:00,1610280000000,77.61,97.6,75.7,93.0,626904.39216,93.0
2021-01-10 16:00:00,1610294400000,92.99,98.67,86.6,88.9,504568.95016,88.9
2021-01-10 20:00:00,1610308800000,88.9,98.62,84.47,96.37,342557.43921,96.37
2021-01-11 00:00:00,1610323200000,96.45,96.88,80.0,83.81,302302.35633,83.81
2021-01-11 04:00:00,1610337600000,83.83,90.78,82.0,87.18,315105.99523,87.18
2021-01-11 08:00:00,1610352000000,87.23,108.97,86.08,96.75,706259.23838,96.75
2021-01-11 12:00:00,1610366400000,96.86,102.0,83.5,86.75,744762.94454,86.75
2021-01-11 16:00:00,1610380800000,86.8,90.09,77.59,81.39,491077.59278,81.39
2021-01-11 20:00:00,1610395200000,81.36,90.62,80.0,88.24,198110.45347,88.24
2021-01-12 00:00:00,1610409600000,88.13,94.47,84.28,93.88,247446.94218,93.88
2021-01-12 04:00:00,1610424000000,93.9,105.51,89.52,101.87,305984.19573,101.87
2021-01-12 08:00:00,1610438400000,101.82,102.65,95.05,97.54,271736.7071,97.54
2021-01-12 12:00:00,1610452800000,97.58,99.11,87.98,96.4,249886.85359,96.4
2021-01-12 16:00:00,1610467200000,96.47,102.91,96.38,98.32,234925.10219,98.32
2021-01-12 20:00:00,1610481600000,98.25,103.48,96.79,99.72,171589.83751,99.72
2021-01-13 00:00:00,1610496000000,99.73,104.63,92.47,99.92,291678.55896,99.92
2021-01-13 04:00:00,1610510400000,99.88,104.16,98.6,103.69,121029.33786,103.69
2021-01-13 08:00:00,1610524800000,103.78,108.96,100.98,104.05,180001.6105,104.05
2021-01-13 12:00:00,1610539200000,104.02,117.21,102.38,117.0,231777.53659,117.0
2021-01-13 16:00:00,1610553600000,117.0,120.69,112.62,112.9,201858.4727,112.9
2021-01-13 20:00:00,1610568000000,112.83,120.0,112.83,117.35,106931.22137,117.35
2021-01-14 00:00:00,1610582400000,117.33,118.89,112.91,113.3,121457.42339,113.3
2021-01-14 04:00:00,1610596800000,113.3,115.54,110.57,113.32,93996.88672,113.32
2021-01-14 08:00:00,1610611200000,113.3,117.03,109.8,115.68,117842.69766,115.68
2021-01-14 12:00:00,1610625600000,115.58,117.67,113.68,114.88,99874.43044,114.88
