,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,11.569,13.083,11.301,12.288,141163.056,12.288
2021-01-01 04:00:00,1609473600000,12.285,13.069,12.283,12.898,62627.839,12.898
2021-01-01 08:00:00,1609488000000,12.907,13.7,12.472,13.357,121021.2,13.357
2021-01-01 12:00:00,1609502400000,13.312,13.558,12.794,13.406,91529.446,13.406
2021-01-01 16:00:00,1609516800000,13.441,14.649,12.214,12.47,308531.265,12.47
2021-01-01 20:00:00,1609531200000,12.472,12.692,11.6,11.74,128330.516,11.74
2021-01-02 00:00:00,1609545600000,11.772,11.958,11.305,11.772,113519.162,11.772
2021-01-02 04:00:00,1609560000000,11.773,12.096,11.241,11.37,60795.67,11.37
2021-01-02 08:00:00,1609574400000,11.396,11.877,11.24,11.485,58853.965,11.485
2021-01-02 12:00:00,1609588800000,11.485,12.541,11.333,11.952,78662.591,11.952
2021-01-02 16:00:00,1609603200000,11.952,12.399,11.7,11.743,34672.402,11.743
2021-01-02 20:00:00,1609617600000,11.719,11.804,11.41,11.704,31852.049,11.704
2021-01-03 00:00:00,1609632000000,11.775,14.42,11.566,14.173,129368.162,14.173
2021-01-03 04:00:00,1609646400000,14.168,14.6,13.363,13.578,138070.191,13.578
2021-01-03 08:00:00,1609660800000,13.583,14.498,13.536,13.811,65111.635,13.811
2021-01-03 12:00:00,1609675200000,13.81,14.713,13.201,13.748,104295.643,13.748
2021-01-03 16:00:00,1609689600000,13.767,14.099,13.248,13.546,47749.928,13.546
2021-01-03 20:00:00,1609704000000,13.522,13.853,13.31,13.53,42940.531,13.53
2021-01-04 00:00:00,1609718400000,13.531,13.7,13.002,13.334,64506.723,13.334
2021-01-04 04:00:00,1609732800000,13.371,15.2,13.288,13.412,102425.026,13.412
2021-01-04 08:00:00,1609747200000,13.411,14.123,11.602,12.666,176538.321,12.666
2021-01-04 12:00:00,1609761600000,12.621,13.101,12.359,12.998,44312.764,12.998
2021-01-04 16:00:00,1609776000000,13.039,13.1,12.308,12.878,22392.399,12.878
2021-01-04 20:00:00,1609790400000,12.885,13.496,12.483,13.461,19807.171,13.461
2021-01-05 00:00:00,1609804800000,13.488,13.8,13.0,13.0,54502.052,13.0
2021-01-05 04:00:00,1609819200000,13.019,13.2,12.747,12.982,48148.966,12.982
2021-01-05 08:00:00,1609833600000,12.997,13.592,12.992,13.547,22790.499,13.547
2021-01-05 12:00:00,1609848000000,13.545,13.676,12.9,13.468,51353.643,13.468
2021-01-05 16:00:00,1609862400000,13.483,14.899,13.261,14.322,82069.393,14.322
2021-01-05 20:00:00,1609876800000,14.346,14.687,13.852,14.372,42576.397,14.372
2021-01-06 00:00:00,1609891200000,14.399,14.585,13.537,13.952,49017.994,13.952
2021-01-06 04:00:00,1609905600000,13.977,14.8,13.623,14.454,54785.665,14.454
2021-01-06 08:00:00,1609920000000,14.454,16.576,14.101,15.405,137639.424,15.405
2021-01-06 12:00:00,1609934400000,15.379,16.088,15.206,15.651,84824.168,15.651
2021-01-06 16:00:00,1609948800000,15.651,16.5,15.201,15.483,65540.067,15.483
2021-01-06 20:00:00,1609963200000,15.482,16.2,14.666,16.047,55923.293,16.047
2021-01-07 00:00:00,1609977600000,16.048,16.198,15.0,15.839,49139.492,15.839
2021-01-07 04:00:00,1609992000000,15.855,15.855,15.252,15.4,40458.273,15.4
2021-01-07 08:00:00,1610006400000,15.4,15.509,14.8,15.372,35138.406,15.372
2021-01-07 12:00:00,1610020800000,15.374,15.613,15.12,15.402,28004.588,15.402
2021-01-07 16:00:00,1610035200000,15.402,15.9,13.59,14.767,81266.355,14.767
2021-01-07 20:00:00,1610049600000,14.822,14.941,14.251,14.592,29736.576,14.592
2021-01-08 00:00:00,1610064000000,14.618,14.722,13.2,13.95,53447.434,13.95
2021-01-08 04:00:00,1610078400000,13.966,14.459,13.424,14.31,27276.145,14.31
2021-01-08 08:00:00,1610092800000,14.317,14.868,14.15,14.538,27414.653,14.538
