,datetime,open,high,low,close,volume,adj_close,signal
2021-01-01 00:00:00,1609459200000,0.355,0.3627,0.3513,0.3605,1400327.27,0.3605,sell
2021-01-01 04:00:00,1609473600000,0.3607,0.3614,0.3547,0.3557,713456.4,0.3557,sell
2021-01-01 08:00:00,1609488000000,0.3559,0.3631,0.3509,0.3607,893074.28,0.3607,sell
2021-01-01 12:00:00,1609502400000,0.3605,0.3749,0.3605,0.3682,1806461.69,0.3682,sell
2021-01-01 16:00:00,1609516800000,0.3682,0.3714,0.3571,0.361,1639653.7,0.361,sell
2021-01-01 20:00:00,1609531200000,0.3607,0.3747,0.3603,0.3744,815147.45,0.3744,sell
2021-01-02 00:00:00,1609545600000,0.3744,0.3853,0.362,0.3817,2020206.67,0.3817,sell
2021-01-02 04:00:00,1609560000000,0.3817,0.397,0.3769,0.3826,2420879.54,0.3826,sell
2021-01-02 08:00:00,1609574400000,0.3825,0.385,0.3728,0.3771,1367973.45,0.3771,sell
2021-01-02 12:00:00,1609588800000,0.3774,0.3828,0.3678,0.3695,1940761.55,0.3695,sell
2021-01-02 16:00:00,1609603200000,0.3702,0.3747,0.3632,0.3695,2049335.37,0.3695,sell
2021-01-02 20:00:00,1609617600000,0.3694,0.37,0.3574,0.3604,1701328.72,0.3604,sell
2021-01-03 00:00:00,1609632000000,0.3603,0.3655,0.3573,0.3628,898900.29,0.3628,sell
2021-01-03 04:00:00,1609646400000,0.3622,0.378,0.3596,0.3718,2961023.06,0.3718,sell
2021-01-03 08:00:00,1609660800000,0.3718,0.3906,0.3672,0.3807,4108907.72,0.3807,sell
2021-01-03 12:00:00,1609675200000,0.3808,0.385,0.373,0.3778,3009852.28,0.3778,sell
2021-01-03 16:00:00,1609689600000,0.3782,0.3904,0.3723,0.3747,3059938.86,0.3747,sell
2021-01-03 20:00:00,1609704000000,0.3747,0.3955,0.3716,0.3923,2334448.94,0.3923,sell
2021-01-04 00:00:00,1609718400000,0.3923,0.4087,0.3894,0.3996,2885230.15,0.3996,sell
2021-01-04 04:00:00,1609732800000,0.3997,0.419,0.3785,0.3845,3871407.89,0.3845,sell
2021-01-04 08:00:00,1609747200000,0.3848,0.39,0.3638,0.3755,5634573.89,0.3755,sell
2021-01-04 12:00:00,1609761600000,0.3758,0.39,0.374,0.3878,1939884.07,0.3878,sell
2021-01-04 16:00:00,1609776000000,0.3878,0.3906,0.3769,0.3899,1381348.67,0.3899,sell
2021-01-04 20:00:00,1609790400000,0.3898,0.3966,0.3827,0.3948,2767813.38,0.3948,sell
2021-01-05 00:00:00,1609804800000,0.3952,0.4126,0.3893,0.3893,3971341.06,0.3893,sell
2021-01-05 04:00:00,1609819200000,0.3898,0.3993,0.3821,0.3866,2026122.19,0.3866,sell
2021-01-05 08:00:00,1609833600000,0.3873,0.4167,0.3873,0.4148,2727479.59,0.4148,sell
2021-01-05 12:00:00,1609848000000,0.4146,0.45,0.4074,0.4469,6481650.14,0.4469,sell
2021-01-05 16:00:00,1609862400000,0.4467,0.4508,0.4249,0.4374,4996144.99,0.4374,sell
2021-01-05 20:00:00,1609876800000,0.4373,0.4544,0.4285,0.4447,3942285.33,0.4447,buy
2021-01-06 00:00:00,1609891200000,0.4451,0.488,0.444,0.4603,7401843.19,0.4603,buy
2021-01-06 04:00:00,1609905600000,0.4599,0.488,0.4485,0.457,4394472.66,0.457,buy
2021-01-06 08:00:00,1609920000000,0.457,0.4759,0.4529,0.4663,3874282.49,0.4663,buy
2021-01-06 12:00:00,1609934400000,0.4666,0.4961,0.4639,0.4684,5930822.74,0.4684,buy
2021-01-06 16:00:00,1609948800000,0.4688,0.4773,0.445,0.448,4293522.55,0.448,buy
2021-01-06 20:00:00,1609963200000,0.448,0.4741,0.4302,0.4618,4075965.74,0.4618,buy
2021-01-07 00:00:00,1609977600000,0.4618,0.4811,0.4489,0.4754,2890035.33,0.4754,buy
2021-01-07 04:00:00,1609992000000,0.4754,0.4882,0.4649,0.4654,2920012.86,0.4654,buy
2021-01-07 08:00:00,1610006400000,0.4657,0.4899,0.4481,0.4775,4866646.2,0.4775,buy
2021-01-07 12:00:00,1610020800000,0.4779,0.49,0.4676,0.4799,2608888.71,0.4799,buy
2021-01-07 16:00:00,1610035200000,0.48,0.4821,0.4268,0.4544,3358603.29,0.4544,buy
2021-01-07 20:00:00,1610049600000,0.4544,0.4564,0.4328,0.4386,2562439.97,0.4386,buy
2021-01-08 00:00:00,1610064000000,0.439,0.4594,0.4,0.4268,4416619.73,0.4268,buy
2021-01-08 04:00:00,1610078400000,0.4267,0.4446,0.4179,0.4443,1547506.98,0.4443,buy
2021-01-08 08:00:00,1610092800000,0.4437,0.4602,0.4365,0.4521,2331657.19,0.4521,buy
2021-01-08 12:00:00,1610107200000,0.4521,0.4543,0.4306,0.4434,3203556.45,0.4434,buy
2021-01-08 16:00:00,1610121600000,0.4447,0.4498,0.4337,0.4342,1609648.75,0.4342,buy
2021-01-08 20:00:00,1610136000000,0.434,0.4406,0.4182,0.44,2567608.05,0.44,buy
2021-01-09 00:00:00,1610150400000,0.44,0.4508,0.4255,0.4504,1995107.48,0.4504,buy
2021-01-09 04:00:00,1610164800000,0.4502,0.4645,0.4419,0.4562,2687262.31,0.4562,buy
2021-01-09 08:00:00,1610179200000,0.4563,0.4779,0.4503,0.4692,2473369.11,0.4692,buy
2021-01-09 12:00:00,1610193600000,0.47,0.5419,0.4678,0.5317,10836777.15,0.5317,buy
2021-01-09 16:00:00,1610208000000,0.5322,0.62,0.5231,0.5467,34340884.74,0.5467,buy
2021-01-09 20:00:00,1610222400000,0.547,0.5742,0.534,0.5405,7174731.72,0.5405,buy
2021-01-10 00:00:00,1610236800000,0.5405,0.585,0.5328,0.5457,6444329.46,0.5457,buy
2021-01-10 04:00:00,1610251200000,0.546,0.5555,0.529,0.5503,4114946.42,0.5503,buy
2021-01-10 08:00:00,1610265600000,0.5504,0.5714,0.4965,0.5097,9367202.99,0.5097,buy
