,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,0.18134,0.18473,0.17831,0.18292,83576635.7,0.18292
2021-01-01 04:00:00,1609473600000,0.18299,0.18367,0.178,0.17955,62725504.2,0.17955
2021-01-01 08:00:00,1609488000000,0.17955,0.18078,0.17673,0.1795,55964897.7,0.1795
2021-01-01 12:00:00,1609502400000,0.17943,0.18359,0.17887,0.18055,87934772.2,0.18055
2021-01-01 16:00:00,1609516800000,0.18057,0.18128,0.17,0.17432,128884286.9,0.17432
2021-01-01 20:00:00,1609531200000,0.17432,0.17637,0.17322,0.17509,43115474.2,0.17509
2021-01-02 00:00:00,1609545600000,0.17505,0.17618,0.17016,0.17501,65770576.8,0.17501
2021-01-02 04:00:00,1609560000000,0.175,0.17529,0.17224,0.17242,38711402.8,0.17242
2021-01-02 08:00:00,1609574400000,0.17244,0.17305,0.16793,0.17204,75125323.1,0.17204
2021-01-02 12:00:00,1609588800000,0.17207,0.18288,0.17026,0.17886,173540468.3,0.17886
2021-01-02 16:00:00,1609603200000,0.17897,0.18457,0.17755,0.18322,150890250.1,0.18322
2021-01-02 20:00:00,1609617600000,0.1832,0.18383,0.1705,0.17742,156265260.1,0.17742
2021-01-03 00:00:00,1609632000000,0.1774,0.17917,0.17392,0.17446,63650188.1,0.17446
2021-01-03 04:00:00,1609646400000,0.17448,0.17725,0.17358,0.17436,72805519.1,0.17436
2021-01-03 08:00:00,1609660800000,0.1743,0.1942,0.17255,0.18882,255752452.7,0.18882
2021-01-03 12:00:00,1609675200000,0.18883,0.20371,0.1881,0.19611,364426877.2,0.19611
2021-01-03 16:00:00,1609689600000,0.19589,0.20199,0.19037,0.19516,239867823.8,0.19516
2021-01-03 20:00:00,1609704000000,0.19516,0.2096,0.19477,0.20615,204948588.4,0.20615
2021-01-04 00:00:00,1609718400000,0.20625,0.22454,0.2062,0.22316,265711281.46,0.22316
2021-01-04 04:00:00,1609732800000,0.22313,0.23992,0.20802,0.21657,351178806.34,0.21657
2021-01-04 08:00:00,1609747200000,0.21667,0.22374,0.19203,0.21194,384260583.7,0.21194
2021-01-04 12:00:00,1609761600000,0.21203,0.2178,0.20442,0.21612,195260155.2,0.21612
2021-01-04 16:00:00,1609776000000,0.21635,0.21865,0.20345,0.21658,153294428.6,0.21658
2021-01-04 20:00:00,1609790400000,0.21659,0.22602,0.20961,0.22528,113710320.3,0.22528
2021-01-05 00:00:00,1609804800000,0.22518,0.23048,0.21276,0.21297,229465156.9,0.21297
2021-01-05 04:00:00,1609819200000,0.21296,0.22509,0.20696,0.21898,172207413.7,0.21898
2021-01-05 08:00:00,1609833600000,0.21899,0.23926,0.21898,0.23047,258685006.9,0.23047
2021-01-05 12:00:00,1609848000000,0.23047,0.2458,0.22422,0.24577,242985815.6,0.24577
2021-01-05 16:00:00,1609862400000,0.24575,0.25786,0.24036,0.24988,344205150.51,0.24988
2021-01-05 20:00:00,1609876800000,0.24996,0.26429,0.24853,0.25873,231339135.72,0.25873
2021-01-06 00:00:00,1609891200000,0.25889,0.27493,0.25347,0.2654,263158848.6,0.2654
2021-01-06 04:00:00,1609905600000,0.26519,0.27975,0.25973,0.27971,190966496.5,0.27971
2021-01-06 08:00:00,1609920000000,0.27954,0.29634,0.26963,0.29534,310504573.61,0.29534
2021-01-06 12:00:00,1609934400000,0.29549,0.34445,0.288,0.30854,678049374.75,0.30854
2021-01-06 16:00:00,1609948800000,0.30849,0.31383,0.2904,0.29133,218131345.1,0.29133
2021-01-06 20:00:00,1609963200000,0.29132,0.34772,0.29,0.33309,398299404.2,0.33309
2021-01-07 00:00:00,1609977600000,0.33311,0.3553,0.31879,0.33827,327664806.55,0.33827
2021-01-07 04:00:00,1609992000000,0.33828,0.34397,0.32368,0.32848,170805185.1,0.32848
2021-01-07 08:00:00,1610006400000,0.32849,0.33367,0.30613,0.31198,223223508.9,0.31198
2021-01-07 12:00:00,1610020800000,0.31211,0.32687,0.31106,0.3185,192766980.8,0.3185
2021-01-07 16:00:00,1610035200000,0.31855,0.33203,0.2785,0.31126,310569098.4,0.31126
2021-01-07 20:00:00,1610049600000,0.31125,0.31715,0.29139,0.29928,186292118.8,0.29928
2021-01-08 00:00:00,1610064000000,0.29917,0.307,0.26175,0.28236,296182883.9,0.28236
2021-01-08 04:00:00,1610078400000,0.28232,0.31485,0.27275,0.31471,222256796.9,0.31471
2021-01-08 08:00:00,1610092800000,0.31451,0.32165,0.29841,0.30857,240077635.5,0.30857
2021-01-08 12:00:00,1610107200000,0.3085,0.31479,0.29118,0.29931,209654302.7,0.29931
2021-01-08 16:00:00,1610121600000,0.29927,0.30713,0.28802,0.29171,160041243.6,0.29171
2021-01-08 20:00:00,1610136000000,0.29171,0.30755,0.28259,0.30389,155992386.8,0.30389
2021-01-09 00:00:00,1610150400000,0.30392,0.31483,0.29886,0.30778,166820355.8,0.30778
2021-01-09 04:00:00,1610164800000,0.30773,0.30852,0.29583,0.30369,99321856.0,0.30369
2021-01-09 08:00:00,1610179200000,0.30369,0.31572,0.29948,0.30977,120568228.3,0.30977
2021-01-09 12:00:00,1610193600000,0.30987,0.32847,0.30669,0.32326,158376645.6,0.32326
2021-01-09 16:00:00,1610208000000,0.32326,0.33851,0.31549,0.33736,153746666.1,0.33736
2021-01-09 20:00:00,1610222400000,0.33725,0.33846,0.32738,0.33062,121433698.9,0.33062
2021-01-10 00:00:00,1610236800000,0.33062,0.33595,0.32533,0.32621,106778146.8,0.32621
2021-01-10 04:00:00,1610251200000,0.32627,0.3412,0.32377,0.33697,108522781.8,0.33697
2021-01-10 08:00:00,1610265600000,0.33693,0.33797,0.30389,0.30743,167499423.6,0.30743
2021-01-10 12:00:00,1610280000000,0.30742,0.32174,0.3027,0.31566,134830447.8,0.31566
2021-01-10 16:00:00,1610294400000,0.31572,0.3176,0.29364,0.29966,175047196.0,0.29966
2021-01-10 20:00:00,1610308800000,0.30012,0.30999,0.27948,0.30153,215989600.0,0.30153
2021-01-11 00:00:00,1610323200000,0.30154,0.30397,0.26,0.2774,222779465.0,0.2774
2021-01-11 04:00:00,1610337600000,0.27713,0.28188,0.2595,0.27392,258964882.5,0.27392
2021-01-11 08:00:00,1610352000000,0.27389,0.28931,0.265,0.26629,171567739.9,0.26629
2021-01-11 12:00:00,1610366400000,0.26649,0.27487,0.24619,0.25052,275691179.6,0.25052
2021-01-11 16:00:00,1610380800000,0.25052,0.26215,0.2288,0.25189,382815982.6,0.25189
2021-01-11 20:00:00,1610395200000,0.25182,0.27756,0.24538,0.2757,218750332.7,0.2757
2021-01-12 00:00:00,1610409600000,0.27563,0.29,0.2628,0.28654,167737041.5,0.28654
2021-01-12 04:00:00,1610424000000,0.28675,0.31442,0.2813,0.30729,188366022.6,0.30729
2021-01-12 08:00:00,1610438400000,0.30723,0.30821,0.275,0.28779,197451384.5,0.28779
2021-01-12 12:00:00,1610452800000,0.28778,0.2939,0.2672,0.28498,216542337.1,0.28498
2021-01-12 16:00:00,1610467200000,0.28503,0.3,0.2845,0.28817,147576495.3,0.28817
2021-01-12 20:00:00,1610481600000,0.28806,0.29345,0.27888,0.28888,141339963.8,0.28888
2021-01-13 00:00:00,1610496000000,0.28875,0.29515,0.27,0.28371,205212802.5,0.28371
2021-01-13 04:00:00,1610510400000,0.28371,0.2935,0.27517,0.29234,98330170.1,0.29234
2021-01-13 08:00:00,1610524800000,0.29224,0.29687,0.28629,0.2908,88634621.2,0.2908
2021-01-13 12:00:00,1610539200000,0.29094,0.2945,0.28506,0.2907,92681817.8,0.2907
2021-01-13 16:00:00,1610553600000,0.29069,0.304,0.28848,0.29937,102442414.8,0.29937
2021-01-13 20:00:00,1610568000000,0.29937,0.31587,0.29841,0.3123,128171285.5,0.3123
2021-01-14 00:00:00,1610582400000,0.31246,0.31885,0.30318,0.30444,121839470.7,0.30444
2021-01-14 04:00:00,1610596800000,0.30456,0.31535,0.30034,0.30993,86367969.8,0.30993
2021-01-14 08:00:00,1610611200000,0.30998,0.31633,0.30626,0.31221,77471060.9,0.31221
2021-01-14 12:00:00,1610625600000,0.31214,0.31992,0.308,0.31725,114414925.3,0.31725
2021-01-14 16:00:00,1610640000000,0.31724,0.32455,0.30752,0.31672,129477887.7,0.31672
2021-01-14 20:00:00,1610654400000,0.31658,0.31698,0.29646,0.31201,126931359.6,0.31201
2021-01-15 00:00:00,1610668800000,0.31203,0.33225,0.31013,0.31759,175201523.0,0.31759
2021-01-15 04:00:00,1610683200000,0.31766,0.325,0.30712,0.3246,114254023.8,0.3246
2021-01-15 08:00:00,1610697600000,0.32461,0.32536,0.31515,0.31881,100882431.6,0.31881
2021-01-15 12:00:00,1610712000000,0.31871,0.32079,0.29207,0.29614,166239680.9,0.29614
2021-01-15 16:00:00,1610726400000,0.29651,0.315,0.27739,0.3,209058758.1,0.3
2021-01-15 20:00:00,1610740800000,0.29977,0.30599,0.29314,0.30188,87880985.4,0.30188
2021-01-16 00:00:00,1610755200000,0.30189,0.31672,0.30186,0.30858,106582861.7,0.30858
2021-01-16 04:00:00,1610769600000,0.30867,0.31979,0.30252,0.31555,91981281.4,0.31555
2021-01-16 08:00:00,1610784000000,0.31555,0.35416,0.31215,0.35379,272846524.0,0.35379
2021-01-16 12:00:00,1610798400000,0.35368,0.36696,0.3441,0.35689,352921770.63,0.35689
2021-01-16 16:00:00,1610812800000,0.35687,0.3607,0.33675,0.35289,210528577.2,0.35289
2021-01-16 20:00:00,1610827200000,0.35289,0.35956,0.3322,0.35071,184728028.3,0.35071
2021-01-17 00:00:00,1610841600000,0.35057,0.38888,0.34076,0.37574,363329385.47,0.37574
2021-01-17 04:00:00,1610856000000,0.37563,0.3846,0.35077,0.35515,208838942.3,0.35515
2021-01-17 08:00:00,1610870400000,0.35519,0.37853,0.34895,0.37639,269536464.2,0.37639
2021-01-17 12:00:00,1610884800000,0.3764,0.38897,0.36011,0.38478,210910789.5,0.38478
2021-01-17 16:00:00,1610899200000,0.38477,0.38664,0.3693,0.37185,163961405.6,0.37185
2021-01-17 20:00:00,1610913600000,0.37187,0.3974,0.37187,0.38081,206073852.22,0.38081
2021-01-18 00:00:00,1610928000000,0.38077,0.39724,0.36676,0.37203,178181227.0,0.37203
2021-01-18 04:00:00,1610942400000,0.37201,0.383,0.36946,0.38185,108205649.9,0.38185
