,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,3.1859,3.2609,3.0178,3.1085,771165.4,3.1085
2021-01-01 04:00:00,1609473600000,3.1123,3.1753,3.0592,3.1753,86785.18,3.1753
2021-01-01 08:00:00,1609488000000,3.1753,3.5501,3.1381,3.5259,554544.91,3.5259
2021-01-01 12:00:00,1609502400000,3.516,3.86,3.4515,3.6472,1467664.08,3.6472
2021-01-01 16:00:00,1609516800000,3.6454,3.6666,3.4267,3.5644,452706.75,3.5644
2021-01-01 20:00:00,1609531200000,3.5644,3.815,3.5344,3.6497,484252.42,3.6497
2021-01-02 00:00:00,1609545600000,3.6544,3.939,3.5351,3.8916,350728.33,3.8916
2021-01-02 04:00:00,1609560000000,3.8921,3.8922,3.6578,3.6622,194512.6,3.6622
2021-01-02 08:00:00,1609574400000,3.6623,3.6834,3.5,3.5797,231135.91,3.5797
2021-01-02 12:00:00,1609588800000,3.5786,3.62,3.4862,3.5472,194523.54,3.5472
2021-01-02 16:00:00,1609603200000,3.5473,3.5518,3.32,3.3587,419434.41,3.3587
2021-01-02 20:00:00,1609617600000,3.3539,3.6,3.2851,3.4956,377870.36,3.4956
2021-01-03 00:00:00,1609632000000,3.5005,3.5413,3.3916,3.493,91211.16,3.493
2021-01-03 04:00:00,1609646400000,3.4967,3.5908,3.4806,3.5031,94600.52,3.5031
2021-01-03 08:00:00,1609660800000,3.5108,3.743,3.4901,3.656,185707.77,3.656
2021-01-03 12:00:00,1609675200000,3.6561,3.78,3.6134,3.7369,183340.03,3.7369
2021-01-03 16:00:00,1609689600000,3.7454,3.83,3.5,3.5558,211978.56,3.5558
2021-01-03 20:00:00,1609704000000,3.5518,3.6389,3.4135,3.4691,222627.22,3.4691
2021-01-04 00:00:00,1609718400000,3.477,3.7055,3.4596,3.6125,195104.28,3.6125
2021-01-04 04:00:00,1609732800000,3.6125,3.83,3.4779,3.5642,311780.2,3.5642
2021-01-04 08:00:00,1609747200000,3.5705,3.6454,3.2283,3.4216,364045.46,3.4216
2021-01-04 12:00:00,1609761600000,3.4164,3.507,3.3426,3.448,140757.6,3.448
2021-01-04 16:00:00,1609776000000,3.4488,3.4956,3.33,3.4579,94552.18,3.4579
2021-01-04 20:00:00,1609790400000,3.4655,3.6185,3.4001,3.5999,136305.55,3.5999
2021-01-05 00:00:00,1609804800000,3.5999,3.78,3.5653,3.6189,315926.85,3.6189
2021-01-05 04:00:00,1609819200000,3.62,3.6595,3.4703,3.606,125841.74,3.606
2021-01-05 08:00:00,1609833600000,3.615,4.1781,3.6051,4.0495,712523.43,4.0495
2021-01-05 12:00:00,1609848000000,4.0613,4.24,3.9121,4.1989,492964.74,4.1989
2021-01-05 16:00:00,1609862400000,4.1988,4.3556,4.1004,4.1573,560254.45,4.1573
2021-01-05 20:00:00,1609876800000,4.1544,4.332,4.1151,4.2501,195885.61,4.2501
2021-01-06 00:00:00,1609891200000,4.2502,4.4,4.1361,4.303,302222.73,4.303
2021-01-06 04:00:00,1609905600000,4.3148,4.6795,4.2221,4.4849,904531.83,4.4849
2021-01-06 08:00:00,1609920000000,4.4849,4.9473,4.3923,4.9278,483081.84,4.9278
2021-01-06 12:00:00,1609934400000,4.9278,4.9442,4.6315,4.714,327669.52,4.714
2021-01-06 16:00:00,1609948800000,4.7138,4.9773,4.3684,4.3699,420548.41,4.3699
2021-01-06 20:00:00,1609963200000,4.3699,4.7705,4.3279,4.5788,487103.92,4.5788
2021-01-07 00:00:00,1609977600000,4.5803,4.8205,4.4576,4.7301,220301.02,4.7301
2021-01-07 04:00:00,1609992000000,4.7306,4.7448,4.4501,4.4733,172462.74,4.4733
2021-01-07 08:00:00,1610006400000,4.4738,4.66,4.3526,4.5719,208479.44,4.5719
2021-01-07 12:00:00,1610020800000,4.5606,4.7999,4.5218,4.7615,242848.14,4.7615
2021-01-07 16:00:00,1610035200000,4.7666,4.7999,4.1827,4.5556,436241.47,4.5556
2021-01-07 20:00:00,1610049600000,4.5556,4.6155,4.3685,4.4707,191159.94,4.4707
2021-01-08 00:00:00,1610064000000,4.4728,4.5479,4.0,4.2954,209111.29,4.2954
2021-01-08 04:00:00,1610078400000,4.2954,4.6781,4.2292,4.6548,117211.75,4.6548
2021-01-08 08:00:00,1610092800000,4.6677,5.5276,4.55,5.0682,965967.06,5.0682
2021-01-08 12:00:00,1610107200000,5.0684,5.705,5.0662,5.3221,816444.47,5.3221
2021-01-08 16:00:00,1610121600000,5.3127,5.3785,5.0501,5.1185,370806.06,5.1185
2021-01-08 20:00:00,1610136000000,5.1219,5.9,5.0,5.7,558119.03,5.7
2021-01-09 00:00:00,1610150400000,5.6999,6.82,5.5761,6.4462,1300746.62,6.4462
2021-01-09 04:00:00,1610164800000,6.4482,6.775,6.0621,6.5379,531596.63,6.5379
2021-01-09 08:00:00,1610179200000,6.5389,6.95,6.3011,6.4672,735711.75,6.4672
2021-01-09 12:00:00,1610193600000,6.4678,7.2525,6.4192,7.0465,707860.1,7.0465
2021-01-09 16:00:00,1610208000000,7.0465,7.4563,6.8219,7.1732,427365.18,7.1732
2021-01-09 20:00:00,1610222400000,7.1607,7.487,6.93,7.1877,356819.96,7.1877
2021-01-10 00:00:00,1610236800000,7.2115,7.4969,6.9555,7.0153,361250.94,7.0153
2021-01-10 04:00:00,1610251200000,7.0175,7.311,6.9951,7.2128,138137.26,7.2128
2021-01-10 08:00:00,1610265600000,7.2291,7.2472,6.5655,6.5978,345570.2,6.5978
2021-01-10 12:00:00,1610280000000,6.5973,6.985,6.51,6.8276,256856.68,6.8276
2021-01-10 16:00:00,1610294400000,6.8329,7.0051,6.4043,6.4629,355851.15,6.4629
2021-01-10 20:00:00,1610308800000,6.4767,6.7944,6.15,6.5416,408246.92,6.5416
2021-01-11 00:00:00,1610323200000,6.541,6.541,5.8454,6.1348,381068.26,6.1348
2021-01-11 04:00:00,1610337600000,6.1348,6.2849,5.81,6.1071,275047.22,6.1071
2021-01-11 08:00:00,1610352000000,6.1052,6.75,6.0311,6.58,279614.04,6.58
2021-01-11 12:00:00,1610366400000,6.5737,7.0,5.72,6.0351,510755.11,6.0351
2021-01-11 16:00:00,1610380800000,6.0239,6.3395,5.7784,6.0114,410937.43,6.0114
2021-01-11 20:00:00,1610395200000,6.0103,6.5032,5.8766,6.4713,207703.46,6.4713
2021-01-12 00:00:00,1610409600000,6.4623,7.4089,6.4198,7.2204,606428.74,7.2204
2021-01-12 04:00:00,1610424000000,7.2222,7.9929,7.1269,7.8985,617759.24,7.8985
2021-01-12 08:00:00,1610438400000,7.9092,8.0779,7.4355,7.8774,585498.28,7.8774
2021-01-12 12:00:00,1610452800000,7.8777,8.2356,7.5145,7.9297,673388.51,7.9297
2021-01-12 16:00:00,1610467200000,7.9291,8.0798,7.4709,7.6439,390548.32,7.6439
2021-01-12 20:00:00,1610481600000,7.645,7.9,7.5133,7.72,264814.93,7.72
2021-01-13 00:00:00,1610496000000,7.7254,7.7552,7.1356,7.4293,305854.56,7.4293
2021-01-13 04:00:00,1610510400000,7.4146,7.89,7.2039,7.6402,306266.25,7.6402
2021-01-13 08:00:00,1610524800000,7.6446,8.0,7.562,7.6571,269756.76,7.6571
2021-01-13 12:00:00,1610539200000,7.6565,7.9696,7.605,7.7861,177283.02,7.7861
2021-01-13 16:00:00,1610553600000,7.7999,7.8891,7.5049,7.8131,233685.68,7.8131
2021-01-13 20:00:00,1610568000000,7.8133,8.5,7.7733,8.4695,419162.44,8.4695
2021-01-14 00:00:00,1610582400000,8.4693,8.62,8.2198,8.2896,199910.81,8.2896
2021-01-14 04:00:00,1610596800000,8.2901,8.449,8.21,8.3988,147270.21,8.3988
2021-01-14 08:00:00,1610611200000,8.3993,9.52,8.35,9.4095,459337.7,9.4095
2021-01-14 12:00:00,1610625600000,9.4008,9.6004,9.1612,9.4924,516078.76,9.4924
2021-01-14 16:00:00,1610640000000,9.4924,9.5712,8.8142,8.8413,659097.78,8.8413
2021-01-14 20:00:00,1610654400000,8.8438,9.5186,8.5137,9.3177,568355.82,9.3177
2021-01-15 00:00:00,1610668800000,9.3192,9.6142,9.02,9.183,286831.22,9.183
2021-01-15 04:00:00,1610683200000,9.1804,9.4655,8.8848,9.2708,307417.86,9.2708
2021-01-15 08:00:00,1610697600000,9.2735,9.8714,9.1418,9.56,294632.89,9.56
2021-01-15 12:00:00,1610712000000,9.5728,9.89,9.1203,9.186,426729.79,9.186
2021-01-15 16:00:00,1610726400000,9.1897,9.434,8.57,9.0588,466017.63,9.0588
2021-01-15 20:00:00,1610740800000,9.05,9.5926,9.0,9.3794,209563.57,9.3794
2021-01-16 00:00:00,1610755200000,9.3795,9.5211,9.1629,9.2884,195782.99,9.2884
2021-01-16 04:00:00,1610769600000,9.2999,9.87,9.1847,9.8455,187621.9,9.8455
2021-01-16 08:00:00,1610784000000,9.8449,12.0122,9.73,11.7363,1151090.68,11.7363
2021-01-16 12:00:00,1610798400000,11.7363,13.4991,11.3023,12.736,1184555.08,12.736
2021-01-16 16:00:00,1610812800000,12.736,13.2386,12.2512,13.0106,636065.85,13.0106
2021-01-16 20:00:00,1610827200000,13.038,13.4327,12.4124,12.8421,543601.11,12.8421
2021-01-17 00:00:00,1610841600000,12.8222,13.92,12.3883,13.5901,543169.54,13.5901
2021-01-17 04:00:00,1610856000000,13.5871,14.69,12.6857,12.998,731742.27,12.998
2021-01-17 08:00:00,1610870400000,12.985,14.0273,12.5511,13.6878,594166.3,13.6878
2021-01-17 12:00:00,1610884800000,13.6865,13.742,12.9,13.1507,272862.88,13.1507
2021-01-17 16:00:00,1610899200000,13.1232,13.1548,12.3231,12.7184,430238.39,12.7184
