,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,37.3596,38.1,36.9636,37.925,471487.943,37.925
2021-01-01 04:00:00,1609473600000,37.924,38.0765,37.3781,37.6812,307025.593,37.6812
2021-01-01 08:00:00,1609488000000,37.685,38.959,37.3425,38.3904,473363.617,38.3904
2021-01-01 12:00:00,1609502400000,38.3941,38.8814,37.8775,38.1318,387627.269,38.1318
2021-01-01 16:00:00,1609516800000,38.1318,38.3397,36.9555,37.4,525741.432,37.4
2021-01-01 20:00:00,1609531200000,37.4,37.9828,37.0848,37.7762,270743.273,37.7762
2021-01-02 00:00:00,1609545600000,37.7637,37.8156,36.8,37.5567,415731.527,37.5567
2021-01-02 04:00:00,1609560000000,37.5566,37.8,37.323,37.3312,263594.954,37.3312
2021-01-02 08:00:00,1609574400000,37.331,37.5,36.93,37.3176,231553.599,37.3176
2021-01-02 12:00:00,1609588800000,37.3143,38.2624,36.8571,38.0947,711423.238,38.0947
2021-01-02 16:00:00,1609603200000,38.0947,38.8798,37.8712,38.0417,818225.383,38.0417
2021-01-02 20:00:00,1609617600000,38.0417,38.3621,37.1094,38.2331,577533.505,38.2331
2021-01-03 00:00:00,1609632000000,38.2331,38.3893,37.8775,37.9622,332695.956,37.9622
2021-01-03 04:00:00,1609646400000,37.9659,38.2175,37.763,38.0392,514990.348,38.0392
2021-01-03 08:00:00,1609660800000,38.0391,39.86,37.9592,39.8444,895943.655,39.8444
2021-01-03 12:00:00,1609675200000,39.8531,41.5372,39.4522,40.3033,1694216.317,40.3033
2021-01-03 16:00:00,1609689600000,40.3181,41.679,40.0704,40.3199,908379.204,40.3199
2021-01-03 20:00:00,1609704000000,40.32,41.7017,40.2502,41.2575,557401.217,41.2575
2021-01-04 00:00:00,1609718400000,41.256,42.2233,41.1463,41.2306,1030866.74,41.2306
2021-01-04 04:00:00,1609732800000,41.2306,43.2039,40.3109,40.7716,1076489.984,40.7716
2021-01-04 08:00:00,1609747200000,40.7688,41.1994,38.02,39.0528,1469215.85,39.0528
2021-01-04 12:00:00,1609761600000,39.0528,40.188,38.29,39.8515,678890.871,39.8515
2021-01-04 16:00:00,1609776000000,39.8515,40.1435,38.8175,39.9192,504497.614,39.9192
2021-01-04 20:00:00,1609790400000,39.9204,41.209,39.25,41.1333,546287.107,41.1333
2021-01-05 00:00:00,1609804800000,41.13,41.2985,39.6001,39.7881,826598.107,39.7881
2021-01-05 04:00:00,1609819200000,39.7881,40.1729,38.8014,39.6593,591021.793,39.6593
2021-01-05 08:00:00,1609833600000,39.6593,40.65,39.6283,40.6367,438969.475,40.6367
2021-01-05 12:00:00,1609848000000,40.64,40.7,39.5008,40.1791,392102.488,40.1791
2021-01-05 16:00:00,1609862400000,40.1775,40.5,39.6809,40.336,486282.183,40.336
2021-01-05 20:00:00,1609876800000,40.35,41.8375,40.0454,41.8219,778167.3,41.8219
2021-01-06 00:00:00,1609891200000,41.8271,41.8675,40.4531,40.8396,520020.027,40.8396
2021-01-06 04:00:00,1609905600000,40.8313,41.4521,40.5596,40.8945,632567.492,40.8945
2021-01-06 08:00:00,1609920000000,40.8896,41.7599,40.5,41.5103,730327.517,41.5103
2021-01-06 12:00:00,1609934400000,41.5065,42.2,41.1422,41.357,630064.54,41.357
2021-01-06 16:00:00,1609948800000,41.3614,42.185,41.0144,41.0201,642101.997,41.0201
2021-01-06 20:00:00,1609963200000,41.0201,42.267,40.8329,42.2417,629363.114,42.2417
2021-01-07 00:00:00,1609977600000,42.244,42.3399,41.368,42.0946,719431.817,42.0946
2021-01-07 04:00:00,1609992000000,42.0963,44.9,41.5835,43.1382,1286458.885,43.1382
2021-01-07 08:00:00,1610006400000,43.1383,44.2934,42.1004,43.8946,834461.785,43.8946
2021-01-07 12:00:00,1610020800000,43.8918,44.43,43.5461,44.3588,607696.474,44.3588
2021-01-07 16:00:00,1610035200000,44.3619,44.5,41.366,43.2541,1018678.386,43.2541
2021-01-07 20:00:00,1610049600000,43.2516,43.8,42.6622,43.5728,560019.322,43.5728
2021-01-08 00:00:00,1610064000000,43.5728,43.722,40.2313,41.5021,867950.461,41.5021
2021-01-08 04:00:00,1610078400000,41.509,42.5301,41.018,42.5213,513241.036,42.5213
2021-01-08 08:00:00,1610092800000,42.5213,43.5,42.1002,43.0854,600512.125,43.0854
2021-01-08 12:00:00,1610107200000,43.0778,43.1738,41.6205,42.4099,669077.86,42.4099
2021-01-08 16:00:00,1610121600000,42.404,42.757,41.5301,41.7794,469862.213,41.7794
2021-01-08 20:00:00,1610136000000,41.7795,42.4527,41.0,42.356,428280.093,42.356
2021-01-09 00:00:00,1610150400000,42.345,43.1065,41.9,42.8707,712912.954,42.8707
2021-01-09 04:00:00,1610164800000,42.8707,42.8974,41.5,41.9039,418087.045,41.9039
2021-01-09 08:00:00,1610179200000,41.9039,42.99,41.65,42.7402,405849.293,42.7402
2021-01-09 12:00:00,1610193600000,42.764,43.2588,42.337,42.8703,348031.311,42.8703
2021-01-09 16:00:00,1610208000000,42.8703,43.9476,42.5312,43.7581,456694.85,43.7581
2021-01-09 20:00:00,1610222400000,43.7499,44.0552,43.3,43.8479,378788.183,43.8479
2021-01-10 00:00:00,1610236800000,43.8479,45.162,43.835,43.88,813895.233,43.88
2021-01-10 04:00:00,1610251200000,43.8864,44.5702,43.614,44.5502,625330.284,44.5502
2021-01-10 08:00:00,1610265600000,44.5448,44.7676,42.4632,42.5545,756447.495,42.5545
2021-01-10 12:00:00,1610280000000,42.5521,43.6635,42.187,43.5423,636871.525,43.5423
2021-01-10 16:00:00,1610294400000,43.5423,43.6896,41.6876,42.033,704245.578,42.033
2021-01-10 20:00:00,1610308800000,42.0802,42.7275,40.0,42.4031,740616.175,42.4031
2021-01-11 00:00:00,1610323200000,42.4033,42.5094,37.5,39.4274,1312471.915,39.4274
2021-01-11 04:00:00,1610337600000,39.4275,40.2407,37.8,39.242,1146702.268,39.242
2021-01-11 08:00:00,1610352000000,39.2478,40.2451,38.3315,38.4773,683250.443,38.4773
