,datetime,open,high,low,close,volume,adj_close
2021-01-01 00:00:00,1609459200000,1.5088,1.61,1.499,1.6029,403885.5,1.6029
2021-01-01 04:00:00,1609473600000,1.6029,1.641,1.5824,1.6196,474938.39,1.6196
2021-01-01 08:00:00,1609488000000,1.6183,1.649,1.5701,1.6272,458724.27,1.6272
2021-01-01 12:00:00,1609502400000,1.6275,1.6579,1.5808,1.6463,651745.93,1.6463
2021-01-01 16:00:00,1609516800000,1.6478,1.8327,1.6155,1.7256,1558078.2,1.7256
2021-01-01 20:00:00,1609531200000,1.726,1.86,1.7142,1.8421,874619.16,1.8421
2021-01-02 00:00:00,1609545600000,1.8421,1.9071,1.7244,1.8614,1310461.36,1.8614
2021-01-02 04:00:00,1609560000000,1.8632,1.8633,1.7453,1.7523,618781.97,1.7523
2021-01-02 08:00:00,1609574400000,1.7526,1.7954,1.7158,1.7655,603978.54,1.7655
2021-01-02 12:00:00,1609588800000,1.7638,1.8553,1.7116,1.7793,845519.06,1.7793
2021-01-02 16:00:00,1609603200000,1.7799,2.0,1.75,1.9176,1152091.72,1.9176
2021-01-02 20:00:00,1609617600000,1.9188,1.9205,1.7508,1.7999,722986.97,1.7999
2021-01-03 00:00:00,1609632000000,1.7998,1.95,1.7973,1.9462,532881.9,1.9462
2021-01-03 04:00:00,1609646400000,1.9467,2.1,1.9143,2.0709,1041262.8,2.0709
2021-01-03 08:00:00,1609660800000,2.0662,2.38,2.0642,2.2657,2471257.28,2.2657
2021-01-03 12:00:00,1609675200000,2.2657,2.3384,1.9893,2.0742,2031996.38,2.0742
2021-01-03 16:00:00,1609689600000,2.074,2.1107,1.8938,1.9638,1213604.29,1.9638
2021-01-03 20:00:00,1609704000000,1.9638,2.185,1.9472,2.1779,1027338.48,2.1779
2021-01-04 00:00:00,1609718400000,2.1789,2.4,2.1,2.3094,1697574.43,2.3094
2021-01-04 04:00:00,1609732800000,2.309,2.3758,2.0827,2.1168,985579.79,2.1168
2021-01-04 08:00:00,1609747200000,2.1153,2.2138,1.86,2.0429,1753753.05,2.0429
2021-01-04 12:00:00,1609761600000,2.0429,2.3478,2.0198,2.2786,1089168.53,2.2786
2021-01-04 16:00:00,1609776000000,2.2757,2.45,2.1179,2.4397,1018018.08,2.4397
