,time,signal
0,2021-01-01 00:00:00,sell
1,2021-01-01 04:00:00,sell
2,2021-01-01 08:00:00,sell
3,2021-01-01 12:00:00,sell
4,2021-01-01 16:00:00,sell
5,2021-01-01 20:00:00,sell
6,2021-01-02 00:00:00,sell
7,2021-01-02 04:00:00,sell
8,2021-01-02 08:00:00,sell
9,2021-01-02 12:00:00,sell
10,2021-01-02 16:00:00,sell
11,2021-01-02 20:00:00,sell
12,2021-01-03 00:00:00,sell
13,2021-01-03 04:00:00,sell
14,2021-01-03 08:00:00,sell
15,2021-01-03 12:00:00,sell
16,2021-01-03 16:00:00,sell
17,2021-01-03 20:00:00,sell
18,2021-01-04 00:00:00,sell
19,2021-01-04 04:00:00,sell
20,2021-01-04 08:00:00,sell
21,2021-01-04 12:00:00,sell
22,2021-01-04 16:00:00,sell
23,2021-01-04 20:00:00,sell
24,2021-01-05 00:00:00,sell
25,2021-01-05 04:00:00,sell
26,2021-01-05 08:00:00,sell
27,2021-01-05 12:00:00,sell
28,2021-01-05 16:00:00,sell
29,2021-01-05 20:00:00,buy
30,2021-01-06 00:00:00,buy
31,2021-01-06 04:00:00,buy
32,2021-01-06 08:00:00,buy
33,2021-01-06 12:00:00,buy
34,2021-01-06 16:00:00,buy
35,2021-01-06 20:00:00,buy
36,2021-01-07 00:00:00,buy
37,2021-01-07 04:00:00,buy
38,2021-01-07 08:00:00,buy
39,2021-01-07 12:00:00,buy
40,2021-01-07 16:00:00,buy
41,2021-01-07 20:00:00,buy
42,2021-01-08 00:00:00,buy
43,2021-01-08 04:00:00,buy
44,2021-01-08 08:00:00,buy
45,2021-01-08 12:00:00,buy
46,2021-01-08 16:00:00,buy
47,2021-01-08 20:00:00,buy
48,2021-01-09 00:00:00,buy
49,2021-01-09 04:00:00,buy
50,2021-01-09 08:00:00,buy
51,2021-01-09 12:00:00,buy
52,2021-01-09 16:00:00,buy
53,2021-01-09 20:00:00,buy
54,2021-01-10 00:00:00,buy
55,2021-01-10 04:00:00,buy
56,2021-01-10 08:00:00,sell
57,2021-01-10 12:00:00,sell
58,2021-01-10 16:00:00,sell
59,2021-01-10 20:00:00,sell
60,2021-01-11 00:00:00,sell
61,2021-01-11 04:00:00,sell
62,2021-01-11 08:00:00,sell
63,2021-01-11 12:00:00,sell
64,2021-01-11 16:00:00,sell
65,2021-01-11 20:00:00,sell
66,2021-01-12 00:00:00,buy
67,2021-01-12 04:00:00,buy
68,2021-01-12 08:00:00,sell
69,2021-01-12 12:00:00,sell
70,2021-01-12 16:00:00,sell
71,2021-01-12 20:00:00,sell
72,2021-01-13 00:00:00,sell
73,2021-01-13 04:00:00,buy
74,2021-01-13 08:00:00,buy
75,2021-01-13 12:00:00,buy
76,2021-01-13 16:00:00,buy
77,2021-01-13 20:00:00,buy
78,2021-01-14 00:00:00,buy
79,2021-01-14 04:00:00,buy
80,2021-01-14 08:00:00,buy
81,2021-01-14 12:00:00,buy
82,2021-01-14 16:00:00,buy
83,2021-01-14 20:00:00,buy
84,2021-01-15 00:00:00,buy
85,2021-01-15 04:00:00,buy
86,2021-01-15 08:00:00,buy
87,2021-01-15 12:00:00,sell
88,2021-01-15 16:00:00,sell
89,2021-01-15 20:00:00,buy
90,2021-01-16 00:00:00,buy
91,2021-01-16 04:00:00,sell
92,2021-01-16 08:00:00,buy
93,2021-01-16 12:00:00,buy
94,2021-01-16 16:00:00,buy
95,2021-01-16 20:00:00,sell
96,2021-01-17 00:00:00,buy
97,2021-01-17 04:00:00,buy
98,2021-01-17 08:00:00,buy
99,2021-01-17 12:00:00,buy
100,2021-01-17 16:00:00,buy
101,2021-01-17 20:00:00,buy
102,2021-01-18 00:00:00,sell
103,2021-01-18 04:00:00,buy
104,2021-01-18 08:00:00,buy
105,2021-01-18 12:00:00,buy
106,2021-01-18 16:00:00,buy
107,2021-01-18 20:00:00,buy
108,2021-01-19 00:00:00,buy
109,2021-01-19 04:00:00,buy
110,2021-01-19 08:00:00,buy
111,2021-01-19 12:00:00,buy
112,2021-01-19 16:00:00,buy
113,2021-01-19 20:00:00,sell
114,2021-01-20 00:00:00,sell
115,2021-01-20 04:00:00,sell
116,2021-01-20 08:00:00,sell
117,2021-01-20 12:00:00,sell
118,2021-01-20 16:00:00,sell
119,2021-01-20 20:00:00,sell
120,2021-01-21 00:00:00,sell
121,2021-01-21 04:00:00,sell
122,2021-01-21 08:00:00,sell
123,2021-01-21 12:00:00,sell
124,2021-01-21 16:00:00,sell
125,2021-01-21 20:00:00,sell
126,2021-01-22 00:00:00,sell
127,2021-01-22 04:00:00,sell
128,2021-01-22 08:00:00,sell
129,2021-01-22 12:00:00,sell
130,2021-01-22 16:00:00,sell
131,2021-01-22 20:00:00,sell
132,2021-01-23 00:00:00,sell
133,2021-01-23 04:00:00,sell
134,2021-01-23 08:00:00,sell
135,2021-01-23 12:00:00,sell
136,2021-01-23 16:00:00,sell
137,2021-01-23 20:00:00,sell
138,2021-01-24 00:00:00,sell
139,2021-01-24 04:00:00,sell
140,2021-01-24 08:00:00,buy
141,2021-01-24 12:00:00,sell
142,2021-01-24 16:00:00,sell
143,2021-01-24 20:00:00,sell
144,2021-01-25 00:00:00,buy
145,2021-01-25 04:00:00,buy
146,2021-01-25 08:00:00,sell
147,2021-01-25 12:00:00,buy
148,2021-01-25 16:00:00,sell
149,2021-01-25 20:00:00,sell
150,2021-01-26 00:00:00,sell
151,2021-01-26 04:00:00,sell
152,2021-01-26 08:00:00,sell
153,2021-01-26 12:00:00,sell
154,2021-01-26 16:00:00,sell
155,2021-01-26 20:00:00,sell
156,2021-01-27 00:00:00,sell
157,2021-01-27 04:00:00,sell
158,2021-01-27 08:00:00,sell
159,2021-01-27 12:00:00,sell
160,2021-01-27 16:00:00,sell
161,2021-01-27 20:00:00,sell
162,2021-01-28 00:00:00,sell
163,2021-01-28 04:00:00,sell
164,2021-01-28 08:00:00,sell
165,2021-01-28 12:00:00,buy
166,2021-01-28 16:00:00,buy
167,2021-01-28 20:00:00,buy
168,2021-01-29 00:00:00,buy
169,2021-01-29 04:00:00,buy
170,2021-01-29 08:00:00,buy
171,2021-01-29 12:00:00,buy
172,2021-01-29 16:00:00,buy
173,2021-01-29 20:00:00,buy
174,2021-01-30 00:00:00,buy
175,2021-01-30 04:00:00,buy
176,2021-01-30 08:00:00,buy
177,2021-01-30 12:00:00,buy
178,2021-01-30 16:00:00,buy
179,2021-01-30 20:00:00,buy
180,2021-01-31 00:00:00,buy
181,2021-01-31 04:00:00,buy
182,2021-01-31 08:00:00,buy
183,2021-01-31 12:00:00,buy
184,2021-01-31 16:00:00,buy
185,2021-01-31 20:00:00,buy
186,2021-02-01 00:00:00,buy
187,2021-02-01 04:00:00,buy
188,2021-02-01 08:00:00,buy
189,2021-02-01 12:00:00,buy
190,2021-02-01 16:00:00,buy
191,2021-02-01 20:00:00,buy
192,2021-02-02 00:00:00,buy
193,2021-02-02 04:00:00,buy
194,2021-02-02 08:00:00,buy
195,2021-02-02 12:00:00,buy
196,2021-02-02 16:00:00,buy
197,2021-02-02 20:00:00,buy
198,2021-02-03 00:00:00,buy
199,2021-02-03 04:00:00,buy
200,2021-02-03 08:00:00,buy
201,2021-02-03 12:00:00,buy
202,2021-02-03 16:00:00,buy
203,2021-02-03 20:00:00,buy
204,2021-02-04 00:00:00,buy
205,2021-02-04 04:00:00,buy
206,2021-02-04 08:00:00,sell
207,2021-02-04 12:00:00,sell
208,2021-02-04 16:00:00,buy
209,2021-02-04 20:00:00,sell
210,2021-02-05 00:00:00,buy
211,2021-02-05 04:00:00,buy
212,2021-02-05 08:00:00,buy
213,2021-02-05 12:00:00,buy
214,2021-02-05 16:00:00,buy
215,2021-02-05 20:00:00,buy
216,2021-02-06 00:00:00,buy
217,2021-02-06 04:00:00,buy
218,2021-02-06 08:00:00,buy
219,2021-02-06 12:00:00,buy
220,2021-02-06 16:00:00,buy
221,2021-02-06 20:00:00,buy
222,2021-02-07 00:00:00,buy
223,2021-02-07 04:00:00,buy
224,2021-02-07 08:00:00,buy
225,2021-02-07 12:00:00,buy
226,2021-02-07 16:00:00,buy
227,2021-02-07 20:00:00,buy
228,2021-02-08 00:00:00,buy
229,2021-02-08 04:00:00,buy
230,2021-02-08 08:00:00,buy
231,2021-02-08 12:00:00,buy
232,2021-02-08 16:00:00,buy
233,2021-02-08 20:00:00,buy
234,2021-02-09 00:00:00,buy
235,2021-02-09 04:00:00,buy
236,2021-02-09 08:00:00,buy
237,2021-02-09 12:00:00,buy
238,2021-02-09 16:00:00,buy
239,2021-02-09 20:00:00,buy
240,2021-02-10 00:00:00,buy
241,2021-02-10 04:00:00,buy
242,2021-02-10 08:00:00,buy
243,2021-02-10 12:00:00,buy
244,2021-02-10 16:00:00,buy
245,2021-02-10 20:00:00,buy
246,2021-02-11 00:00:00,buy
247,2021-02-11 04:00:00,buy
248,2021-02-11 08:00:00,buy
249,2021-02-11 12:00:00,buy
250,2021-02-11 16:00:00,buy
251,2021-02-11 20:00:00,buy
252,2021-02-12 00:00:00,buy
253,2021-02-12 04:00:00,buy
254,2021-02-12 08:00:00,buy
255,2021-02-12 12:00:00,buy
256,2021-02-12 16:00:00,buy
257,2021-02-12 20:00:00,buy
258,2021-02-13 00:00:00,buy
259,2021-02-13 04:00:00,buy
260,2021-02-13 08:00:00,buy
261,2021-02-13 12:00:00,buy
262,2021-02-13 16:00:00,buy
263,2021-02-13 20:00:00,buy
264,2021-02-14 00:00:00,buy
265,2021-02-14 04:00:00,buy
266,2021-02-14 08:00:00,buy
267,2021-02-14 12:00:00,buy
268,2021-02-14 16:00:00,buy
269,2021-02-14 20:00:00,buy
270,2021-02-15 00:00:00,sell
271,2021-02-15 04:00:00,buy
272,2021-02-15 08:00:00,buy
273,2021-02-15 12:00:00,buy
274,2021-02-15 16:00:00,buy
275,2021-02-15 20:00:00,sell
276,2021-02-16 00:00:00,sell
277,2021-02-16 04:00:00,sell
278,2021-02-16 08:00:00,sell
279,2021-02-16 12:00:00,sell
280,2021-02-16 16:00:00,sell
281,2021-02-16 20:00:00,sell
282,2021-02-17 00:00:00,sell
283,2021-02-17 04:00:00,sell
284,2021-02-17 08:00:00,sell
285,2021-02-17 12:00:00,sell
286,2021-02-17 16:00:00,sell
287,2021-02-17 20:00:00,sell
288,2021-02-18 00:00:00,sell
289,2021-02-18 04:00:00,sell
290,2021-02-18 08:00:00,sell
291,2021-02-18 12:00:00,sell
292,2021-02-18 16:00:00,sell
293,2021-02-18 20:00:00,sell
294,2021-02-19 00:00:00,sell
295,2021-02-19 04:00:00,buy
296,2021-02-19 08:00:00,buy
297,2021-02-19 12:00:00,buy
298,2021-02-19 16:00:00,buy
299,2021-02-19 20:00:00,buy
300,2021-02-20 00:00:00,buy
301,2021-02-20 04:00:00,buy
302,2021-02-20 08:00:00,buy
303,2021-02-20 12:00:00,buy
304,2021-02-20 16:00:00,buy
305,2021-02-20 20:00:00,sell
306,2021-02-21 00:00:00,sell
307,2021-02-21 04:00:00,sell
308,2021-02-21 08:00:00,buy
309,2021-02-21 12:00:00,sell
310,2021-02-21 16:00:00,buy
311,2021-02-21 20:00:00,sell
312,2021-02-22 00:00:00,sell
313,2021-02-22 04:00:00,buy
314,2021-02-22 08:00:00,sell
315,2021-02-22 12:00:00,sell
316,2021-02-22 16:00:00,sell
317,2021-02-22 20:00:00,sell
318,2021-02-23 00:00:00,sell
319,2021-02-23 04:00:00,sell
320,2021-02-23 08:00:00,sell
321,2021-02-23 12:00:00,sell
322,2021-02-23 16:00:00,sell
323,2021-02-23 20:00:00,sell
324,2021-02-24 00:00:00,sell
325,2021-02-24 04:00:00,sell
326,2021-02-24 08:00:00,sell
327,2021-02-24 12:00:00,sell
328,2021-02-24 16:00:00,sell
329,2021-02-24 20:00:00,sell
330,2021-02-25 00:00:00,sell
331,2021-02-25 04:00:00,sell
332,2021-02-25 08:00:00,sell
333,2021-02-25 12:00:00,sell
334,2021-02-25 16:00:00,sell
335,2021-02-25 20:00:00,sell
336,2021-02-26 00:00:00,sell
337,2021-02-26 04:00:00,sell
338,2021-02-26 08:00:00,sell
339,2021-02-26 12:00:00,sell
340,2021-02-26 16:00:00,sell
341,2021-02-26 20:00:00,sell
342,2021-02-27 00:00:00,sell
343,2021-02-27 04:00:00,sell
344,2021-02-27 08:00:00,buy
345,2021-02-27 12:00:00,buy
346,2021-02-27 16:00:00,buy
347,2021-02-27 20:00:00,buy
348,2021-02-28 00:00:00,buy
349,2021-02-28 04:00:00,sell
350,2021-02-28 08:00:00,sell
351,2021-02-28 12:00:00,sell
352,2021-02-28 16:00:00,sell
